pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	TA	TC	TG	TT	WW	SS	RR	YY
-73	0.0844855	0.0605765	0.0656065	0.0573805	0.0587185	0.0662255	0.0355535	0.0691245	0.065631	0.0365445	0.066771	0.0613695	0.0562165	0.068282	0.061766	0.0856995	0.283782	0.205095	0.282494	0.289332
-72	0.07953	0.0607005	0.0659035	0.058595	0.0593875	0.065408	0.0379315	0.0696695	0.066399	0.0362965	0.0674645	0.0606015	0.055547	0.0651105	0.0631535	0.0882515	0.281923	0.207101	0.279297	0.288439
-71	0.0808185	0.0608	0.0659285	0.0561915	0.057554	0.0673405	0.035925	0.068728	0.065334	0.0371885	0.068034	0.0627075	0.058372	0.0689265	0.062311	0.0837915	0.279174	0.208488	0.280115	0.288787
-70	0.0832715	0.0602795	0.064392	0.0559685	0.0597345	0.0697685	0.0354545	0.0684305	0.0655815	0.036024	0.068356	0.063525	0.0561175	0.0672415	0.0637975	0.0820575	0.277415	0.209603	0.281601	0.287498
-69	0.0830485	0.0596605	0.0641445	0.0550765	0.0607255	0.0690995	0.0371885	0.0680095	0.0680095	0.036792	0.067836	0.0604775	0.056514	0.068827	0.0637725	0.0808185	0.275458	0.210916	0.283038	0.286754
-68	0.081562	0.061171	0.0679105	0.0589915	0.0622865	0.069075	0.035677	0.067464	0.064937	0.0359245	0.0671175	0.06246	0.055052	0.0670925	0.0620635	0.081215	0.27682	0.207794	0.281527	0.284847
-67	0.080843	0.0608	0.0658045	0.0573065	0.059685	0.0671425	0.033918	0.068183	0.068951	0.035479	0.068877	0.061989	0.056687	0.069025	0.062955	0.0823545	0.277191	0.205416	0.284475	0.286705
-66	0.081735	0.059586	0.0645655	0.058223	0.059908	0.0685545	0.0379315	0.066102	0.0663	0.0337445	0.068208	0.0641445	0.0553985	0.067588	0.0636245	0.0843865	0.279743	0.208438	0.280809	0.286631
-65	0.0807195	0.06137	0.0654575	0.0574305	0.0596105	0.0674645	0.0366435	0.0673655	0.0666715	0.0365195	0.0659035	0.066077	0.05686	0.068059	0.061667	0.0821815	0.277191	0.206531	0.278752	0.285071
-64	0.082925	0.0597095	0.066969	0.055126	0.060527	0.069843	0.0377085	0.0657305	0.0647635	0.0339925	0.0662255	0.063079	0.0579505	0.067613	0.0641445	0.083693	0.279695	0.207769	0.280883	0.28688
-63	0.083098	0.061543	0.064764	0.057009	0.0598335	0.0681085	0.0340665	0.070314	0.0664485	0.036247	0.068183	0.061791	0.0573805	0.0671425	0.0620885	0.081983	0.279471	0.206605	0.282493	0.287548
-62	0.0814875	0.0611715	0.0661015	0.0564145	0.0623855	0.0690005	0.036024	0.0677865	0.0667955	0.0356025	0.0661265	0.0611715	0.0542835	0.0682075	0.0657545	0.081686	0.273871	0.206754	0.280511	0.286681
-61	0.0820575	0.061766	0.067341	0.0557455	0.0606515	0.0690005	0.0357515	0.067985	0.065978	0.038502	0.0643425	0.063054	0.0562165	0.0664735	0.0620135	0.0831225	0.277142	0.207597	0.279719	0.286581
-60	0.0805955	0.0614685	0.06573	0.056464	0.0621875	0.069967	0.0352805	0.0682575	0.0676875	0.0352065	0.0659285	0.0625835	0.0577525	0.066548	0.063426	0.0809175	0.275729	0.206382	0.279942	0.28569
-59	0.082231	0.060453	0.0662755	0.056142	0.0606015	0.067861	0.0354045	0.067886	0.0661765	0.0375105	0.0682325	0.06184	0.055027	0.0686785	0.061865	0.0838165	0.277216	0.209009	0.282915	0.288242
-58	0.080546	0.060453	0.0663745	0.055919	0.05966	0.067935	0.0372135	0.067489	0.0659285	0.0355285	0.0699915	0.06298	0.055597	0.0664735	0.0634755	0.084436	0.276498	0.210668	0.28284	0.286334
-57	0.0793815	0.0615185	0.066424	0.055919	0.0613445	0.0657305	0.0357265	0.0670435	0.067316	0.0370895	0.0713545	0.0606265	0.0538625	0.0688025	0.062534	0.0853275	0.27449	0.209901	0.284476	0.286904
-56	0.0824785	0.059288	0.066424	0.0555225	0.062113	0.0703385	0.0361975	0.065334	0.067291	0.0347105	0.0677865	0.063129	0.0546305	0.0666715	0.06355	0.084535	0.277166	0.209033	0.28398	0.286879
