AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.090941	0.079079	0.049078	0.070084	0.073494	0.056245	0.064004	0.052291	0.067711	0.051006	0.065042	0.070677	0.023724	0.056739	0.070924	0.058963	0.058963	0.070924	0.056739	0.023724	0.070677	0.065042	0.051006	0.067711	0.052291	0.064004	0.056245	0.073494	0.070084	0.049078	0.079079	0.090941
0.087085	0.083230	0.050561	0.073840	0.072802	0.055256	0.059457	0.052686	0.068749	0.052834	0.064795	0.072654	0.024070	0.055751	0.069490	0.056739	0.056739	0.069490	0.055751	0.024070	0.072654	0.064795	0.052834	0.068749	0.052686	0.059457	0.055256	0.072802	0.073840	0.050561	0.083230	0.087085
0.088025	0.081748	0.044976	0.075421	0.072802	0.054614	0.059457	0.053230	0.067019	0.050907	0.065635	0.072308	0.023674	0.059111	0.070034	0.061039	0.061039	0.070034	0.059111	0.023674	0.072308	0.065635	0.050907	0.067019	0.053230	0.059457	0.054614	0.072802	0.075421	0.044976	0.081748	0.088025
0.088370	0.082094	0.051945	0.069144	0.069243	0.056492	0.059754	0.054416	0.066920	0.050858	0.065289	0.072406	0.024416	0.056294	0.067711	0.064647	0.064647	0.067711	0.056294	0.024416	0.072406	0.065289	0.050858	0.066920	0.054416	0.059754	0.056492	0.069243	0.069144	0.051945	0.082094	0.088370
0.091880	0.079079	0.048782	0.070429	0.072505	0.057530	0.061187	0.053378	0.067859	0.049721	0.065635	0.071220	0.023279	0.055998	0.073247	0.058271	0.058271	0.073247	0.055998	0.023279	0.071220	0.065635	0.049721	0.067859	0.053378	0.061187	0.057530	0.072505	0.070429	0.048782	0.079079	0.091880
0.086690	0.085603	0.050215	0.068749	0.071863	0.055899	0.062620	0.052983	0.066970	0.054762	0.068848	0.070429	0.022686	0.054910	0.069441	0.057332	0.057332	0.069441	0.054910	0.022686	0.070429	0.068848	0.054762	0.066970	0.052983	0.062620	0.055899	0.071863	0.068749	0.050215	0.085603	0.086690
0.086295	0.086641	0.047596	0.072209	0.070281	0.057727	0.059803	0.055849	0.068996	0.049078	0.066723	0.068848	0.023921	0.056887	0.070232	0.058914	0.058914	0.070232	0.056887	0.023921	0.068848	0.066723	0.049078	0.068996	0.055849	0.059803	0.057727	0.070281	0.072209	0.047596	0.086641	0.086295
0.088568	0.082192	0.049770	0.072555	0.071467	0.057777	0.060248	0.053230	0.064845	0.053477	0.066327	0.069589	0.023575	0.055800	0.074186	0.056393	0.056393	0.074186	0.055800	0.023575	0.069589	0.066327	0.053477	0.064845	0.053230	0.060248	0.057777	0.071467	0.072555	0.049770	0.082192	0.088568
0.085059	0.088272	0.046805	0.070775	0.072406	0.058518	0.058765	0.052538	0.068304	0.048139	0.064943	0.072308	0.023180	0.056690	0.073247	0.060050	0.060050	0.073247	0.056690	0.023180	0.072308	0.064943	0.048139	0.068304	0.052538	0.058765	0.058518	0.072406	0.070775	0.046805	0.088272	0.085059
0.086739	0.085059	0.047694	0.073988	0.070182	0.057134	0.061335	0.052241	0.069639	0.051599	0.064054	0.074186	0.023724	0.057382	0.069540	0.055503	0.055503	0.069540	0.057382	0.023724	0.074186	0.064054	0.051599	0.069639	0.052241	0.061335	0.057134	0.070182	0.073988	0.047694	0.085059	0.086739
