pos	AA.f	AC.f	AG.f	AT.f	CA.f	CC.f	CG.f	CT.f	GA.f	GC.f	GG.f	GT.f	TA.f	TC.f	TG.f	TT.f	AA.r	AC.r	AG.r	AT.r	CA.r	CC.r	CG.r	CT.r	GA.r	GC.r	GG.r	GT.r	TA.r	TC.r	TG.r	TT.r
25	0.088697	0.050592	0.073089	0.064516	0.070066	0.064962	0.017492	0.075120	0.059710	0.052525	0.064665	0.051038	0.049948	0.060701	0.073089	0.083792	0.083792	0.073089	0.060701	0.049948	0.051038	0.064665	0.052525	0.059710	0.075120	0.017492	0.064962	0.070066	0.064516	0.073089	0.050592	0.088697
26	0.080719	0.049403	0.075269	0.063030	0.069273	0.063872	0.017442	0.078192	0.060056	0.052178	0.067588	0.048511	0.052475	0.057975	0.075913	0.088103	0.088103	0.075913	0.057975	0.052475	0.048511	0.067588	0.052178	0.060056	0.078192	0.017442	0.063872	0.069273	0.063030	0.075269	0.049403	0.080719
27	0.080719	0.049750	0.070066	0.061989	0.066845	0.064813	0.016897	0.074872	0.060701	0.055448	0.068827	0.051236	0.054854	0.062485	0.075417	0.085080	0.085080	0.075417	0.062485	0.054854	0.051236	0.068827	0.055448	0.060701	0.074872	0.016897	0.064813	0.066845	0.061989	0.070066	0.049750	0.080719
28	0.083247	0.047718	0.068480	0.063674	0.070710	0.069273	0.017839	0.074674	0.058966	0.053020	0.068480	0.050741	0.051534	0.060948	0.078787	0.081909	0.081909	0.078787	0.060948	0.051534	0.050741	0.068480	0.053020	0.058966	0.074674	0.017839	0.069273	0.070710	0.063674	0.068480	0.047718	0.083247
29	0.085080	0.049106	0.069372	0.060899	0.071503	0.067588	0.017393	0.074476	0.062881	0.054507	0.066597	0.049601	0.052426	0.063277	0.076755	0.078539	0.078539	0.076755	0.063277	0.052426	0.049601	0.066597	0.054507	0.062881	0.074476	0.017393	0.067588	0.071503	0.060899	0.069372	0.049106	0.085080
30	0.080868	0.049353	0.075665	0.066003	0.075963	0.069422	0.015658	0.073435	0.059065	0.051236	0.067638	0.052178	0.052376	0.057430	0.073931	0.079778	0.079778	0.073931	0.057430	0.052376	0.052178	0.067638	0.051236	0.059065	0.073435	0.015658	0.069422	0.075963	0.066003	0.075665	0.049353	0.080868
31	0.082057	0.049750	0.071503	0.064962	0.069422	0.066845	0.016649	0.074526	0.061196	0.052029	0.069323	0.050344	0.052277	0.061741	0.074872	0.082503	0.082503	0.074872	0.061741	0.052277	0.050344	0.069323	0.052029	0.061196	0.074526	0.016649	0.066845	0.069422	0.064962	0.071503	0.049750	0.082057
32	0.083048	0.048660	0.069372	0.063872	0.072048	0.067241	0.018433	0.072643	0.060552	0.051335	0.066449	0.054011	0.049799	0.061295	0.076706	0.084535	0.084535	0.076706	0.061295	0.049799	0.054011	0.066449	0.051335	0.060552	0.072643	0.018433	0.067241	0.072048	0.063872	0.069372	0.048660	0.083048
33	0.081562	0.049552	0.072444	0.061890	0.071354	0.064863	0.017789	0.074526	0.059214	0.053020	0.062831	0.055894	0.052326	0.064764	0.073832	0.084139	0.084139	0.073832	0.064764	0.052326	0.055894	0.062831	0.053020	0.059214	0.074526	0.017789	0.064863	0.071354	0.061890	0.072444	0.049552	0.081562
34	0.084139	0.047371	0.072742	0.060205	0.070363	0.068976	0.017888	0.074972	0.060948	0.050097	0.062930	0.052921	0.052376	0.062237	0.077152	0.084684	0.084684	0.077152	0.062237	0.052376	0.052921	0.062930	0.050097	0.060948	0.074972	0.017888	0.068976	0.070363	0.060205	0.072742	0.047371	0.084139
35	0.083346	0.052178	0.070066	0.062237	0.069868	0.064863	0.016897	0.077053	0.059412	0.052376	0.067390	0.051534	0.055894	0.061246	0.074625	0.081017	0.081017	0.074625	0.061246	0.055894	0.051534	0.067390	0.052376	0.059412	0.077053	0.016897	0.064863	0.069868	0.062237	0.070066	0.052178	0.083346
36	0.082553	0.050691	0.073237	0.062039	0.071850	0.066003	0.017591	0.075219	0.060602	0.052673	0.064268	0.051435	0.049898	0.062633	0.078291	0.081017	0.081017	0.078291	0.062633	0.049898	0.051435	0.064268	0.052673	0.060602	0.075219	0.017591	0.066003	0.071850	0.062039	0.073237	0.050691	0.082553
37	0.082008	0.048907	0.073089	0.060899	0.071751	0.067836	0.018235	0.074179	0.061593	0.056737	0.062732	0.052326	0.052624	0.058273	0.074426	0.084386	0.084386	0.074426	0.058273	0.052624	0.052326	0.062732	0.056737	0.061593	0.074179	0.018235	0.067836	0.071751	0.060899	0.073089	0.048907	0.082008
38	0.083643	0.048957	0.071552	0.063822	0.072742	0.068282	0.017194	0.073535	0.059759	0.051583	0.066201	0.050939	0.051385	0.062782	0.075417	0.082206	0.082206	0.075417	0.062782	0.051385	0.050939	0.066201	0.051583	0.059759	0.073535	0.017194	0.068282	0.072742	0.063822	0.071552	0.048957	0.083643
39	0.083792	0.047421	0.074080	0.062237	0.072444	0.066003	0.017095	0.076062	0.058719	0.054606	0.066796	0.050245	0.052574	0.061345	0.071255	0.085328	0.085328	0.071255	0.061345	0.052574	0.050245	0.066796	0.054606	0.058719	0.076062	0.017095	0.066003	0.072444	0.062237	0.074080	0.047421	0.083792
40	0.081562	0.050146	0.073584	0.062237	0.070908	0.066201	0.017839	0.074426	0.058818	0.052525	0.065160	0.052723	0.049502	0.060007	0.080373	0.083990	0.083990	0.080373	0.060007	0.049502	0.052723	0.065160	0.052525	0.058818	0.074426	0.017839	0.066201	0.070908	0.062237	0.073584	0.050146	0.081562
41	0.078192	0.049205	0.072494	0.060899	0.072246	0.064021	0.017789	0.074823	0.062683	0.054854	0.068332	0.051088	0.051633	0.062980	0.073832	0.084931	0.084931	0.073832	0.062980	0.051633	0.051088	0.068332	0.054854	0.062683	0.074823	0.017789	0.064021	0.072246	0.060899	0.072494	0.049205	0.078192
