pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.077530	0.057209	0.068247	0.053312	0.058197	0.068938	0.039836	0.065446	0.066195	0.039202	0.077094	0.063485	0.289066	0.225070	0.053724	0.066336	0.062069	0.083181	0.267747	0.283901
-67	0.076904	0.057604	0.067777	0.053214	0.057991	0.068296	0.040569	0.065734	0.067003	0.039391	0.077020	0.063683	0.288704	0.225276	0.052785	0.066080	0.063205	0.082744	0.265647	0.282855
-66	0.077176	0.058074	0.067934	0.053502	0.057900	0.067415	0.040099	0.065438	0.067719	0.040569	0.076262	0.063213	0.289090	0.224345	0.052250	0.066377	0.062835	0.083239	0.266166	0.282468
-65	0.078873	0.057925	0.067472	0.053420	0.058213	0.066426	0.040520	0.065372	0.067744	0.040692	0.075520	0.062620	0.289610	0.223159	0.052143	0.065635	0.063362	0.084062	0.268497	0.281496
-64	0.079013	0.057538	0.068255	0.053518	0.058461	0.066163	0.039655	0.064606	0.068172	0.040791	0.076138	0.062464	0.291579	0.222747	0.052785	0.065075	0.063074	0.084293	0.269609	0.280137
-63	0.079383	0.057340	0.067950	0.052818	0.058378	0.066006	0.040421	0.065158	0.067983	0.040346	0.077654	0.062184	0.292971	0.224427	0.052859	0.064235	0.063123	0.084161	0.269222	0.279560
-62	0.079145	0.058205	0.067283	0.052077	0.058568	0.066871	0.040404	0.064713	0.067612	0.040602	0.078560	0.061953	0.292600	0.226437	0.052621	0.064721	0.062423	0.084243	0.268086	0.280549
-61	0.079804	0.059498	0.066607	0.051525	0.058840	0.067777	0.040882	0.065018	0.066525	0.040651	0.078428	0.061871	0.291364	0.227738	0.052242	0.065429	0.061813	0.083090	0.266660	0.281315
-60	0.079614	0.059729	0.066797	0.052283	0.059993	0.068321	0.040075	0.065652	0.065924	0.040783	0.078156	0.061517	0.290491	0.227335	0.052208	0.065734	0.061418	0.081797	0.265902	0.281504
-59	0.079985	0.059770	0.067365	0.052744	0.059219	0.068139	0.040536	0.065784	0.066714	0.040767	0.077423	0.061640	0.291488	0.226865	0.052966	0.065685	0.059943	0.081319	0.267014	0.280927
-58	0.080339	0.058914	0.067530	0.053032	0.059087	0.067991	0.040519	0.065767	0.066863	0.040445	0.077769	0.061426	0.292501	0.226725	0.053889	0.065075	0.059984	0.081369	0.268629	0.280202
-57	0.080199	0.059391	0.067200	0.053041	0.058156	0.067447	0.040742	0.065322	0.067217	0.040503	0.077909	0.061912	0.292525	0.226602	0.054367	0.064812	0.060965	0.080817	0.268423	0.278398
-56	0.079523	0.059696	0.067291	0.053494	0.059235	0.066970	0.039581	0.065083	0.067159	0.040124	0.078552	0.062340	0.292525	0.225226	0.054070	0.065125	0.062324	0.079433	0.266520	0.276611
-55	0.079952	0.059927	0.068115	0.053666	0.059202	0.066920	0.039301	0.064367	0.067299	0.040470	0.078370	0.062390	0.293736	0.225061	0.053625	0.064540	0.062637	0.079219	0.266462	0.275045
-54	0.080298	0.059655	0.068057	0.053106	0.059960	0.067975	0.039943	0.063930	0.067909	0.040577	0.078700	0.062003	0.294963	0.227195	0.053601	0.063749	0.061426	0.079112	0.266116	0.274765
-53	0.080545	0.059762	0.068535	0.052447	0.060017	0.068617	0.041047	0.064070	0.067876	0.040379	0.079071	0.061475	0.296026	0.229114	0.052925	0.063213	0.060660	0.079359	0.265276	0.275260
