AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.080991	0.083717	0.051004	0.077918	0.073110	0.056010	0.060421	0.052689	0.071772	0.052094	0.067955	0.066716	0.016853	0.056704	0.072069	0.059975	0.059975	0.072069	0.056704	0.016853	0.066716	0.067955	0.052094	0.071772	0.052689	0.060421	0.056010	0.073110	0.077918	0.051004	0.083717	0.080991
0.081636	0.082528	0.052788	0.073953	0.071822	0.062206	0.059182	0.049616	0.074399	0.053135	0.067410	0.065725	0.018141	0.055613	0.071722	0.060124	0.060124	0.071722	0.055613	0.018141	0.065725	0.067410	0.053135	0.074399	0.049616	0.059182	0.062206	0.071822	0.073953	0.052788	0.082528	0.081636
0.080297	0.078959	0.051202	0.072565	0.076283	0.063296	0.057993	0.051747	0.074349	0.051301	0.068104	0.063990	0.019033	0.055465	0.076530	0.058885	0.058885	0.076530	0.055465	0.019033	0.063990	0.068104	0.051301	0.074349	0.051747	0.057993	0.063296	0.076283	0.072565	0.051202	0.078959	0.080297
0.079703	0.081140	0.050706	0.075242	0.071673	0.059232	0.063197	0.049170	0.075985	0.051202	0.067063	0.066270	0.018290	0.054176	0.076729	0.060223	0.060223	0.076729	0.054176	0.018290	0.066270	0.067063	0.051202	0.075985	0.049170	0.063197	0.059232	0.071673	0.075242	0.050706	0.081140	0.079703
0.082924	0.085006	0.048079	0.074746	0.075836	0.059628	0.058240	0.052887	0.070731	0.050458	0.066022	0.066617	0.016605	0.054969	0.077819	0.059430	0.059430	0.077819	0.054969	0.016605	0.066617	0.066022	0.050458	0.070731	0.052887	0.058240	0.059628	0.075836	0.074746	0.048079	0.085006	0.082924
0.083965	0.081586	0.049368	0.074895	0.072367	0.064436	0.060273	0.050607	0.072813	0.050855	0.064089	0.066865	0.018786	0.057150	0.073011	0.058934	0.058934	0.073011	0.057150	0.018786	0.066865	0.064089	0.050855	0.072813	0.050607	0.060273	0.064436	0.072367	0.074895	0.049368	0.081586	0.083965
0.081388	0.083817	0.049665	0.072862	0.073705	0.059083	0.061561	0.049963	0.071326	0.050657	0.067460	0.066320	0.019480	0.054424	0.076778	0.061512	0.061512	0.076778	0.054424	0.019480	0.066320	0.067460	0.050657	0.071326	0.049963	0.061561	0.059083	0.073705	0.072862	0.049665	0.083817	0.081388
0.079455	0.081933	0.051301	0.074746	0.072416	0.063841	0.061016	0.052292	0.069641	0.051400	0.066667	0.069145	0.017596	0.054226	0.076729	0.057596	0.057596	0.076729	0.054226	0.017596	0.069145	0.066667	0.051400	0.069641	0.052292	0.061016	0.063841	0.072416	0.074746	0.051301	0.081933	0.079455
0.081437	0.084213	0.050706	0.074349	0.069542	0.061264	0.057299	0.051252	0.072020	0.051995	0.067757	0.069492	0.019777	0.051549	0.076481	0.060867	0.060867	0.076481	0.051549	0.019777	0.069492	0.067757	0.051995	0.072020	0.051252	0.057299	0.061264	0.069542	0.074349	0.050706	0.084213	0.081437
0.080297	0.082032	0.049467	0.073259	0.075093	0.063147	0.060719	0.051549	0.073903	0.054325	0.068352	0.065576	0.017695	0.052986	0.071326	0.060273	0.060273	0.071326	0.052986	0.017695	0.065576	0.068352	0.054325	0.073903	0.051549	0.060719	0.063147	0.075093	0.073259	0.049467	0.082032	0.080297
0.081685	0.083916	0.048476	0.074796	0.073705	0.061561	0.062156	0.048129	0.075539	0.052491	0.067063	0.066022	0.018637	0.053284	0.072714	0.059827	0.059827	0.072714	0.053284	0.018637	0.066022	0.067063	0.052491	0.075539	0.048129	0.062156	0.061561	0.073705	0.074796	0.048476	0.083916	0.081685
0.081784	0.081140	0.048327	0.075043	0.072367	0.062602	0.062701	0.052491	0.071970	0.053036	0.065229	0.069095	0.017348	0.053284	0.075836	0.057745	0.057745	0.075836	0.053284	0.017348	0.069095	0.065229	0.053036	0.071970	0.052491	0.062701	0.062602	0.072367	0.075043	0.048327	0.081140	0.081784
0.081784	0.081884	0.049219	0.073656	0.074449	0.063395	0.058538	0.053779	0.074895	0.052540	0.064734	0.067460	0.015762	0.055960	0.074052	0.057893	0.057893	0.074052	0.055960	0.015762	0.067460	0.064734	0.052540	0.074895	0.053779	0.058538	0.063395	0.074449	0.073656	0.049219	0.081884	0.081784
