pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.080206	0.061140	0.065939	0.055746	0.060454	0.067443	0.036770	0.069649	0.067187	0.035688	0.068211	0.062478	0.281545	0.208112	0.056415	0.067997	0.063040	0.081636	0.274003	0.286724
-67	0.080330	0.061677	0.066419	0.056192	0.059827	0.067930	0.037175	0.068385	0.067220	0.035936	0.067187	0.062710	0.281156	0.208228	0.055977	0.068178	0.062569	0.082288	0.274788	0.286782
-66	0.080264	0.061520	0.067129	0.055779	0.059926	0.067980	0.037860	0.068410	0.066997	0.036506	0.066154	0.062264	0.280545	0.208501	0.056093	0.068649	0.061669	0.082800	0.274936	0.287839
-65	0.081313	0.061619	0.066972	0.054589	0.061123	0.068294	0.037183	0.067757	0.067129	0.036869	0.066221	0.062387	0.281635	0.208567	0.055200	0.068914	0.061330	0.083098	0.274201	0.288063
-64	0.081760	0.060892	0.066956	0.055167	0.061594	0.067327	0.037208	0.068649	0.067856	0.036811	0.066303	0.061652	0.282875	0.207650	0.055390	0.068459	0.061974	0.081999	0.274316	0.286435
-63	0.082181	0.061330	0.066683	0.055357	0.060578	0.067592	0.036398	0.068013	0.068179	0.036505	0.067542	0.061760	0.284585	0.208038	0.055622	0.068385	0.061850	0.082024	0.275184	0.286014
-62	0.081115	0.061809	0.066832	0.055019	0.060653	0.067195	0.036894	0.068699	0.067939	0.036101	0.068145	0.061966	0.284032	0.208335	0.055465	0.067972	0.061594	0.082602	0.274201	0.286469
-61	0.079909	0.062404	0.067270	0.054779	0.060620	0.067848	0.037009	0.068831	0.066997	0.036390	0.068195	0.062420	0.282371	0.209442	0.054292	0.067856	0.062181	0.082998	0.271978	0.287534
-60	0.079273	0.061372	0.067022	0.053837	0.061553	0.068013	0.037356	0.068781	0.067270	0.036795	0.068046	0.062214	0.281611	0.210211	0.054482	0.067881	0.063098	0.083007	0.270599	0.287683
-59	0.080537	0.060760	0.066642	0.054713	0.061181	0.067716	0.036505	0.069376	0.066650	0.036952	0.068343	0.061941	0.282172	0.209517	0.053994	0.068806	0.063577	0.082304	0.271549	0.288203
-58	0.081454	0.060801	0.065915	0.054664	0.060669	0.067716	0.036125	0.068930	0.066427	0.037241	0.068129	0.061809	0.281925	0.209211	0.054754	0.068988	0.063412	0.082965	0.273837	0.288600
