AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.081487	0.081933	0.052193	0.079603	0.071772	0.060669	0.061859	0.049120	0.075093	0.053284	0.066766	0.062900	0.014969	0.052887	0.075589	0.059876	0.059876	0.075589	0.052887	0.014969	0.062900	0.066766	0.053284	0.075093	0.049120	0.061859	0.060669	0.071772	0.079603	0.052193	0.081933	0.081487
0.079752	0.084907	0.048426	0.074647	0.077571	0.061561	0.059827	0.051549	0.076233	0.052193	0.066865	0.064238	0.014275	0.050607	0.075143	0.062206	0.062206	0.075143	0.050607	0.014275	0.064238	0.066865	0.052193	0.076233	0.051549	0.059827	0.061561	0.077571	0.074647	0.048426	0.084907	0.079752
0.079653	0.081388	0.051896	0.076332	0.077819	0.061413	0.060372	0.052937	0.074994	0.052887	0.061760	0.068600	0.013680	0.051202	0.077026	0.058042	0.058042	0.077026	0.051202	0.013680	0.068600	0.061760	0.052887	0.074994	0.052937	0.060372	0.061413	0.077819	0.076332	0.051896	0.081388	0.079653
0.080991	0.080397	0.048327	0.078364	0.075737	0.061214	0.060570	0.051698	0.074201	0.052094	0.063346	0.069542	0.013978	0.052441	0.074746	0.062354	0.062354	0.074746	0.052441	0.013978	0.069542	0.063346	0.052094	0.074201	0.051698	0.060570	0.061214	0.075737	0.078364	0.048327	0.080397	0.080991
0.077869	0.081388	0.053829	0.077373	0.076233	0.058092	0.061314	0.050954	0.073011	0.054771	0.064139	0.066568	0.014325	0.054176	0.073854	0.062107	0.062107	0.073854	0.054176	0.014325	0.066568	0.064139	0.054771	0.073011	0.050954	0.061314	0.058092	0.076233	0.077373	0.053829	0.081388	0.077869
0.077423	0.079554	0.052441	0.078216	0.073457	0.063098	0.060620	0.050458	0.074002	0.054473	0.066320	0.063494	0.013532	0.052986	0.076382	0.063544	0.063544	0.076382	0.052986	0.013532	0.063494	0.066320	0.054473	0.074002	0.050458	0.060620	0.063098	0.073457	0.078216	0.052441	0.079554	0.077423
0.078563	0.081884	0.051797	0.076828	0.073309	0.062206	0.061760	0.050112	0.075341	0.049864	0.067807	0.065527	0.015960	0.052788	0.075737	0.060520	0.060520	0.075737	0.052788	0.015960	0.065527	0.067807	0.049864	0.075341	0.050112	0.061760	0.062206	0.073309	0.076828	0.051797	0.081884	0.078563
0.078414	0.080248	0.051351	0.075143	0.076134	0.061264	0.058637	0.052590	0.078315	0.051252	0.066964	0.067162	0.015415	0.049765	0.073903	0.063445	0.063445	0.073903	0.049765	0.015415	0.067162	0.066964	0.051252	0.078315	0.052590	0.058637	0.061264	0.076134	0.075143	0.051351	0.080248	0.078414
0.081884	0.079356	0.050607	0.076927	0.077968	0.058736	0.062305	0.049021	0.073804	0.052788	0.066667	0.066518	0.014820	0.050706	0.074052	0.063841	0.063841	0.074052	0.050706	0.014820	0.066518	0.066667	0.052788	0.073804	0.049021	0.062305	0.058736	0.077968	0.076927	0.050607	0.079356	0.081884
0.081487	0.084312	0.051301	0.072962	0.076035	0.060917	0.059727	0.050310	0.073457	0.054374	0.063792	0.067212	0.014226	0.051450	0.075242	0.063197	0.063197	0.075242	0.051450	0.014226	0.067212	0.063792	0.054374	0.073457	0.050310	0.059727	0.060917	0.076035	0.072962	0.051301	0.084312	0.081487
0.080942	0.080892	0.051945	0.079207	0.077423	0.062800	0.058141	0.050756	0.075886	0.052639	0.063594	0.063098	0.013928	0.053532	0.074052	0.061165	0.061165	0.074052	0.053532	0.013928	0.063098	0.063594	0.052639	0.075886	0.050756	0.058141	0.062800	0.077423	0.079207	0.051945	0.080892	0.080942
0.082726	0.078910	0.049368	0.075291	0.078761	0.059827	0.057893	0.051698	0.075291	0.051450	0.068005	0.067807	0.013928	0.051698	0.074647	0.062701	0.062701	0.074647	0.051698	0.013928	0.067807	0.068005	0.051450	0.075291	0.051698	0.057893	0.059827	0.078761	0.075291	0.049368	0.078910	0.082726
0.078711	0.078711	0.053482	0.076332	0.079653	0.060223	0.060570	0.047633	0.073705	0.052243	0.065130	0.067311	0.013730	0.051846	0.076332	0.064387	0.064387	0.076332	0.051846	0.013730	0.067311	0.065130	0.052243	0.073705	0.047633	0.060570	0.060223	0.079653	0.076332	0.053482	0.078711	0.078711
0.078910	0.079207	0.051202	0.075936	0.074746	0.060520	0.059579	0.052193	0.074895	0.051004	0.065973	0.062652	0.014424	0.056010	0.075390	0.067361	0.067361	0.075390	0.056010	0.014424	0.062652	0.065973	0.051004	0.074895	0.052193	0.059579	0.060520	0.074746	0.075936	0.051202	0.079207	0.078910
0.082924	0.083420	0.048773	0.072615	0.077621	0.059926	0.064040	0.049219	0.073259	0.049665	0.068203	0.068947	0.014226	0.049368	0.078017	0.059777	0.059777	0.078017	0.049368	0.014226	0.068947	0.068203	0.049665	0.073259	0.049219	0.064040	0.059926	0.077621	0.072615	0.048773	0.083420	0.082924
0.080000	0.080843	0.049269	0.078265	0.076332	0.063841	0.059579	0.052193	0.074696	0.051797	0.064238	0.068055	0.013234	0.050558	0.074102	0.062999	0.062999	0.074102	0.050558	0.013234	0.068055	0.064238	0.051797	0.074696	0.052193	0.059579	0.063841	0.076332	0.078265	0.049269	0.080843	0.080000
0.081140	0.079207	0.051351	0.072763	0.076431	0.063841	0.060967	0.050508	0.073507	0.050359	0.066270	0.069244	0.013779	0.055019	0.074349	0.061264	0.061264	0.074349	0.055019	0.013779	0.069244	0.066270	0.050359	0.073507	0.050508	0.060967	0.063841	0.076431	0.072763	0.051351	0.079207	0.081140
0.078315	0.079851	0.052639	0.075936	0.074845	0.058835	0.060620	0.050260	0.076530	0.050855	0.065081	0.065180	0.014572	0.052144	0.080297	0.064040	0.064040	0.080297	0.052144	0.014572	0.065180	0.065081	0.050855	0.076530	0.050260	0.060620	0.058835	0.074845	0.075936	0.052639	0.079851	0.078315
0.078017	0.080050	0.052193	0.076035	0.074746	0.062949	0.064188	0.052590	0.074449	0.049864	0.066568	0.068848	0.016109	0.051945	0.071574	0.059876	0.059876	0.071574	0.051945	0.016109	0.068848	0.066568	0.049864	0.074449	0.052590	0.064188	0.062949	0.074746	0.076035	0.052193	0.080050	0.078017
0.080248	0.079653	0.051945	0.073953	0.073656	0.059083	0.059083	0.052986	0.076729	0.052540	0.064932	0.065527	0.013284	0.054424	0.078711	0.063247	0.063247	0.078711	0.054424	0.013284	0.065527	0.064932	0.052540	0.076729	0.052986	0.059083	0.059083	0.073656	0.073953	0.051945	0.079653	0.080248
0.079554	0.085155	0.050657	0.076530	0.082330	0.061710	0.060669	0.046592	0.075440	0.052094	0.064287	0.062652	0.012887	0.052243	0.077770	0.059430	0.059430	0.077770	0.052243	0.012887	0.062652	0.064287	0.052094	0.075440	0.046592	0.060669	0.061710	0.082330	0.076530	0.050657	0.085155	0.079554
0.080942	0.079306	0.048476	0.079703	0.073358	0.064783	0.058240	0.051896	0.075093	0.054325	0.065180	0.067608	0.015217	0.050905	0.073408	0.061561	0.061561	0.073408	0.050905	0.015217	0.067608	0.065180	0.054325	0.075093	0.051896	0.058240	0.064783	0.073358	0.079703	0.048476	0.079306	0.080942
0.079554	0.080496	0.051351	0.073854	0.074994	0.060620	0.063594	0.050310	0.075936	0.052689	0.069046	0.066221	0.013482	0.055167	0.070880	0.061809	0.061809	0.070880	0.055167	0.013482	0.066221	0.069046	0.052689	0.075936	0.050310	0.063594	0.060620	0.074994	0.073854	0.051351	0.080496	0.079554
0.081388	0.081685	0.049368	0.073160	0.076481	0.061908	0.060372	0.050905	0.075440	0.052590	0.070136	0.066369	0.014572	0.050161	0.076035	0.059430	0.059430	0.076035	0.050161	0.014572	0.066369	0.070136	0.052590	0.075440	0.050905	0.060372	0.061908	0.076481	0.073160	0.049368	0.081685	0.081388
0.077076	0.080248	0.050310	0.075440	0.080347	0.063742	0.059430	0.051252	0.073457	0.052144	0.062652	0.065279	0.014870	0.053482	0.080595	0.059678	0.059678	0.080595	0.053482	0.014870	0.065279	0.062652	0.052144	0.073457	0.051252	0.059430	0.063742	0.080347	0.075440	0.050310	0.080248	0.077076
0.076084	0.080198	0.051103	0.075589	0.077571	0.066221	0.056704	0.050409	0.075341	0.051945	0.065428	0.065675	0.013432	0.053680	0.075985	0.064634	0.064634	0.075985	0.053680	0.013432	0.065675	0.065428	0.051945	0.075341	0.050409	0.056704	0.066221	0.077571	0.075589	0.051103	0.080198	0.076084
0.079157	0.079504	0.050905	0.076382	0.076679	0.059827	0.059727	0.049120	0.076233	0.051698	0.064337	0.062800	0.015613	0.053779	0.080248	0.063990	0.063990	0.080248	0.053779	0.015613	0.062800	0.064337	0.051698	0.076233	0.049120	0.059727	0.059827	0.076679	0.076382	0.050905	0.079504	0.079157
0.081140	0.084362	0.052441	0.076183	0.075390	0.061859	0.059529	0.048773	0.075143	0.051202	0.061710	0.067014	0.013680	0.052441	0.078315	0.060818	0.060818	0.078315	0.052441	0.013680	0.067014	0.061710	0.051202	0.075143	0.048773	0.059529	0.061859	0.075390	0.076183	0.052441	0.084362	0.081140
0.080050	0.078860	0.050409	0.077472	0.075737	0.063544	0.059678	0.053532	0.074796	0.053135	0.066468	0.066815	0.013532	0.051797	0.073656	0.060520	0.060520	0.073656	0.051797	0.013532	0.066815	0.066468	0.053135	0.074796	0.053532	0.059678	0.063544	0.075737	0.077472	0.050409	0.078860	0.080050
0.080149	0.078612	0.051549	0.076481	0.076580	0.059529	0.060620	0.050706	0.074151	0.052937	0.065081	0.064486	0.014275	0.052094	0.078711	0.064040	0.064040	0.078711	0.052094	0.014275	0.064486	0.065081	0.052937	0.074151	0.050706	0.060620	0.059529	0.076580	0.076481	0.051549	0.078612	0.080149
0.080843	0.079603	0.051896	0.076332	0.075143	0.061908	0.061165	0.053036	0.072615	0.055911	0.063147	0.064139	0.013631	0.052094	0.078860	0.059678	0.059678	0.078860	0.052094	0.013631	0.064139	0.063147	0.055911	0.072615	0.053036	0.061165	0.061908	0.075143	0.076332	0.051896	0.079603	0.080843
0.082032	0.084957	0.050954	0.078067	0.072466	0.062107	0.060719	0.050409	0.071772	0.052193	0.065576	0.064139	0.014473	0.049269	0.077224	0.063643	0.063643	0.077224	0.049269	0.014473	0.064139	0.065576	0.052193	0.071772	0.050409	0.060719	0.062107	0.072466	0.078067	0.050954	0.084957	0.082032
0.082131	0.082974	0.048922	0.076481	0.076431	0.063494	0.060372	0.052144	0.073408	0.050855	0.064932	0.065477	0.014721	0.050012	0.074845	0.062800	0.062800	0.074845	0.050012	0.014721	0.065477	0.064932	0.050855	0.073408	0.052144	0.060372	0.063494	0.076431	0.076481	0.048922	0.082974	0.082131
0.079653	0.079703	0.049963	0.076382	0.079504	0.060768	0.061363	0.052193	0.074746	0.052639	0.063841	0.062850	0.013928	0.054424	0.074845	0.063197	0.063197	0.074845	0.054424	0.013928	0.062850	0.063841	0.052639	0.074746	0.052193	0.061363	0.060768	0.079504	0.076382	0.049963	0.079703	0.079653
