AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.081759	0.087683	0.048565	0.073333	0.066643	0.058778	0.060923	0.051782	0.066132	0.050608	0.073333	0.069400	0.023082	0.056736	0.071494	0.059749	0.059749	0.071494	0.056736	0.023082	0.069400	0.073333	0.050608	0.066132	0.051782	0.060923	0.058778	0.066643	0.073333	0.048565	0.087683	0.081759
0.082882	0.087631	0.046931	0.070830	0.072056	0.060617	0.057553	0.051629	0.068124	0.050199	0.069349	0.066387	0.025840	0.058370	0.074099	0.057502	0.057502	0.074099	0.058370	0.025840	0.066387	0.069349	0.050199	0.068124	0.051629	0.057553	0.060617	0.072056	0.070830	0.046931	0.087631	0.082882
0.079359	0.085589	0.049995	0.073179	0.070269	0.059391	0.060515	0.051323	0.069400	0.049893	0.067358	0.068839	0.024206	0.058421	0.074303	0.057961	0.057961	0.074303	0.058421	0.024206	0.068839	0.067358	0.049893	0.069400	0.051323	0.060515	0.059391	0.070269	0.073179	0.049995	0.085589	0.079359
0.078337	0.085282	0.050097	0.071852	0.068430	0.063885	0.061179	0.049280	0.068583	0.050914	0.069962	0.069400	0.025176	0.058625	0.071443	0.057553	0.057553	0.071443	0.058625	0.025176	0.069400	0.069962	0.050914	0.068583	0.049280	0.061179	0.063885	0.068430	0.071852	0.050097	0.085282	0.078337
0.077418	0.086151	0.048463	0.072413	0.069758	0.059749	0.058115	0.050506	0.072669	0.050352	0.068583	0.069605	0.025789	0.056327	0.075529	0.058574	0.058574	0.075529	0.056327	0.025789	0.069605	0.068583	0.050352	0.072669	0.050506	0.058115	0.059749	0.069758	0.072413	0.048463	0.086151	0.077418
0.081503	0.086610	0.050812	0.070013	0.067511	0.063221	0.059340	0.050301	0.065979	0.049535	0.067000	0.068839	0.026402	0.059544	0.073741	0.059647	0.059647	0.073741	0.059544	0.026402	0.068839	0.067000	0.049535	0.065979	0.050301	0.059340	0.063221	0.067511	0.070013	0.050812	0.086610	0.081503
0.078848	0.084210	0.047390	0.071750	0.070320	0.062200	0.060872	0.051067	0.070984	0.050250	0.069043	0.068788	0.025483	0.056634	0.075069	0.057093	0.057093	0.075069	0.056634	0.025483	0.068788	0.069043	0.050250	0.070984	0.051067	0.060872	0.062200	0.070320	0.071750	0.047390	0.084210	0.078848
0.084210	0.085793	0.047493	0.073179	0.068430	0.059698	0.057859	0.051731	0.072567	0.048208	0.066387	0.067920	0.024614	0.062404	0.071698	0.057808	0.057808	0.071698	0.062404	0.024614	0.067920	0.066387	0.048208	0.072567	0.051731	0.057859	0.059698	0.068430	0.073179	0.047493	0.085793	0.084210
0.085589	0.083750	0.051527	0.069452	0.070371	0.059800	0.058830	0.050557	0.067613	0.047799	0.070371	0.070064	0.024359	0.055204	0.073639	0.061076	0.061076	0.073639	0.055204	0.024359	0.070064	0.070371	0.047799	0.067613	0.050557	0.058830	0.059800	0.070371	0.069452	0.051527	0.083750	0.085589
0.085946	0.080788	0.047595	0.073537	0.071596	0.059289	0.059698	0.050403	0.071596	0.048054	0.068277	0.067715	0.024308	0.058268	0.072720	0.060208	0.060208	0.072720	0.058268	0.024308	0.067715	0.068277	0.048054	0.071596	0.050403	0.059698	0.059289	0.071596	0.073537	0.047595	0.080788	0.085946
0.086202	0.080125	0.049535	0.069349	0.073588	0.057195	0.058830	0.054591	0.066847	0.047390	0.068124	0.070677	0.024308	0.057195	0.074150	0.061894	0.061894	0.074150	0.057195	0.024308	0.070677	0.068124	0.047390	0.066847	0.054591	0.058830	0.057195	0.073588	0.069349	0.049535	0.080125	0.086202
0.087070	0.080380	0.047646	0.071188	0.071750	0.059698	0.063068	0.049229	0.063681	0.050812	0.070473	0.070881	0.025176	0.056021	0.072720	0.060208	0.060208	0.072720	0.056021	0.025176	0.070881	0.070473	0.050812	0.063681	0.049229	0.063068	0.059698	0.071750	0.071188	0.047646	0.080380	0.087070
0.086202	0.084925	0.046982	0.071086	0.066847	0.060208	0.060157	0.050761	0.067460	0.051425	0.070728	0.068941	0.023899	0.059596	0.071750	0.059034	0.059034	0.071750	0.059596	0.023899	0.068941	0.070728	0.051425	0.067460	0.050761	0.060157	0.060208	0.066847	0.071086	0.046982	0.084925	0.086202
0.084159	0.081912	0.048412	0.070830	0.072618	0.063068	0.058268	0.052446	0.069758	0.049535	0.069605	0.067715	0.024614	0.056072	0.073537	0.057451	0.057451	0.073537	0.056072	0.024614	0.067715	0.069605	0.049535	0.069758	0.052446	0.058268	0.063068	0.072618	0.070830	0.048412	0.081912	0.084159
0.086406	0.083087	0.050914	0.070422	0.068839	0.059136	0.057655	0.050608	0.067205	0.046676	0.075120	0.070064	0.023644	0.060770	0.071188	0.058268	0.058268	0.071188	0.060770	0.023644	0.070064	0.075120	0.046676	0.067205	0.050608	0.057655	0.059136	0.068839	0.070422	0.050914	0.083087	0.086406
0.083546	0.080737	0.048463	0.069349	0.071341	0.058166	0.059136	0.050352	0.071954	0.048922	0.072413	0.069503	0.025534	0.057553	0.076039	0.056991	0.056991	0.076039	0.057553	0.025534	0.069503	0.072413	0.048922	0.071954	0.050352	0.059136	0.058166	0.071341	0.069349	0.048463	0.080737	0.083546
0.085895	0.082831	0.047595	0.070932	0.068532	0.059647	0.060821	0.051425	0.068277	0.050148	0.070320	0.069145	0.024308	0.058115	0.073690	0.058319	0.058319	0.073690	0.058115	0.024308	0.069145	0.070320	0.050148	0.068277	0.051425	0.060821	0.059647	0.068532	0.070932	0.047595	0.082831	0.085895
0.084976	0.082065	0.049025	0.073741	0.070728	0.059544	0.059187	0.052140	0.068941	0.049178	0.071137	0.068481	0.023287	0.055357	0.072311	0.059902	0.059902	0.072311	0.055357	0.023287	0.068481	0.071137	0.049178	0.068941	0.052140	0.059187	0.059544	0.070728	0.073741	0.049025	0.082065	0.084976
0.084210	0.081452	0.048769	0.073741	0.071290	0.057910	0.061689	0.049637	0.068481	0.052038	0.068634	0.068839	0.024308	0.057195	0.073639	0.058166	0.058166	0.073639	0.057195	0.024308	0.068839	0.068634	0.052038	0.068481	0.049637	0.061689	0.057910	0.071290	0.073741	0.048769	0.081452	0.084210
0.085487	0.086865	0.050046	0.071545	0.068073	0.061179	0.056889	0.049229	0.066030	0.051935	0.070320	0.070575	0.023593	0.057859	0.072567	0.057808	0.057808	0.072567	0.057859	0.023593	0.070575	0.070320	0.051935	0.066030	0.049229	0.056889	0.061179	0.068073	0.071545	0.050046	0.086865	0.085487
0.082014	0.082014	0.046778	0.073843	0.071086	0.063579	0.058676	0.048820	0.071035	0.049280	0.070984	0.068686	0.022521	0.056838	0.074865	0.058983	0.058983	0.074865	0.056838	0.022521	0.068686	0.070984	0.049280	0.071035	0.048820	0.058676	0.063579	0.071086	0.073843	0.046778	0.082014	0.082014
0.080380	0.081401	0.049382	0.070779	0.069554	0.062609	0.061536	0.050046	0.066490	0.050352	0.072465	0.070013	0.024870	0.056634	0.074354	0.059136	0.059136	0.074354	0.056634	0.024870	0.070013	0.072465	0.050352	0.066490	0.050046	0.061536	0.062609	0.069554	0.070779	0.049382	0.081401	0.080380
