AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.084444	0.085364	0.047510	0.071622	0.074687	0.061456	0.060434	0.048531	0.068352	0.048429	0.067024	0.064215	0.024215	0.059566	0.075198	0.058953	0.058953	0.075198	0.059566	0.024215	0.064215	0.067024	0.048429	0.068352	0.048531	0.060434	0.061456	0.074687	0.071622	0.047510	0.085364	0.084444
0.083167	0.088787	0.047305	0.074381	0.069170	0.055785	0.060639	0.050473	0.071673	0.049655	0.073001	0.064010	0.019872	0.059770	0.071009	0.061303	0.061303	0.071009	0.059770	0.019872	0.064010	0.073001	0.049655	0.071673	0.050473	0.060639	0.055785	0.069170	0.074381	0.047305	0.088787	0.083167
0.080102	0.085568	0.052669	0.070294	0.071367	0.062069	0.062478	0.052158	0.072388	0.049655	0.068812	0.065287	0.024266	0.057778	0.070396	0.054713	0.054713	0.070396	0.057778	0.024266	0.065287	0.068812	0.049655	0.072388	0.052158	0.062478	0.062069	0.071367	0.070294	0.052669	0.085568	0.080102
0.083780	0.080562	0.051290	0.074738	0.068301	0.064674	0.055990	0.048123	0.078825	0.046130	0.066769	0.067944	0.025185	0.058851	0.070549	0.058289	0.058289	0.070549	0.058851	0.025185	0.067944	0.066769	0.046130	0.078825	0.048123	0.055990	0.064674	0.068301	0.074738	0.051290	0.080562	0.083780
0.085262	0.077650	0.049195	0.071162	0.077139	0.054968	0.057420	0.049451	0.072950	0.050830	0.070089	0.066156	0.025338	0.058544	0.073206	0.060639	0.060639	0.073206	0.058544	0.025338	0.066156	0.070089	0.050830	0.072950	0.049451	0.057420	0.054968	0.077139	0.071162	0.049195	0.077650	0.085262
0.080307	0.078110	0.050779	0.074432	0.076117	0.058289	0.061098	0.048276	0.073155	0.055070	0.065747	0.069783	0.025390	0.057880	0.068506	0.057063	0.057063	0.068506	0.057880	0.025390	0.069783	0.065747	0.055070	0.073155	0.048276	0.061098	0.058289	0.076117	0.074432	0.050779	0.078110	0.080307
0.085364	0.084802	0.044138	0.070856	0.072593	0.058289	0.056705	0.048838	0.069987	0.049144	0.065032	0.065696	0.025236	0.065390	0.072439	0.065492	0.065492	0.072439	0.065390	0.025236	0.065696	0.065032	0.049144	0.069987	0.048838	0.056705	0.058289	0.072593	0.070856	0.044138	0.084802	0.085364
0.089553	0.079080	0.048838	0.070498	0.072235	0.062120	0.059055	0.051392	0.070243	0.045977	0.069017	0.068966	0.021711	0.062171	0.071877	0.057267	0.057267	0.071877	0.062171	0.021711	0.068966	0.069017	0.045977	0.070243	0.051392	0.059055	0.062120	0.072235	0.070498	0.048838	0.079080	0.089553
0.083218	0.078978	0.050421	0.071060	0.070089	0.055275	0.064725	0.050677	0.071877	0.044955	0.071367	0.069885	0.027484	0.056450	0.071418	0.062120	0.062120	0.071418	0.056450	0.027484	0.069885	0.071367	0.044955	0.071877	0.050677	0.064725	0.055275	0.070089	0.071060	0.050421	0.078978	0.083218
0.086028	0.080817	0.052056	0.069119	0.068250	0.059566	0.061558	0.050575	0.071520	0.053997	0.063959	0.066003	0.025645	0.057369	0.072388	0.061149	0.061149	0.072388	0.057369	0.025645	0.066003	0.063959	0.053997	0.071520	0.050575	0.061558	0.059566	0.068250	0.069119	0.052056	0.080817	0.086028
0.086641	0.088123	0.045262	0.068659	0.077037	0.060536	0.060332	0.051443	0.065134	0.049808	0.064163	0.063602	0.025849	0.058493	0.077803	0.057114	0.057114	0.077803	0.058493	0.025849	0.063602	0.064163	0.049808	0.065134	0.051443	0.060332	0.060536	0.077037	0.068659	0.045262	0.088123	0.086641
0.085977	0.086488	0.048123	0.075402	0.066616	0.063448	0.059617	0.050728	0.062324	0.049195	0.067331	0.066667	0.024879	0.056909	0.073921	0.062375	0.062375	0.073921	0.056909	0.024879	0.066667	0.067331	0.049195	0.062324	0.050728	0.059617	0.063448	0.066616	0.075402	0.048123	0.086488	0.085977
0.087305	0.081277	0.050677	0.074994	0.066769	0.061405	0.056654	0.051545	0.069579	0.049757	0.067484	0.064215	0.023244	0.062018	0.075504	0.057573	0.057573	0.075504	0.062018	0.023244	0.064215	0.067484	0.049757	0.069579	0.051545	0.056654	0.061405	0.066769	0.074994	0.050677	0.081277	0.087305
0.086897	0.084291	0.050421	0.071264	0.071928	0.057318	0.056756	0.050319	0.071213	0.052414	0.073614	0.062375	0.027126	0.057471	0.069630	0.056960	0.056960	0.069630	0.057471	0.027126	0.062375	0.073614	0.052414	0.071213	0.050319	0.056756	0.057318	0.071928	0.071264	0.050421	0.084291	0.086897
