pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.078387	0.059335	0.065209	0.053845	0.059216	0.074046	0.042701	0.066827	0.065235	0.042156	0.070777	0.060570	0.279608	0.229680	0.053461	0.067406	0.060467	0.080337	0.266031	0.288615
-67	0.077094	0.058944	0.064102	0.052695	0.059267	0.073348	0.042658	0.067014	0.065269	0.042522	0.071483	0.061285	0.277948	0.230012	0.053172	0.068070	0.061370	0.081682	0.264643	0.290113
-66	0.077851	0.058620	0.064119	0.052253	0.058586	0.072403	0.043714	0.067465	0.065132	0.042054	0.072292	0.062434	0.279396	0.230463	0.051725	0.067593	0.061370	0.082363	0.264191	0.289824
-65	0.078549	0.058867	0.064630	0.052040	0.057914	0.071186	0.043944	0.066869	0.065226	0.042794	0.072667	0.062264	0.281073	0.230591	0.052576	0.067133	0.061327	0.081988	0.265153	0.287177
-64	0.078634	0.058995	0.065694	0.053598	0.057420	0.071935	0.043731	0.066622	0.065328	0.042284	0.072922	0.062749	0.282580	0.230872	0.052338	0.066401	0.060323	0.081001	0.265570	0.285959
-63	0.077698	0.059165	0.064962	0.052789	0.058433	0.071892	0.043561	0.066137	0.065490	0.042352	0.073186	0.061821	0.281337	0.230991	0.053521	0.066903	0.061600	0.080464	0.264472	0.285397
-62	0.078013	0.058944	0.064469	0.052721	0.058612	0.072675	0.043016	0.066767	0.064937	0.041875	0.073186	0.062792	0.280604	0.230752	0.052661	0.067193	0.062025	0.080090	0.263484	0.286725
-61	0.078183	0.058697	0.064290	0.051393	0.058961	0.072522	0.042633	0.067627	0.064954	0.042309	0.073322	0.062102	0.280748	0.230786	0.052414	0.067533	0.062919	0.080115	0.262105	0.287798
-60	0.078149	0.059429	0.064375	0.052023	0.057752	0.072445	0.042990	0.068189	0.065490	0.042667	0.073126	0.061974	0.281140	0.231229	0.052031	0.067848	0.061336	0.080150	0.262352	0.288632
-59	0.077383	0.059906	0.065345	0.051538	0.057590	0.072845	0.042803	0.068401	0.066018	0.042531	0.072718	0.061183	0.281464	0.230897	0.052142	0.068274	0.061387	0.079911	0.260973	0.289432
-58	0.077042	0.059991	0.065550	0.051350	0.058365	0.072675	0.042880	0.068487	0.065235	0.042658	0.073178	0.061251	0.281005	0.231390	0.051997	0.067959	0.060978	0.080379	0.260769	0.289500
-57	0.076532	0.058799	0.066324	0.051597	0.059293	0.073671	0.042514	0.067508	0.065175	0.042505	0.072999	0.061600	0.281031	0.231689	0.052389	0.067236	0.061276	0.080558	0.261075	0.288973
-56	0.077494	0.058714	0.066044	0.051784	0.059063	0.073544	0.042616	0.066920	0.065295	0.042633	0.072812	0.061634	0.281644	0.231604	0.052159	0.066997	0.061421	0.080847	0.262284	0.288309
-55	0.077196	0.058705	0.065575	0.052619	0.058859	0.073510	0.042811	0.066580	0.066035	0.042224	0.072633	0.061472	0.281439	0.231178	0.053070	0.067286	0.061208	0.080192	0.263076	0.287568
-54	0.077689	0.059582	0.065448	0.053019	0.058322	0.073135	0.043331	0.066478	0.065950	0.042122	0.073288	0.061106	0.282375	0.231876	0.052985	0.066605	0.060808	0.080107	0.263799	0.286325
-53	0.077119	0.059208	0.065745	0.053189	0.058425	0.074029	0.042803	0.065992	0.065958	0.042148	0.074438	0.060834	0.283260	0.233417	0.054091	0.065661	0.060340	0.079996	0.264395	0.285678
-52	0.076889	0.058689	0.066163	0.053189	0.057514	0.074369	0.042548	0.066750	0.065669	0.042471	0.074744	0.061225	0.283465	0.234133	0.053512	0.065439	0.060323	0.080481	0.264072	0.287040
-51	0.075510	0.058076	0.066231	0.051801	0.056977	0.074599	0.042378	0.066631	0.065737	0.041952	0.074352	0.061625	0.281830	0.233281	0.054440	0.067355	0.061285	0.081026	0.262778	0.289611
