pos	AA.f	AC.f	AG.f	AT.f	CA.f	CC.f	CG.f	CT.f	GA.f	GC.f	GG.f	GT.f	TA.f	TC.f	TG.f	TT.f	AA.r	AC.r	AG.r	AT.r	CA.r	CC.r	CG.r	CT.r	GA.r	GC.r	GG.r	GT.r	TA.r	TC.r	TG.r	TT.r
25	0.082678	0.049637	0.070728	0.056685	0.070115	0.069400	0.024155	0.068328	0.057604	0.056889	0.069656	0.053519	0.053161	0.059953	0.074252	0.083240	0.083240	0.074252	0.059953	0.053161	0.053519	0.069656	0.056889	0.057604	0.068328	0.024155	0.069400	0.070115	0.056685	0.070728	0.049637	0.082678
26	0.081401	0.050046	0.074354	0.057757	0.065724	0.071545	0.026249	0.072362	0.058319	0.059289	0.073077	0.048105	0.049688	0.060106	0.070524	0.081452	0.081452	0.070524	0.060106	0.049688	0.048105	0.073077	0.059289	0.058319	0.072362	0.026249	0.071545	0.065724	0.057757	0.074354	0.050046	0.081401
27	0.080635	0.048463	0.067460	0.058574	0.071750	0.070881	0.023899	0.074456	0.061740	0.060566	0.072056	0.049842	0.049229	0.060362	0.069605	0.080482	0.080482	0.069605	0.060362	0.049229	0.049842	0.072056	0.060566	0.061740	0.074456	0.023899	0.070881	0.071750	0.058574	0.067460	0.048463	0.080635
28	0.081299	0.048616	0.075222	0.058217	0.069656	0.072516	0.024972	0.073128	0.060055	0.054182	0.068226	0.050557	0.046369	0.058319	0.074763	0.083904	0.083904	0.074763	0.058319	0.046369	0.050557	0.068226	0.054182	0.060055	0.073128	0.024972	0.072516	0.069656	0.058217	0.075222	0.048616	0.081299
29	0.081401	0.049791	0.070218	0.055970	0.068634	0.065570	0.024768	0.074660	0.058983	0.058881	0.070269	0.055051	0.049688	0.061587	0.072873	0.081657	0.081657	0.072873	0.061587	0.049688	0.055051	0.070269	0.058881	0.058983	0.074660	0.024768	0.065570	0.068634	0.055970	0.070218	0.049791	0.081401
30	0.079359	0.047646	0.072260	0.059442	0.069554	0.074048	0.022470	0.069758	0.058830	0.056940	0.072516	0.049842	0.049229	0.063630	0.075426	0.079052	0.079052	0.075426	0.063630	0.049229	0.049842	0.072516	0.056940	0.058830	0.069758	0.022470	0.074048	0.069554	0.059442	0.072260	0.047646	0.079359
31	0.080686	0.046778	0.069043	0.060464	0.069349	0.070320	0.026095	0.076499	0.060157	0.059647	0.072465	0.050403	0.049995	0.059647	0.066643	0.081810	0.081810	0.066643	0.059647	0.049995	0.050403	0.072465	0.059647	0.060157	0.076499	0.026095	0.070320	0.069349	0.060464	0.069043	0.046778	0.080686
32	0.078593	0.050148	0.071443	0.060004	0.069656	0.068073	0.024870	0.073792	0.056532	0.054999	0.071137	0.051578	0.050608	0.061383	0.073231	0.083955	0.083955	0.073231	0.061383	0.050608	0.051578	0.071137	0.054999	0.056532	0.073792	0.024870	0.068073	0.069656	0.060004	0.071443	0.050148	0.078593
33	0.081912	0.045807	0.072413	0.055255	0.071035	0.068226	0.023848	0.071494	0.058625	0.059187	0.071035	0.051833	0.049229	0.062404	0.070524	0.087172	0.087172	0.070524	0.062404	0.049229	0.051833	0.071035	0.059187	0.058625	0.071494	0.023848	0.068226	0.071035	0.055255	0.072413	0.045807	0.081912
34	0.080074	0.047952	0.071545	0.061230	0.067971	0.070881	0.023542	0.073231	0.057859	0.058472	0.070779	0.050710	0.048922	0.060668	0.072975	0.083189	0.083189	0.072975	0.060668	0.048922	0.050710	0.070779	0.058472	0.057859	0.073231	0.023542	0.070881	0.067971	0.061230	0.071545	0.047952	0.080074
35	0.076448	0.046216	0.073486	0.058676	0.069605	0.071954	0.023287	0.073128	0.058727	0.056583	0.071290	0.052242	0.051272	0.060974	0.070881	0.085231	0.085231	0.070881	0.060974	0.051272	0.052242	0.071290	0.056583	0.058727	0.073128	0.023287	0.071954	0.069605	0.058676	0.073486	0.046216	0.076448
36	0.079512	0.049688	0.071443	0.055408	0.067868	0.069758	0.024461	0.073639	0.057349	0.058881	0.071852	0.050863	0.050454	0.063426	0.070881	0.084516	0.084516	0.070881	0.063426	0.050454	0.050863	0.071852	0.058881	0.057349	0.073639	0.024461	0.069758	0.067868	0.055408	0.071443	0.049688	0.079512
37	0.080431	0.049893	0.068686	0.056174	0.068788	0.074150	0.026095	0.072720	0.057808	0.057502	0.071903	0.051425	0.050097	0.060259	0.071596	0.082474	0.082474	0.071596	0.060259	0.050097	0.051425	0.071903	0.057502	0.057808	0.072720	0.026095	0.074150	0.068788	0.056174	0.068686	0.049893	0.080431
38	0.080431	0.048718	0.072618	0.055357	0.071545	0.070218	0.023082	0.076958	0.059442	0.058727	0.070779	0.049331	0.049280	0.058830	0.074048	0.080635	0.080635	0.074048	0.058830	0.049280	0.049331	0.070779	0.058727	0.059442	0.076958	0.023082	0.070218	0.071545	0.055357	0.072618	0.048718	0.080431
39	0.079665	0.047493	0.074354	0.059187	0.065162	0.070269	0.023848	0.077214	0.059442	0.057961	0.070728	0.052395	0.047442	0.061843	0.072924	0.080074	0.080074	0.072924	0.061843	0.047442	0.052395	0.070728	0.057961	0.059442	0.077214	0.023848	0.070269	0.065162	0.059187	0.074354	0.047493	0.079665
