AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.082286	0.083972	0.047502	0.072939	0.072377	0.058893	0.059148	0.049801	0.065737	0.051486	0.074369	0.067474	0.024058	0.056798	0.072939	0.060221	0.060221	0.072939	0.056798	0.024058	0.067474	0.074369	0.051486	0.065737	0.049801	0.059148	0.058893	0.072377	0.072939	0.047502	0.083972	0.082286
0.082644	0.084789	0.048166	0.071509	0.069466	0.060119	0.057769	0.051129	0.066810	0.050976	0.074727	0.068597	0.024926	0.057003	0.071100	0.060272	0.060272	0.071100	0.057003	0.024926	0.068597	0.074727	0.050976	0.066810	0.051129	0.057769	0.060119	0.069466	0.071509	0.048166	0.084789	0.082644
0.083819	0.080754	0.047604	0.073909	0.068904	0.058739	0.060527	0.051231	0.067984	0.050107	0.072224	0.069261	0.025130	0.059352	0.074676	0.055777	0.055777	0.074676	0.059352	0.025130	0.069261	0.072224	0.050107	0.067984	0.051231	0.060527	0.058739	0.068904	0.073909	0.047604	0.080754	0.083819
0.082133	0.082439	0.047809	0.070487	0.068955	0.062417	0.059914	0.050720	0.068802	0.050516	0.069159	0.070487	0.025539	0.057003	0.074420	0.059199	0.059199	0.074420	0.057003	0.025539	0.070487	0.069159	0.050516	0.068802	0.050720	0.059914	0.062417	0.068955	0.070487	0.047809	0.082439	0.082133
0.080754	0.083001	0.049290	0.070232	0.070998	0.059965	0.059812	0.054091	0.068240	0.051282	0.070589	0.069312	0.023445	0.057411	0.074114	0.057462	0.057462	0.074114	0.057411	0.023445	0.069312	0.070589	0.051282	0.068240	0.054091	0.059812	0.059965	0.070998	0.070232	0.049290	0.083001	0.080754
0.084329	0.085044	0.047962	0.070641	0.068342	0.058995	0.059914	0.053529	0.068546	0.051027	0.072275	0.065890	0.026969	0.058893	0.069466	0.058178	0.058178	0.069466	0.058893	0.026969	0.065890	0.072275	0.051027	0.068546	0.053529	0.059914	0.058995	0.068342	0.070641	0.047962	0.085044	0.084329
0.086781	0.084483	0.047502	0.070692	0.070436	0.057411	0.059863	0.052865	0.069466	0.046992	0.071305	0.068597	0.023598	0.058944	0.073756	0.057309	0.057309	0.073756	0.058944	0.023598	0.068597	0.071305	0.046992	0.069466	0.052865	0.059863	0.057411	0.070436	0.070692	0.047502	0.084483	0.086781
0.086117	0.082848	0.049341	0.070436	0.070487	0.061957	0.060476	0.049852	0.070079	0.048984	0.063745	0.071407	0.025130	0.057871	0.076208	0.055062	0.055062	0.076208	0.057871	0.025130	0.071407	0.063745	0.048984	0.070079	0.049852	0.060476	0.061957	0.070487	0.070436	0.049341	0.082848	0.086117
0.083972	0.081060	0.049596	0.071917	0.066350	0.061498	0.061191	0.054040	0.066095	0.049648	0.069721	0.069619	0.024415	0.058280	0.072684	0.059914	0.059914	0.072684	0.058280	0.024415	0.069619	0.069721	0.049648	0.066095	0.054040	0.061191	0.061498	0.066350	0.071917	0.049596	0.081060	0.083972
0.089182	0.084942	0.048115	0.071917	0.069772	0.057667	0.056952	0.050056	0.069977	0.050822	0.070641	0.065482	0.025335	0.058229	0.073143	0.057769	0.057769	0.073143	0.058229	0.025335	0.065482	0.070641	0.050822	0.069977	0.050056	0.056952	0.057667	0.069772	0.071917	0.048115	0.084942	0.089182
0.086475	0.084380	0.049137	0.072224	0.074216	0.056798	0.057156	0.052457	0.067780	0.048984	0.070692	0.067167	0.023598	0.059250	0.072581	0.057105	0.057105	0.072581	0.059250	0.023598	0.067167	0.070692	0.048984	0.067780	0.052457	0.057156	0.056798	0.074216	0.072224	0.049137	0.084380	0.086475
0.084125	0.080294	0.053019	0.071815	0.067423	0.062621	0.059250	0.048371	0.065941	0.049290	0.067984	0.070334	0.026356	0.058995	0.075595	0.058586	0.058586	0.075595	0.058995	0.026356	0.070334	0.067984	0.049290	0.065941	0.048371	0.059250	0.062621	0.067423	0.071815	0.053019	0.080294	0.084125
0.086066	0.079732	0.047604	0.072530	0.066146	0.061089	0.057207	0.051078	0.070743	0.049750	0.072326	0.069823	0.026663	0.057871	0.072888	0.058484	0.058484	0.072888	0.057871	0.026663	0.069823	0.072326	0.049750	0.070743	0.051078	0.057207	0.061089	0.066146	0.072530	0.047604	0.079732	0.086066
0.086985	0.081060	0.050107	0.070896	0.071253	0.056952	0.058024	0.050669	0.067984	0.049035	0.072326	0.070079	0.024671	0.059557	0.073909	0.056492	0.056492	0.073909	0.059557	0.024671	0.070079	0.072326	0.049035	0.067984	0.050669	0.058024	0.056952	0.071253	0.070896	0.050107	0.081060	0.086985
0.084380	0.081827	0.048830	0.071305	0.069006	0.060629	0.059914	0.048268	0.068393	0.049290	0.070436	0.066401	0.024415	0.060834	0.075697	0.060374	0.060374	0.075697	0.060834	0.024415	0.066401	0.070436	0.049290	0.068393	0.048268	0.059914	0.060629	0.069006	0.071305	0.048830	0.081827	0.084380
0.082286	0.082899	0.048728	0.074369	0.067984	0.056134	0.062417	0.053325	0.067984	0.049239	0.072326	0.069108	0.024313	0.055726	0.076106	0.057054	0.057054	0.076106	0.055726	0.024313	0.069108	0.072326	0.049239	0.067984	0.053325	0.062417	0.056134	0.067984	0.074369	0.048728	0.082899	0.082286
0.081724	0.080754	0.048677	0.073348	0.073092	0.063234	0.057156	0.053325	0.070028	0.051384	0.067372	0.069619	0.024671	0.055828	0.070845	0.058944	0.058944	0.070845	0.055828	0.024671	0.069619	0.067372	0.051384	0.070028	0.053325	0.057156	0.063234	0.073092	0.073348	0.048677	0.080754	0.081724
0.081878	0.077740	0.051027	0.068904	0.072684	0.063490	0.058433	0.050005	0.069874	0.050925	0.071713	0.069466	0.024007	0.060119	0.069517	0.060221	0.060221	0.069517	0.060119	0.024007	0.069466	0.071713	0.050925	0.069874	0.050005	0.058433	0.063490	0.072684	0.068904	0.051027	0.077740	0.081878
0.081111	0.083103	0.048268	0.066044	0.072939	0.056032	0.059659	0.051435	0.069364	0.048881	0.075135	0.069517	0.026305	0.057360	0.075544	0.059301	0.059301	0.075544	0.057360	0.026305	0.069517	0.075135	0.048881	0.069364	0.051435	0.059659	0.056032	0.072939	0.066044	0.048268	0.083103	0.081111
0.085300	0.082797	0.047962	0.072326	0.069312	0.063234	0.058637	0.048830	0.069721	0.050618	0.071100	0.070947	0.024824	0.055624	0.071151	0.057616	0.057616	0.071151	0.055624	0.024824	0.070947	0.071100	0.050618	0.069721	0.048830	0.058637	0.063234	0.069312	0.072326	0.047962	0.082797	0.085300
0.085606	0.080856	0.047145	0.070998	0.070487	0.062723	0.058229	0.048626	0.066759	0.048473	0.072275	0.071611	0.024160	0.061140	0.074727	0.056186	0.056186	0.074727	0.061140	0.024160	0.071611	0.072275	0.048473	0.066759	0.048626	0.058229	0.062723	0.070487	0.070998	0.047145	0.080856	0.085606
0.080294	0.082184	0.047247	0.069517	0.069977	0.062059	0.059659	0.048524	0.071969	0.051793	0.073092	0.069312	0.025232	0.057769	0.072990	0.058382	0.058382	0.072990	0.057769	0.025232	0.069312	0.073092	0.051793	0.071969	0.048524	0.059659	0.062059	0.069977	0.069517	0.047247	0.082184	0.080294
0.079528	0.082337	0.049596	0.070232	0.071253	0.061906	0.058790	0.052150	0.068904	0.049443	0.072122	0.069159	0.025232	0.057360	0.073909	0.058075	0.058075	0.073909	0.057360	0.025232	0.069159	0.072122	0.049443	0.068904	0.052150	0.058790	0.061906	0.071253	0.070232	0.049596	0.082337	0.079528
0.079988	0.083921	0.047451	0.073705	0.071253	0.056696	0.059965	0.050158	0.070130	0.049443	0.073297	0.069977	0.025181	0.058842	0.072377	0.057616	0.057616	0.072377	0.058842	0.025181	0.069977	0.073297	0.049443	0.070130	0.050158	0.059965	0.056696	0.071253	0.073705	0.047451	0.083921	0.079988
0.079835	0.083359	0.046992	0.071100	0.074165	0.060578	0.056901	0.050669	0.066963	0.049239	0.069670	0.068751	0.024058	0.059352	0.075595	0.062775	0.062775	0.075595	0.059352	0.024058	0.068751	0.069670	0.049239	0.066963	0.050669	0.056901	0.060578	0.074165	0.071100	0.046992	0.083359	0.079835
0.081980	0.081111	0.049188	0.071611	0.072786	0.064051	0.056288	0.048320	0.070079	0.049801	0.069466	0.073041	0.023496	0.056594	0.073552	0.058637	0.058637	0.073552	0.056594	0.023496	0.073041	0.069466	0.049801	0.070079	0.048320	0.056288	0.064051	0.072786	0.071611	0.049188	0.081111	0.081980
0.083972	0.079988	0.047400	0.072684	0.070692	0.059965	0.056952	0.048115	0.074267	0.050669	0.070334	0.070232	0.024160	0.061753	0.070538	0.058280	0.058280	0.070538	0.061753	0.024160	0.070232	0.070334	0.050669	0.074267	0.048115	0.056952	0.059965	0.070692	0.072684	0.047400	0.079988	0.083972
0.081929	0.078200	0.051180	0.071305	0.073041	0.058484	0.058484	0.050158	0.068648	0.052508	0.070385	0.069261	0.026458	0.056594	0.073961	0.059403	0.059403	0.073961	0.056594	0.026458	0.069261	0.070385	0.052508	0.068648	0.050158	0.058484	0.058484	0.073041	0.071305	0.051180	0.078200	0.081929
0.078200	0.080805	0.049188	0.072428	0.072428	0.061140	0.060323	0.048779	0.069874	0.048728	0.072020	0.071917	0.020584	0.061242	0.074165	0.058178	0.058178	0.074165	0.061242	0.020584	0.071917	0.072020	0.048728	0.069874	0.048779	0.060323	0.061140	0.072428	0.072428	0.049188	0.080805	0.078200
0.075902	0.082746	0.047094	0.071151	0.071151	0.062264	0.060885	0.047860	0.069466	0.048013	0.071815	0.073297	0.026509	0.058229	0.075799	0.057820	0.057820	0.075799	0.058229	0.026509	0.073297	0.071815	0.048013	0.069466	0.047860	0.060885	0.062264	0.071151	0.071151	0.047094	0.082746	0.075902
0.079068	0.082082	0.047809	0.073297	0.070028	0.060783	0.054142	0.051282	0.069057	0.050618	0.070845	0.071202	0.026458	0.057820	0.073041	0.062468	0.062468	0.073041	0.057820	0.026458	0.071202	0.070845	0.050618	0.069057	0.051282	0.054142	0.060783	0.070028	0.073297	0.047809	0.082082	0.079068
