pos	AA.f	AC.f	AG.f	AT.f	CA.f	CC.f	CG.f	CT.f	GA.f	GC.f	GG.f	GT.f	TA.f	TC.f	TG.f	TT.f	AA.r	AC.r	AG.r	AT.r	CA.r	CC.r	CG.r	CT.r	GA.r	GC.r	GG.r	GT.r	TA.r	TC.r	TG.r	TT.r
25	0.085713	0.053391	0.073319	0.060579	0.076046	0.063454	0.012096	0.072130	0.061372	0.048086	0.062661	0.049276	0.055473	0.064148	0.075302	0.086952	0.086952	0.075302	0.064148	0.055473	0.049276	0.062661	0.048086	0.061372	0.072130	0.012096	0.063454	0.076046	0.060579	0.073319	0.053391	0.085713
26	0.084771	0.050615	0.075154	0.068065	0.076988	0.062512	0.012542	0.077037	0.059835	0.050268	0.064545	0.048731	0.049871	0.059538	0.071386	0.088142	0.088142	0.071386	0.059538	0.049871	0.048731	0.064545	0.050268	0.059835	0.077037	0.012542	0.062512	0.076988	0.068065	0.075154	0.050615	0.084771
27	0.082738	0.049822	0.075897	0.063008	0.075451	0.061868	0.011699	0.073914	0.060876	0.048086	0.062364	0.052300	0.055770	0.063801	0.076790	0.085614	0.085614	0.076790	0.063801	0.055770	0.052300	0.062364	0.048086	0.060876	0.073914	0.011699	0.061868	0.075451	0.063008	0.075897	0.049822	0.082738
28	0.085614	0.052102	0.070345	0.066776	0.071882	0.062859	0.011253	0.077583	0.062909	0.048780	0.061868	0.053193	0.051953	0.059885	0.074955	0.088043	0.088043	0.074955	0.059885	0.051953	0.053193	0.061868	0.048780	0.062909	0.077583	0.011253	0.062859	0.071882	0.066776	0.070345	0.052102	0.085614
29	0.081152	0.051160	0.074608	0.065437	0.075055	0.060876	0.012790	0.074906	0.061620	0.048186	0.060926	0.047690	0.054234	0.066082	0.078277	0.087002	0.087002	0.078277	0.066082	0.054234	0.047690	0.060926	0.048186	0.061620	0.074906	0.012790	0.060876	0.075055	0.065437	0.074608	0.051160	0.081152
30	0.084771	0.049375	0.074708	0.063206	0.074360	0.062463	0.013187	0.076294	0.060182	0.051457	0.063157	0.051804	0.056663	0.060629	0.073022	0.084721	0.084721	0.073022	0.060629	0.056663	0.051804	0.063157	0.051457	0.060182	0.076294	0.013187	0.062463	0.074360	0.063206	0.074708	0.049375	0.084771
31	0.080855	0.053936	0.073766	0.067420	0.077335	0.062265	0.011154	0.073171	0.059786	0.050119	0.063653	0.050516	0.056663	0.061323	0.075104	0.082937	0.082937	0.075104	0.061323	0.056663	0.050516	0.063653	0.050119	0.059786	0.073171	0.011154	0.062265	0.077335	0.067420	0.073766	0.053936	0.080855
32	0.081152	0.050863	0.076492	0.066131	0.076393	0.061223	0.013534	0.076492	0.064148	0.046996	0.063851	0.048681	0.050863	0.061124	0.077732	0.084325	0.084325	0.077732	0.061124	0.050863	0.048681	0.063851	0.046996	0.064148	0.076492	0.013534	0.061223	0.076393	0.066131	0.076492	0.050863	0.081152
33	0.083482	0.049871	0.076096	0.063107	0.072774	0.060232	0.011154	0.076046	0.061422	0.052052	0.064297	0.053837	0.051309	0.064000	0.074559	0.085762	0.085762	0.074559	0.064000	0.051309	0.053837	0.064297	0.052052	0.061422	0.076046	0.011154	0.060232	0.072774	0.063107	0.076096	0.049871	0.083482
34	0.083978	0.046599	0.073022	0.065388	0.074608	0.065239	0.011352	0.074955	0.060579	0.052697	0.062116	0.050714	0.056464	0.061521	0.075649	0.085118	0.085118	0.075649	0.061521	0.056464	0.050714	0.062116	0.052697	0.060579	0.074955	0.011352	0.065239	0.074608	0.065388	0.073022	0.046599	0.083978
35	0.085663	0.050763	0.073815	0.065388	0.073369	0.064495	0.012790	0.075402	0.062959	0.046500	0.063950	0.048731	0.053143	0.062413	0.076046	0.084573	0.084573	0.076046	0.062413	0.053143	0.048731	0.063950	0.046500	0.062959	0.075402	0.012790	0.064495	0.073369	0.065388	0.073815	0.050763	0.085663
36	0.084325	0.047045	0.074658	0.069106	0.076343	0.062165	0.012592	0.073072	0.063256	0.051259	0.061422	0.050664	0.050069	0.060678	0.079318	0.084027	0.084027	0.079318	0.060678	0.050069	0.050664	0.061422	0.051259	0.063256	0.073072	0.012592	0.062165	0.076343	0.069106	0.074658	0.047045	0.084325
37	0.081053	0.050863	0.075848	0.066230	0.072675	0.064594	0.011055	0.072824	0.060430	0.051854	0.063603	0.052102	0.053589	0.062215	0.079566	0.081499	0.081499	0.079566	0.062215	0.053589	0.052102	0.063603	0.051854	0.060430	0.072824	0.011055	0.064594	0.072675	0.066230	0.075848	0.050863	0.081053
38	0.081350	0.049871	0.073815	0.062711	0.076790	0.063107	0.011997	0.077632	0.059290	0.049276	0.067321	0.054184	0.053986	0.059835	0.075005	0.083829	0.083829	0.075005	0.059835	0.053986	0.054184	0.067321	0.049276	0.059290	0.077632	0.011997	0.063107	0.076790	0.062711	0.073815	0.049871	0.081350
39	0.081945	0.049970	0.076443	0.063058	0.070345	0.062017	0.012195	0.077533	0.064644	0.052746	0.062265	0.048483	0.050565	0.065685	0.074509	0.087597	0.087597	0.074509	0.065685	0.050565	0.048483	0.062265	0.052746	0.064644	0.077533	0.012195	0.062017	0.070345	0.063058	0.076443	0.049970	0.081945
40	0.083482	0.047640	0.071733	0.064644	0.078822	0.066875	0.011105	0.073617	0.058150	0.048830	0.063950	0.054481	0.050367	0.061620	0.080359	0.084325	0.084325	0.080359	0.061620	0.050367	0.054481	0.063950	0.048830	0.058150	0.073617	0.011105	0.066875	0.078822	0.064644	0.071733	0.047640	0.083482
41	0.081202	0.049722	0.075203	0.064694	0.073617	0.059389	0.011947	0.080012	0.060827	0.049673	0.062215	0.054432	0.052598	0.061025	0.078773	0.084672	0.084672	0.078773	0.061025	0.052598	0.054432	0.062215	0.049673	0.060827	0.080012	0.011947	0.059389	0.073617	0.064694	0.075203	0.049722	0.081202
42	0.082689	0.048929	0.074708	0.061918	0.073022	0.062215	0.010609	0.073964	0.060926	0.051854	0.063653	0.051705	0.052697	0.062017	0.083680	0.085415	0.085415	0.083680	0.062017	0.052697	0.051705	0.063653	0.051854	0.060926	0.073964	0.010609	0.062215	0.073022	0.061918	0.074708	0.048929	0.082689
43	0.082838	0.049673	0.072328	0.064495	0.074708	0.064198	0.013137	0.072972	0.064446	0.052647	0.062215	0.053341	0.053738	0.058794	0.075848	0.084622	0.084622	0.075848	0.058794	0.053738	0.053341	0.062215	0.052647	0.064446	0.072972	0.013137	0.064198	0.074708	0.064495	0.072328	0.049673	0.082838
44	0.086357	0.049673	0.076145	0.063553	0.076591	0.060629	0.012740	0.075352	0.060282	0.047492	0.062859	0.052895	0.053887	0.059885	0.077285	0.084374	0.084374	0.077285	0.059885	0.053887	0.052895	0.062859	0.047492	0.060282	0.075352	0.012740	0.060629	0.076591	0.063553	0.076145	0.049673	0.086357
45	0.087547	0.051358	0.076046	0.062165	0.071337	0.059191	0.012542	0.074608	0.059241	0.051953	0.065140	0.052697	0.053242	0.060629	0.077137	0.085168	0.085168	0.077137	0.060629	0.053242	0.052697	0.065140	0.051953	0.059241	0.074608	0.012542	0.059191	0.071337	0.062165	0.076046	0.051358	0.087547
46	0.082441	0.050367	0.072774	0.065784	0.073121	0.065239	0.012393	0.072378	0.062909	0.050912	0.067569	0.049475	0.054085	0.060232	0.075154	0.085168	0.085168	0.075154	0.060232	0.054085	0.049475	0.067569	0.050912	0.062909	0.072378	0.012393	0.065239	0.073121	0.065784	0.072774	0.050367	0.082441
47	0.083284	0.050962	0.074955	0.063355	0.077583	0.062909	0.011947	0.074311	0.059984	0.051457	0.064892	0.051557	0.051210	0.061670	0.075055	0.084870	0.084870	0.075055	0.061670	0.051210	0.051557	0.064892	0.051457	0.059984	0.074311	0.011947	0.062909	0.077583	0.063355	0.074955	0.050962	0.083284
48	0.082838	0.049871	0.074460	0.064892	0.072675	0.063206	0.013335	0.077781	0.063355	0.048880	0.064644	0.049970	0.053242	0.062463	0.075451	0.082937	0.082937	0.075451	0.062463	0.053242	0.049970	0.064644	0.048880	0.063355	0.077781	0.013335	0.063206	0.072675	0.064892	0.074460	0.049871	0.082838
49	0.084573	0.050218	0.071733	0.065586	0.075947	0.058844	0.012691	0.076938	0.062810	0.047839	0.065090	0.052151	0.052300	0.065338	0.072972	0.084969	0.084969	0.072972	0.065338	0.052300	0.052151	0.065090	0.047839	0.062810	0.076938	0.012691	0.058844	0.075947	0.065586	0.071733	0.050218	0.084573
50	0.088737	0.050367	0.074807	0.061719	0.077285	0.061025	0.010609	0.073319	0.059885	0.047145	0.063752	0.051705	0.053292	0.063752	0.075005	0.087597	0.087597	0.075005	0.063752	0.053292	0.051705	0.063752	0.047145	0.059885	0.073319	0.010609	0.061025	0.077285	0.061719	0.074807	0.050367	0.088737
51	0.086109	0.053044	0.073964	0.066082	0.076492	0.059389	0.011848	0.074559	0.061570	0.050169	0.058993	0.053440	0.053490	0.062661	0.073121	0.085068	0.085068	0.073121	0.062661	0.053490	0.053440	0.058993	0.050169	0.061570	0.074559	0.011848	0.059389	0.076492	0.066082	0.073964	0.053044	0.086109
52	0.086060	0.049871	0.073319	0.068412	0.075699	0.058646	0.011997	0.078921	0.058993	0.046104	0.060629	0.052201	0.056960	0.063058	0.075055	0.084077	0.084077	0.075055	0.063058	0.056960	0.052201	0.060629	0.046104	0.058993	0.078921	0.011997	0.058646	0.075699	0.068412	0.073319	0.049871	0.086060
53	0.088142	0.048830	0.077186	0.063553	0.071832	0.061769	0.012146	0.071931	0.060381	0.048533	0.063553	0.048533	0.057208	0.060678	0.077732	0.087993	0.087993	0.077732	0.060678	0.057208	0.048533	0.063553	0.048533	0.060381	0.071931	0.012146	0.061769	0.071832	0.063553	0.077186	0.048830	0.088142
54	0.084226	0.053639	0.076294	0.063405	0.072725	0.063206	0.013187	0.070692	0.067420	0.049425	0.064148	0.049623	0.054432	0.061025	0.073468	0.083085	0.083085	0.073468	0.061025	0.054432	0.049623	0.064148	0.049425	0.067420	0.070692	0.013187	0.063206	0.072725	0.063405	0.076294	0.053639	0.084226
55	0.082491	0.052796	0.076542	0.066974	0.075600	0.063107	0.012691	0.075897	0.061818	0.051457	0.062165	0.051656	0.051904	0.061372	0.072477	0.081053	0.081053	0.072477	0.061372	0.051904	0.051656	0.062165	0.051457	0.061818	0.075897	0.012691	0.063107	0.075600	0.066974	0.076542	0.052796	0.082491
56	0.081846	0.050664	0.074013	0.065289	0.079962	0.060876	0.012840	0.075055	0.059984	0.050169	0.063553	0.050169	0.055275	0.062463	0.075699	0.082144	0.082144	0.075699	0.062463	0.055275	0.050169	0.063553	0.050169	0.059984	0.075055	0.012840	0.060876	0.079962	0.065289	0.074013	0.050664	0.081846
57	0.079219	0.052449	0.077781	0.067618	0.072328	0.063801	0.011600	0.076443	0.059786	0.044666	0.064991	0.056663	0.051755	0.057704	0.080309	0.082887	0.082887	0.080309	0.057704	0.051755	0.056663	0.064991	0.044666	0.059786	0.076443	0.011600	0.063801	0.072328	0.067618	0.077781	0.052449	0.079219
58	0.082788	0.045657	0.074013	0.060629	0.071188	0.061025	0.012939	0.073468	0.062859	0.052300	0.066429	0.053093	0.055721	0.064892	0.074608	0.088390	0.088390	0.074608	0.064892	0.055721	0.053093	0.066429	0.052300	0.062859	0.073468	0.012939	0.061025	0.071188	0.060629	0.074013	0.045657	0.082788
59	0.082540	0.049871	0.074162	0.065983	0.077236	0.055770	0.012294	0.078574	0.063603	0.050367	0.060678	0.053341	0.051705	0.061471	0.078624	0.083779	0.083779	0.078624	0.061471	0.051705	0.053341	0.060678	0.050367	0.063603	0.078574	0.012294	0.055770	0.077236	0.065983	0.074162	0.049871	0.082540
60	0.087944	0.049128	0.072675	0.065338	0.071089	0.059141	0.012939	0.074311	0.062612	0.046847	0.064000	0.052300	0.053589	0.062116	0.078872	0.087101	0.087101	0.078872	0.062116	0.053589	0.052300	0.064000	0.046847	0.062612	0.074311	0.012939	0.059141	0.071089	0.065338	0.072675	0.049128	0.087944
61	0.080954	0.049177	0.078029	0.067073	0.068263	0.063058	0.011204	0.074708	0.060579	0.052548	0.062265	0.053093	0.056217	0.064000	0.074063	0.084771	0.084771	0.074063	0.064000	0.056217	0.053093	0.062265	0.052548	0.060579	0.074708	0.011204	0.063058	0.068263	0.067073	0.078029	0.049177	0.080954
