pos	AA.f	AC.f	AG.f	AT.f	CA.f	CC.f	CG.f	CT.f	GA.f	GC.f	GG.f	GT.f	TA.f	TC.f	TG.f	TT.f	AA.r	AC.r	AG.r	AT.r	CA.r	CC.r	CG.r	CT.r	GA.r	GC.r	GG.r	GT.r	TA.r	TC.r	TG.r	TT.r
25	0.083525	0.050166	0.079489	0.058493	0.071928	0.067739	0.024777	0.070140	0.060230	0.059055	0.065441	0.050932	0.046232	0.060894	0.070702	0.080255	0.080255	0.070702	0.060894	0.046232	0.050932	0.065441	0.059055	0.060230	0.070140	0.024777	0.067739	0.071928	0.058493	0.079489	0.050166	0.083525
26	0.079693	0.048174	0.073870	0.060179	0.073308	0.069068	0.023295	0.072184	0.059157	0.059974	0.069783	0.051494	0.047458	0.058391	0.071877	0.082095	0.082095	0.071877	0.058391	0.047458	0.051494	0.069783	0.059974	0.059157	0.072184	0.023295	0.069068	0.073308	0.060179	0.073870	0.048174	0.079693
27	0.085466	0.048429	0.069221	0.056501	0.068863	0.067739	0.023142	0.075862	0.058646	0.060026	0.068199	0.051954	0.049195	0.060179	0.074738	0.081839	0.081839	0.074738	0.060179	0.049195	0.051954	0.068199	0.060026	0.058646	0.075862	0.023142	0.067739	0.068863	0.056501	0.069221	0.048429	0.085466
28	0.083116	0.048838	0.071418	0.058799	0.067995	0.065083	0.026105	0.077190	0.055837	0.056450	0.070396	0.052618	0.050064	0.059208	0.076526	0.080358	0.080358	0.076526	0.059208	0.050064	0.052618	0.070396	0.056450	0.055837	0.077190	0.026105	0.065083	0.067995	0.058799	0.071418	0.048838	0.083116
29	0.082452	0.046897	0.069425	0.058238	0.069323	0.068404	0.020945	0.070907	0.062631	0.057318	0.071111	0.053384	0.050575	0.063142	0.075147	0.080102	0.080102	0.075147	0.063142	0.050575	0.053384	0.071111	0.057318	0.062631	0.070907	0.020945	0.068404	0.069323	0.058238	0.069425	0.046897	0.082452
30	0.082861	0.046743	0.075402	0.059974	0.070089	0.067791	0.024112	0.073768	0.057982	0.059055	0.067688	0.051903	0.048685	0.057011	0.074432	0.082503	0.082503	0.074432	0.057011	0.048685	0.051903	0.067688	0.059055	0.057982	0.073768	0.024112	0.067791	0.070089	0.059974	0.075402	0.046743	0.082861
31	0.079898	0.047510	0.070089	0.062120	0.073206	0.062529	0.024266	0.070600	0.062580	0.061098	0.064215	0.053742	0.047867	0.062580	0.075913	0.081788	0.081788	0.075913	0.062580	0.047867	0.053742	0.064215	0.061098	0.062580	0.070600	0.024266	0.062529	0.073206	0.062120	0.070089	0.047510	0.079898
32	0.081533	0.051086	0.071928	0.059004	0.070038	0.064521	0.024623	0.074534	0.056143	0.059055	0.068761	0.050524	0.050524	0.063857	0.072695	0.081175	0.081175	0.072695	0.063857	0.050524	0.050524	0.068761	0.059055	0.056143	0.074534	0.024623	0.064521	0.070038	0.059004	0.071928	0.051086	0.081533
33	0.084138	0.046488	0.069374	0.058238	0.069936	0.069936	0.021201	0.077446	0.055888	0.062375	0.070243	0.049502	0.047407	0.062018	0.073052	0.082759	0.082759	0.073052	0.062018	0.047407	0.049502	0.070243	0.062375	0.055888	0.077446	0.021201	0.069936	0.069936	0.058238	0.069374	0.046488	0.084138
34	0.079693	0.047612	0.074176	0.055888	0.070805	0.069272	0.023346	0.077395	0.056347	0.060077	0.066054	0.051392	0.052107	0.063499	0.074278	0.078059	0.078059	0.074278	0.063499	0.052107	0.051392	0.066054	0.060077	0.056347	0.077395	0.023346	0.069272	0.070805	0.055888	0.074176	0.047612	0.079693
35	0.085824	0.049808	0.066054	0.057267	0.069783	0.072644	0.023704	0.074330	0.056143	0.059770	0.071724	0.050217	0.049093	0.062886	0.069783	0.080971	0.080971	0.069783	0.062886	0.049093	0.050217	0.071724	0.059770	0.056143	0.074330	0.023704	0.072644	0.069783	0.057267	0.066054	0.049808	0.085824
36	0.086794	0.049757	0.069987	0.054304	0.072848	0.072082	0.026054	0.074125	0.058135	0.058799	0.065134	0.049195	0.047050	0.060792	0.075147	0.079796	0.079796	0.075147	0.060792	0.047050	0.049195	0.065134	0.058799	0.058135	0.074125	0.026054	0.072082	0.072848	0.054304	0.069987	0.049757	0.086794
