pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	TA	TC	TG	TT	WW	SS	RR	YY
-73	0.0803145	0.0592845	0.065512	0.0543915	0.0590865	0.0666735	0.040948	0.0639795	0.064943	0.041393	0.073543	0.0626455	0.055207	0.067217	0.061286	0.0835765	0.273489	0.222557	0.284312	0.281446
-72	0.0806355	0.057159	0.068502	0.054416	0.060248	0.069812	0.0377105	0.0651165	0.0666485	0.040083	0.0734195	0.0622745	0.05538	0.0631645	0.061533	0.0838975	0.274329	0.221025	0.289206	0.281991
-71	0.082365	0.0579005	0.0682795	0.0551575	0.057085	0.0668215	0.0403055	0.0659315	0.0681065	0.0391685	0.075026	0.0625215	0.053378	0.063362	0.063164	0.0814265	0.272327	0.221322	0.293777	0.277541
-70	0.0800425	0.0581475	0.068008	0.0534275	0.056294	0.0662285	0.0403545	0.0650175	0.0688975	0.0417885	0.0751745	0.0603715	0.055775	0.066352	0.0604705	0.0836505	0.272896	0.223546	0.292123	0.281249
-69	0.0791775	0.0572825	0.067192	0.053675	0.057925	0.0688725	0.0397865	0.066031	0.066451	0.039935	0.076336	0.0623735	0.0541195	0.066451	0.059927	0.084466	0.271438	0.22493	0.289156	0.28582
-68	0.0778185	0.057604	0.068156	0.0524885	0.0580735	0.069515	0.04033	0.064474	0.0655365	0.0378095	0.0767315	0.064647	0.053551	0.0666485	0.0630405	0.083576	0.267434	0.224386	0.288243	0.284214
-67	0.0755945	0.056739	0.069392	0.0537735	0.0585925	0.068428	0.039391	0.065833	0.066599	0.039861	0.078214	0.063436	0.053502	0.0659075	0.0632385	0.0815005	0.26437	0.225894	0.289799	0.281669
-66	0.0772995	0.058469	0.0657835	0.0533785	0.057307	0.066945	0.041986	0.0668955	0.0688725	0.040503	0.0761135	0.0629665	0.0513025	0.0656845	0.063337	0.0831565	0.265137	0.225548	0.288069	0.282682
-65	0.0786335	0.0590125	0.0686255	0.0533535	0.0578015	0.066871	0.0389215	0.0635845	0.0676865	0.0413435	0.0744575	0.063238	0.051945	0.067538	0.0619285	0.085059	0.268991	0.221593	0.289403	0.283052
-64	0.080685	0.056294	0.068008	0.0535265	0.0595315	0.0654625	0.0406515	0.0656355	0.0666735	0.040231	0.07599	0.0616565	0.0531805	0.063683	0.06482	0.083972	0.271364	0.222335	0.291357	0.278753
-63	0.0777195	0.0573075	0.0681315	0.053675	0.0580485	0.0661545	0.039391	0.0645975	0.0701575	0.0407995	0.077967	0.062497	0.05323	0.0640045	0.0624725	0.083848	0.268473	0.224312	0.293976	0.278605
-62	0.079746	0.0584195	0.0677115	0.051253	0.0575545	0.0664015	0.04122	0.06524	0.067118	0.040009	0.079005	0.062398	0.0521675	0.0650175	0.0620765	0.0846635	0.26783	0.226635	0.29358	0.281323
-61	0.0799685	0.0588885	0.066006	0.0513025	0.0601	0.068057	0.040602	0.064301	0.0655615	0.040997	0.078708	0.060965	0.052464	0.065141	0.062719	0.084219	0.267954	0.228364	0.290244	0.281718
-60	0.0796965	0.061187	0.066105	0.052019	0.0588645	0.0688725	0.0408245	0.065512	0.066896	0.040948	0.0775715	0.06225	0.052093	0.0661295	0.0606435	0.0803885	0.264197	0.228216	0.290269	0.280903
-59	0.0791775	0.059111	0.0682795	0.0535265	0.0610145	0.0680325	0.038798	0.067143	0.065314	0.0404045	0.078189	0.0613355	0.052068	0.065932	0.0608905	0.080784	0.265556	0.225424	0.29096	0.281891
-58	0.0810805	0.0590125	0.0677115	0.0526865	0.057777	0.067513	0.0419855	0.0646965	0.0679335	0.0409475	0.076509	0.0613355	0.0547375	0.064993	0.058296	0.0827855	0.27129	0.226955	0.293234	0.279988
-57	0.080759	0.058617	0.066599	0.052884	0.058469	0.0684275	0.040775	0.0654625	0.0673405	0.0399845	0.0786095	0.0616075	0.0548605	0.064301	0.060767	0.0805365	0.26904	0.227797	0.293308	0.278728
-56	0.0787575	0.0605445	0.067291	0.053551	0.0582215	0.0664015	0.0394655	0.065808	0.066377	0.040577	0.078609	0.0627935	0.053502	0.065141	0.0638315	0.079128	0.264938	0.225053	0.291034	0.276479
