pos	AA.f	AC.f	AG.f	AT.f	CA.f	CC.f	CG.f	CT.f	GA.f	GC.f	GG.f	GT.f	TA.f	TC.f	TG.f	TT.f	AA.r	AC.r	AG.r	AT.r	CA.r	CC.r	CG.r	CT.r	GA.r	GC.r	GG.r	GT.r	TA.r	TC.r	TG.r	TT.r
25	0.081388	0.049368	0.076481	0.060372	0.075440	0.070136	0.014572	0.076035	0.059430	0.050161	0.066369	0.052590	0.050905	0.061908	0.073160	0.081685	0.081685	0.073160	0.061908	0.050905	0.052590	0.066369	0.050161	0.059430	0.076035	0.014572	0.070136	0.075440	0.060372	0.076481	0.049368	0.081388
26	0.077076	0.050310	0.080347	0.059430	0.073457	0.062652	0.014870	0.080595	0.059678	0.053482	0.065279	0.052144	0.051252	0.063742	0.075440	0.080248	0.080248	0.075440	0.063742	0.051252	0.052144	0.065279	0.053482	0.059678	0.080595	0.014870	0.062652	0.073457	0.059430	0.080347	0.050310	0.077076
27	0.076084	0.051103	0.077571	0.056704	0.075341	0.065428	0.013432	0.075985	0.064634	0.053680	0.065675	0.051945	0.050409	0.066221	0.075589	0.080198	0.080198	0.075589	0.066221	0.050409	0.051945	0.065675	0.053680	0.064634	0.075985	0.013432	0.065428	0.075341	0.056704	0.077571	0.051103	0.076084
28	0.079157	0.050905	0.076679	0.059727	0.076233	0.064337	0.015613	0.080248	0.063990	0.053779	0.062800	0.051698	0.049120	0.059827	0.076382	0.079504	0.079504	0.076382	0.059827	0.049120	0.051698	0.062800	0.053779	0.063990	0.080248	0.015613	0.064337	0.076233	0.059727	0.076679	0.050905	0.079157
29	0.081140	0.052441	0.075390	0.059529	0.075143	0.061710	0.013680	0.078315	0.060818	0.052441	0.067014	0.051202	0.048773	0.061859	0.076183	0.084362	0.084362	0.076183	0.061859	0.048773	0.051202	0.067014	0.052441	0.060818	0.078315	0.013680	0.061710	0.075143	0.059529	0.075390	0.052441	0.081140
30	0.080050	0.050409	0.075737	0.059678	0.074796	0.066468	0.013532	0.073656	0.060520	0.051797	0.066815	0.053135	0.053532	0.063544	0.077472	0.078860	0.078860	0.077472	0.063544	0.053532	0.053135	0.066815	0.051797	0.060520	0.073656	0.013532	0.066468	0.074796	0.059678	0.075737	0.050409	0.080050
31	0.080149	0.051549	0.076580	0.060620	0.074151	0.065081	0.014275	0.078711	0.064040	0.052094	0.064486	0.052937	0.050706	0.059529	0.076481	0.078612	0.078612	0.076481	0.059529	0.050706	0.052937	0.064486	0.052094	0.064040	0.078711	0.014275	0.065081	0.074151	0.060620	0.076580	0.051549	0.080149
32	0.080843	0.051896	0.075143	0.061165	0.072615	0.063147	0.013631	0.078860	0.059678	0.052094	0.064139	0.055911	0.053036	0.061908	0.076332	0.079603	0.079603	0.076332	0.061908	0.053036	0.055911	0.064139	0.052094	0.059678	0.078860	0.013631	0.063147	0.072615	0.061165	0.075143	0.051896	0.080843
33	0.082032	0.050954	0.072466	0.060719	0.071772	0.065576	0.014473	0.077224	0.063643	0.049269	0.064139	0.052193	0.050409	0.062107	0.078067	0.084957	0.084957	0.078067	0.062107	0.050409	0.052193	0.064139	0.049269	0.063643	0.077224	0.014473	0.065576	0.071772	0.060719	0.072466	0.050954	0.082032
34	0.082131	0.048922	0.076431	0.060372	0.073408	0.064932	0.014721	0.074845	0.062800	0.050012	0.065477	0.050855	0.052144	0.063494	0.076481	0.082974	0.082974	0.076481	0.063494	0.052144	0.050855	0.065477	0.050012	0.062800	0.074845	0.014721	0.064932	0.073408	0.060372	0.076431	0.048922	0.082131
