pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	TA	TC	TG	TT	WW	SS	RR	YY
-73	0.082726	0.0607435	0.0680795	0.055341	0.0639405	0.0690455	0.034374	0.0700125	0.066196	0.032243	0.0670135	0.062652	0.056382	0.0681785	0.06171	0.081363	0.275812	0.202676	0.284015	0.2886
-72	0.0806695	0.0640645	0.068451	0.0542005	0.0608675	0.06575	0.032689	0.0711525	0.065849	0.0339035	0.06627	0.0631475	0.0564315	0.0706565	0.0643865	0.081512	0.272813	0.198612	0.281239	0.289071
-71	0.0780915	0.062751	0.068352	0.0546965	0.06575	0.0655765	0.0335315	0.0691695	0.068104	0.034746	0.0654025	0.063742	0.055093	0.0698145	0.0627265	0.0824535	0.270334	0.199257	0.27995	0.287014
-70	0.082007	0.062677	0.0676825	0.0554645	0.064089	0.066716	0.033011	0.0718465	0.0661215	0.0345475	0.065353	0.061512	0.055192	0.069418	0.0637175	0.080644	0.273307	0.199627	0.281164	0.288624
-69	0.08285	0.063445	0.0665675	0.0566295	0.0614375	0.064436	0.031772	0.0708055	0.067237	0.03373	0.0661465	0.0634945	0.05601	0.070062	0.063048	0.0823295	0.277819	0.196084	0.282801	0.287633
-68	0.079926	0.061462	0.06798	0.0558615	0.062404	0.0655265	0.031995	0.0675095	0.0695415	0.033482	0.067286	0.0651055	0.0578195	0.0696655	0.0643865	0.0800495	0.273656	0.19829	0.284733	0.282751
-67	0.079108	0.062999	0.0701115	0.055688	0.0617595	0.0645605	0.033482	0.0703345	0.0691945	0.03311	0.0661465	0.0644365	0.056753	0.0666665	0.0654525	0.080198	0.271747	0.197299	0.28456	0.281759
-66	0.0812395	0.063544	0.067485	0.0568525	0.063222	0.063197	0.0334325	0.070384	0.0672615	0.032912	0.0662205	0.06632	0.0548205	0.068897	0.0635935	0.0806195	0.273532	0.195762	0.282207	0.283098
-65	0.08228	0.0629245	0.0645105	0.055663	0.062032	0.067063	0.0349935	0.0693925	0.068451	0.0319455	0.0663695	0.062255	0.055762	0.068129	0.065502	0.0827265	0.276431	0.200372	0.281611	0.287311
-64	0.0813135	0.0621065	0.067856	0.055911	0.060942	0.0658735	0.0338785	0.06798	0.066939	0.0336305	0.0645105	0.0626765	0.0583395	0.0710285	0.064709	0.082305	0.277869	0.197893	0.280619	0.287187
-63	0.0793555	0.06228	0.068674	0.056654	0.063792	0.064213	0.033234	0.070384	0.068203	0.0349445	0.0651795	0.0645105	0.056803	0.067782	0.062429	0.0815615	0.274374	0.197571	0.281412	0.283941
