pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.086068	0.061740	0.066515	0.059196	0.060451	0.063739	0.033117	0.067671	0.065259	0.033257	0.064771	0.062310	0.282612	0.194885	0.060055	0.066506	0.063128	0.086216	0.291535	0.284133
-67	0.085134	0.061005	0.065986	0.058378	0.060988	0.062880	0.033183	0.067481	0.066093	0.032720	0.065738	0.063070	0.282951	0.194521	0.059196	0.067944	0.063045	0.087158	0.289866	0.285463
-66	0.084886	0.060972	0.066341	0.057957	0.061071	0.061641	0.033240	0.067390	0.065399	0.032745	0.065837	0.063673	0.282464	0.193464	0.058799	0.067539	0.064061	0.088447	0.290089	0.285017
-65	0.085729	0.060716	0.065953	0.058163	0.060922	0.062219	0.032861	0.066647	0.065532	0.032960	0.065523	0.064449	0.282737	0.193563	0.059088	0.067349	0.063119	0.088769	0.291749	0.284984
-64	0.086051	0.060873	0.066209	0.058485	0.060509	0.063467	0.032786	0.066936	0.065432	0.033472	0.065209	0.063301	0.282902	0.194935	0.059882	0.066994	0.062227	0.088166	0.292584	0.285562
-63	0.085927	0.061038	0.065688	0.058799	0.060716	0.064367	0.032646	0.068076	0.066349	0.032795	0.064821	0.062682	0.282786	0.194629	0.059221	0.067209	0.061905	0.087761	0.291708	0.287413
-62	0.085696	0.061253	0.065201	0.059022	0.060303	0.063450	0.032968	0.067688	0.066870	0.032101	0.064631	0.062673	0.282398	0.193151	0.058907	0.069042	0.062236	0.087959	0.291585	0.288140
-61	0.085052	0.060716	0.065647	0.059312	0.060914	0.062830	0.032737	0.068150	0.066944	0.032051	0.064425	0.063004	0.282068	0.192044	0.059204	0.068258	0.063186	0.087571	0.291139	0.286809
-60	0.084432	0.061186	0.065515	0.059799	0.060517	0.062624	0.033546	0.067316	0.067407	0.031927	0.064714	0.063450	0.282068	0.192812	0.059138	0.068167	0.063053	0.087208	0.290577	0.285314
-59	0.083242	0.062277	0.066217	0.059733	0.060311	0.063020	0.033257	0.067597	0.067382	0.032175	0.065267	0.063252	0.282109	0.193720	0.059898	0.065821	0.063235	0.087315	0.290188	0.283753
-58	0.084134	0.062789	0.065912	0.059815	0.060336	0.062748	0.033389	0.067332	0.067473	0.032059	0.065606	0.062491	0.283125	0.193803	0.059650	0.065870	0.063268	0.087125	0.290725	0.283075
-57	0.084638	0.062079	0.067308	0.060294	0.061088	0.063433	0.032481	0.066919	0.067291	0.032580	0.064970	0.061632	0.284207	0.193464	0.059419	0.066349	0.062831	0.086687	0.291039	0.283389
-56	0.086439	0.062566	0.067126	0.060137	0.061600	0.063310	0.032951	0.066737	0.067101	0.033001	0.063838	0.060930	0.284505	0.193100	0.058378	0.067258	0.062285	0.086340	0.291295	0.283645
