AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.094518	0.094122	0.048424	0.077369	0.071967	0.061459	0.061261	0.059328	0.071471	0.051398	0.060517	0.057692	0.013828	0.045450	0.071620	0.059576	0.059576	0.071620	0.045450	0.013828	0.057692	0.060517	0.051398	0.071471	0.059328	0.061261	0.061459	0.071967	0.077369	0.048424	0.094122	0.094518
0.090702	0.090057	0.051646	0.070728	0.074494	0.061211	0.068051	0.056404	0.070480	0.052389	0.059278	0.059675	0.014671	0.046739	0.071421	0.062054	0.062054	0.071421	0.046739	0.014671	0.059675	0.059278	0.052389	0.070480	0.056404	0.068051	0.061211	0.074494	0.070728	0.051646	0.090057	0.090702
0.090256	0.091049	0.049366	0.074197	0.071025	0.060716	0.068993	0.055958	0.070282	0.049564	0.059625	0.060517	0.014324	0.050109	0.074643	0.059377	0.059377	0.074643	0.050109	0.014324	0.060517	0.059625	0.049564	0.070282	0.055958	0.068993	0.060716	0.071025	0.074197	0.049366	0.091049	0.090256
0.088075	0.092090	0.050456	0.074048	0.070728	0.061905	0.066614	0.056205	0.071124	0.054768	0.061310	0.059774	0.014869	0.046045	0.072512	0.059477	0.059477	0.072512	0.046045	0.014869	0.059774	0.061310	0.054768	0.071124	0.056205	0.066614	0.061905	0.070728	0.074048	0.050456	0.092090	0.088075
0.088471	0.091792	0.051299	0.076427	0.069687	0.060418	0.065424	0.057345	0.072661	0.052686	0.059774	0.057494	0.014027	0.048473	0.073255	0.060765	0.060765	0.073255	0.048473	0.014027	0.057494	0.059774	0.052686	0.072661	0.057345	0.065424	0.060418	0.069687	0.076427	0.051299	0.091792	0.088471
0.089958	0.091891	0.050605	0.071669	0.071719	0.061310	0.066961	0.058287	0.072413	0.048027	0.058584	0.061806	0.016653	0.050258	0.072314	0.057544	0.057544	0.072314	0.050258	0.016653	0.061806	0.058584	0.048027	0.072413	0.058287	0.066961	0.061310	0.071719	0.071669	0.050605	0.091891	0.089958
0.089810	0.089958	0.050159	0.072413	0.070083	0.059675	0.068150	0.057147	0.073751	0.052290	0.060418	0.060617	0.015811	0.048424	0.070777	0.060517	0.060517	0.070777	0.048424	0.015811	0.060617	0.060418	0.052290	0.073751	0.057147	0.068150	0.059675	0.070083	0.072413	0.050159	0.089958	0.089810
0.090603	0.093626	0.051646	0.070182	0.070034	0.061261	0.068943	0.056106	0.071471	0.050506	0.060121	0.061509	0.013729	0.047928	0.073354	0.058981	0.058981	0.073354	0.047928	0.013729	0.061509	0.060121	0.050506	0.071471	0.056106	0.068943	0.061261	0.070034	0.070182	0.051646	0.093626	0.090603
0.088670	0.093527	0.051051	0.071223	0.070430	0.063789	0.067010	0.057891	0.071075	0.049613	0.063194	0.059477	0.014126	0.047433	0.072561	0.058931	0.058931	0.072561	0.047433	0.014126	0.059477	0.063194	0.049613	0.071075	0.057891	0.067010	0.063789	0.070430	0.071223	0.051051	0.093527	0.088670
0.093180	0.091693	0.048523	0.070728	0.070282	0.062450	0.064582	0.057841	0.074395	0.048969	0.060765	0.060220	0.015960	0.046937	0.074346	0.059130	0.059130	0.074346	0.046937	0.015960	0.060220	0.060765	0.048969	0.074395	0.057841	0.064582	0.062450	0.070282	0.070728	0.048523	0.091693	0.093180
0.094270	0.090206	0.052637	0.072958	0.071124	0.058882	0.066515	0.057544	0.070083	0.049316	0.062450	0.061211	0.012490	0.049713	0.073652	0.056949	0.056949	0.073652	0.049713	0.012490	0.061211	0.062450	0.049316	0.070083	0.057544	0.066515	0.058882	0.071124	0.072958	0.052637	0.090206	0.094270
0.090652	0.089562	0.048622	0.073900	0.071223	0.059972	0.068349	0.056255	0.072363	0.052141	0.059675	0.060270	0.014621	0.047086	0.077022	0.058287	0.058287	0.077022	0.047086	0.014621	0.060270	0.059675	0.052141	0.072363	0.056255	0.068349	0.059972	0.071223	0.073900	0.048622	0.089562	0.090652
0.093477	0.093477	0.049713	0.073900	0.069290	0.062103	0.065077	0.057593	0.071025	0.050952	0.061211	0.062401	0.013184	0.046640	0.069935	0.060022	0.060022	0.069935	0.046640	0.013184	0.062401	0.061211	0.050952	0.071025	0.057593	0.065077	0.062103	0.069290	0.073900	0.049713	0.093477	0.093477
0.090057	0.088521	0.051695	0.074098	0.073900	0.059278	0.066465	0.057544	0.070975	0.051249	0.059774	0.060864	0.013481	0.047433	0.075436	0.059229	0.059229	0.075436	0.047433	0.013481	0.060864	0.059774	0.051249	0.070975	0.057544	0.066465	0.059278	0.073900	0.074098	0.051695	0.088521	0.090057
0.090404	0.088918	0.050605	0.072363	0.070182	0.062450	0.066614	0.057940	0.070182	0.053083	0.061955	0.061707	0.012639	0.046094	0.073404	0.061459	0.061459	0.073404	0.046094	0.012639	0.061707	0.061955	0.053083	0.070182	0.057940	0.066614	0.062450	0.070182	0.072363	0.050605	0.088918	0.090404
0.089017	0.090057	0.049812	0.073107	0.073850	0.059873	0.067308	0.058981	0.073008	0.051001	0.057048	0.059229	0.014671	0.050456	0.076378	0.056205	0.056205	0.076378	0.050456	0.014671	0.059229	0.057048	0.051001	0.073008	0.058981	0.067308	0.059873	0.073850	0.073107	0.049812	0.090057	0.089017
0.089066	0.090107	0.053628	0.072066	0.070728	0.065127	0.063789	0.057444	0.074395	0.052389	0.056949	0.061707	0.013333	0.047928	0.072512	0.058832	0.058832	0.072512	0.047928	0.013333	0.061707	0.056949	0.052389	0.074395	0.057444	0.063789	0.065127	0.070728	0.072066	0.053628	0.090107	0.089066
0.089611	0.087084	0.050902	0.070975	0.069736	0.061806	0.069489	0.058931	0.070728	0.051546	0.063739	0.059130	0.014076	0.047086	0.075089	0.060071	0.060071	0.075089	0.047086	0.014076	0.059130	0.063739	0.051546	0.070728	0.058931	0.069489	0.061806	0.069736	0.070975	0.050902	0.087084	0.089611
0.087827	0.091346	0.047086	0.074494	0.074346	0.059377	0.070083	0.057990	0.069042	0.048424	0.061558	0.061013	0.014473	0.046392	0.078460	0.058089	0.058089	0.078460	0.046392	0.014473	0.061013	0.061558	0.048424	0.069042	0.057990	0.070083	0.059377	0.074346	0.074494	0.047086	0.091346	0.087827
0.088620	0.093031	0.046689	0.073454	0.070678	0.063937	0.066961	0.057891	0.069042	0.053083	0.059377	0.061063	0.012787	0.050010	0.073206	0.060170	0.060170	0.073206	0.050010	0.012787	0.061063	0.059377	0.053083	0.069042	0.057891	0.066961	0.063937	0.070678	0.073454	0.046689	0.093031	0.088620
0.087778	0.092982	0.048374	0.078261	0.073553	0.060071	0.066019	0.054966	0.072363	0.051745	0.059724	0.058386	0.015167	0.047532	0.072760	0.060319	0.060319	0.072760	0.047532	0.015167	0.058386	0.059724	0.051745	0.072363	0.054966	0.066019	0.060071	0.073553	0.078261	0.048374	0.092982	0.087778
0.088967	0.088521	0.048920	0.075734	0.071322	0.060418	0.066217	0.058832	0.069637	0.055511	0.059873	0.064086	0.013481	0.046045	0.072710	0.059724	0.059724	0.072710	0.046045	0.013481	0.064086	0.059873	0.055511	0.069637	0.058832	0.066217	0.060418	0.071322	0.075734	0.048920	0.088521	0.088967
0.088273	0.089661	0.050109	0.072561	0.074048	0.058733	0.064730	0.062004	0.071174	0.048424	0.058783	0.065077	0.014720	0.048126	0.070579	0.062996	0.062996	0.070579	0.048126	0.014720	0.065077	0.058783	0.048424	0.071174	0.062004	0.064730	0.058733	0.074048	0.072561	0.050109	0.089661	0.088273
0.091247	0.085002	0.049911	0.073652	0.074841	0.060418	0.068448	0.054322	0.069935	0.051745	0.058436	0.062302	0.014027	0.048226	0.073354	0.064136	0.064136	0.073354	0.048226	0.014027	0.062302	0.058436	0.051745	0.069935	0.054322	0.068448	0.060418	0.074841	0.073652	0.049911	0.085002	0.091247
0.090801	0.088670	0.049118	0.073156	0.074544	0.059328	0.065176	0.057395	0.068349	0.052092	0.059328	0.064185	0.013977	0.049266	0.075337	0.059278	0.059278	0.075337	0.049266	0.013977	0.064185	0.059328	0.052092	0.068349	0.057395	0.065176	0.059328	0.074544	0.073156	0.049118	0.088670	0.090801
0.091197	0.089463	0.047185	0.073503	0.073206	0.062599	0.064235	0.055710	0.068398	0.053132	0.060864	0.063442	0.013680	0.047581	0.074098	0.061707	0.061707	0.074098	0.047581	0.013680	0.063442	0.060864	0.053132	0.068398	0.055710	0.064235	0.062599	0.073206	0.073503	0.047185	0.089463	0.091197
0.090305	0.091891	0.047532	0.075684	0.072958	0.058436	0.066217	0.054917	0.072611	0.052191	0.060666	0.060121	0.014324	0.047829	0.070628	0.063690	0.063690	0.070628	0.047829	0.014324	0.060121	0.060666	0.052191	0.072611	0.054917	0.066217	0.058436	0.072958	0.075684	0.047532	0.091891	0.090305
0.088125	0.090355	0.053033	0.075040	0.073999	0.057197	0.066366	0.058337	0.068497	0.054520	0.059130	0.058981	0.014076	0.050059	0.072760	0.059526	0.059526	0.072760	0.050059	0.014076	0.058981	0.059130	0.054520	0.068497	0.058337	0.066366	0.057197	0.073999	0.075040	0.053033	0.090355	0.088125
0.084853	0.090256	0.049366	0.076675	0.072413	0.059526	0.067853	0.057544	0.071025	0.052191	0.064185	0.064631	0.014324	0.047928	0.069885	0.057345	0.057345	0.069885	0.047928	0.014324	0.064631	0.064185	0.052191	0.071025	0.057544	0.067853	0.059526	0.072413	0.076675	0.049366	0.090256	0.084853
0.086737	0.090206	0.048275	0.075684	0.071075	0.059923	0.064681	0.054372	0.070529	0.050654	0.059427	0.067506	0.013828	0.050952	0.077220	0.058931	0.058931	0.077220	0.050952	0.013828	0.067506	0.059427	0.050654	0.070529	0.054372	0.064681	0.059923	0.071075	0.075684	0.048275	0.090206	0.086737
0.085894	0.093081	0.047780	0.075387	0.074148	0.060369	0.062748	0.053925	0.071719	0.053380	0.057048	0.065920	0.015761	0.047532	0.074048	0.061261	0.061261	0.074048	0.047532	0.015761	0.065920	0.057048	0.053380	0.071719	0.053925	0.062748	0.060369	0.074148	0.075387	0.047780	0.093081	0.085894
0.086885	0.093081	0.048573	0.074395	0.074197	0.060567	0.063144	0.055214	0.068299	0.053826	0.059328	0.068002	0.013481	0.049415	0.071620	0.059972	0.059972	0.071620	0.049415	0.013481	0.068002	0.059328	0.053826	0.068299	0.055214	0.063144	0.060567	0.074197	0.074395	0.048573	0.093081	0.086885
0.088719	0.090057	0.048027	0.073949	0.072512	0.061162	0.061112	0.056503	0.071620	0.053628	0.060319	0.064036	0.014374	0.051596	0.071570	0.060815	0.060815	0.071570	0.051596	0.014374	0.064036	0.060319	0.053628	0.071620	0.056503	0.061112	0.061162	0.072512	0.073949	0.048027	0.090057	0.088719
0.085696	0.089116	0.053529	0.071719	0.073503	0.060369	0.064929	0.055165	0.072363	0.053430	0.059923	0.061757	0.015266	0.049316	0.073553	0.060369	0.060369	0.073553	0.049316	0.015266	0.061757	0.059923	0.053430	0.072363	0.055165	0.064929	0.060369	0.073503	0.071719	0.053529	0.089116	0.085696
0.086390	0.089562	0.050654	0.076427	0.071471	0.059080	0.065077	0.055958	0.069984	0.052042	0.062054	0.063442	0.013580	0.045946	0.077518	0.060815	0.060815	0.077518	0.045946	0.013580	0.063442	0.062054	0.052042	0.069984	0.055958	0.065077	0.059080	0.071471	0.076427	0.050654	0.089562	0.086390
0.089512	0.089066	0.048077	0.073255	0.069687	0.065920	0.065870	0.055958	0.069588	0.053232	0.059526	0.061955	0.015464	0.047978	0.073156	0.061757	0.061757	0.073156	0.047978	0.015464	0.061955	0.059526	0.053232	0.069588	0.055958	0.065870	0.065920	0.069687	0.073255	0.048077	0.089066	0.089512
