pos	AA.f	AC.f	AG.f	AT.f	CA.f	CC.f	CG.f	CT.f	GA.f	GC.f	GG.f	GT.f	TA.f	TC.f	TG.f	TT.f	AA.r	AC.r	AG.r	AT.r	CA.r	CC.r	CG.r	CT.r	GA.r	GC.r	GG.r	GT.r	TA.r	TC.r	TG.r	TT.r
25	0.073810	0.052381	0.071429	0.066667	0.057143	0.072857	0.013333	0.080476	0.066190	0.056190	0.063810	0.052857	0.048095	0.060000	0.073810	0.090952	0.090952	0.073810	0.060000	0.048095	0.052857	0.063810	0.056190	0.066190	0.080476	0.013333	0.072857	0.057143	0.066667	0.071429	0.052381	0.073810
26	0.078571	0.043333	0.065714	0.057619	0.075238	0.069524	0.021429	0.075238	0.060952	0.052857	0.064762	0.043810	0.054762	0.066190	0.080476	0.089524	0.089524	0.080476	0.066190	0.054762	0.043810	0.064762	0.052857	0.060952	0.075238	0.021429	0.069524	0.075238	0.057619	0.065714	0.043333	0.078571
27	0.081429	0.053333	0.072857	0.061905	0.070000	0.064286	0.023810	0.073810	0.065714	0.060476	0.060476	0.045714	0.050952	0.066190	0.070476	0.078571	0.078571	0.070476	0.066190	0.050952	0.045714	0.060476	0.060476	0.065714	0.073810	0.023810	0.064286	0.070000	0.061905	0.072857	0.053333	0.081429
28	0.091905	0.055714	0.071905	0.048571	0.070952	0.068571	0.028095	0.076667	0.049048	0.052857	0.071905	0.053810	0.042381	0.065714	0.077143	0.074762	0.074762	0.077143	0.065714	0.042381	0.053810	0.071905	0.052857	0.049048	0.076667	0.028095	0.068571	0.070952	0.048571	0.071905	0.055714	0.091905
29	0.082381	0.050952	0.068095	0.052857	0.074762	0.073810	0.025714	0.068571	0.066667	0.052857	0.065714	0.063810	0.049524	0.051905	0.073810	0.078571	0.078571	0.073810	0.051905	0.049524	0.063810	0.065714	0.052857	0.066667	0.068571	0.025714	0.073810	0.074762	0.052857	0.068095	0.050952	0.082381
30	0.086190	0.049048	0.073810	0.064286	0.072857	0.062381	0.018571	0.075714	0.055714	0.045714	0.082381	0.049524	0.058571	0.057619	0.071905	0.075714	0.075714	0.071905	0.057619	0.058571	0.049524	0.082381	0.045714	0.055714	0.075714	0.018571	0.062381	0.072857	0.064286	0.073810	0.049048	0.086190
31	0.085714	0.047143	0.075238	0.065238	0.063810	0.068571	0.018571	0.063810	0.070000	0.052381	0.069524	0.054762	0.047143	0.065238	0.073810	0.079048	0.079048	0.073810	0.065238	0.047143	0.054762	0.069524	0.052381	0.070000	0.063810	0.018571	0.068571	0.063810	0.065238	0.075238	0.047143	0.085714
32	0.085714	0.043810	0.074286	0.062857	0.069048	0.075714	0.023333	0.065238	0.060476	0.050952	0.079524	0.046190	0.050476	0.061905	0.068571	0.081905	0.081905	0.068571	0.061905	0.050476	0.046190	0.079524	0.050952	0.060476	0.065238	0.023333	0.075714	0.069048	0.062857	0.074286	0.043810	0.085714
33	0.085238	0.049524	0.075238	0.055714	0.072381	0.068095	0.016667	0.075238	0.067619	0.065238	0.063333	0.049524	0.052381	0.058095	0.070000	0.075714	0.075714	0.070000	0.058095	0.052381	0.049524	0.063333	0.065238	0.067619	0.075238	0.016667	0.068095	0.072381	0.055714	0.075238	0.049524	0.085238
34	0.088571	0.048095	0.077619	0.063333	0.077143	0.064762	0.021429	0.077619	0.050476	0.056190	0.062381	0.056190	0.049524	0.056667	0.071905	0.078095	0.078095	0.071905	0.056667	0.049524	0.056190	0.062381	0.056190	0.050476	0.077619	0.021429	0.064762	0.077143	0.063333	0.077619	0.048095	0.088571
