AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.081053	0.082491	0.052449	0.080954	0.077384	0.061471	0.062116	0.053242	0.074162	0.054035	0.061223	0.062661	0.013633	0.045707	0.076046	0.061372	0.061372	0.076046	0.045707	0.013633	0.062661	0.061223	0.054035	0.074162	0.053242	0.062116	0.061471	0.077384	0.080954	0.052449	0.082491	0.081053
0.081003	0.083879	0.052796	0.076591	0.075550	0.061273	0.060480	0.052945	0.075897	0.053787	0.060331	0.065883	0.011105	0.052994	0.073518	0.061967	0.061967	0.073518	0.052994	0.011105	0.065883	0.060331	0.053787	0.075897	0.052945	0.060480	0.061273	0.075550	0.076591	0.052796	0.083879	0.081003
0.082937	0.084474	0.047591	0.073815	0.075550	0.062215	0.065735	0.051160	0.076244	0.052598	0.065189	0.064198	0.011799	0.047442	0.074162	0.064892	0.064892	0.074162	0.047442	0.011799	0.064198	0.065189	0.052598	0.076244	0.051160	0.065735	0.062215	0.075550	0.073815	0.047591	0.084474	0.082937
0.085961	0.083532	0.050119	0.073369	0.072725	0.064545	0.066429	0.055523	0.073220	0.049028	0.061868	0.065735	0.010361	0.049475	0.076988	0.061124	0.061124	0.076988	0.049475	0.010361	0.065735	0.061868	0.049028	0.073220	0.055523	0.066429	0.064545	0.072725	0.073369	0.050119	0.083532	0.085961
0.082144	0.083631	0.052598	0.079863	0.075501	0.061075	0.065586	0.051408	0.077682	0.047839	0.063553	0.061818	0.011253	0.048384	0.073518	0.064148	0.064148	0.073518	0.048384	0.011253	0.061818	0.063553	0.047839	0.077682	0.051408	0.065586	0.061075	0.075501	0.079863	0.052598	0.083631	0.082144
0.082342	0.081350	0.049623	0.076591	0.075253	0.058100	0.068164	0.054531	0.072130	0.050119	0.062215	0.063900	0.012245	0.052003	0.079020	0.062413	0.062413	0.079020	0.052003	0.012245	0.063900	0.062215	0.050119	0.072130	0.054531	0.068164	0.058100	0.075253	0.076591	0.049623	0.081350	0.082342
0.082094	0.085713	0.051606	0.078971	0.074955	0.061075	0.062760	0.052895	0.075451	0.050813	0.060629	0.065090	0.011898	0.048285	0.073964	0.063801	0.063801	0.073964	0.048285	0.011898	0.065090	0.060629	0.050813	0.075451	0.052895	0.062760	0.061075	0.074955	0.078971	0.051606	0.085713	0.082094
0.085862	0.086456	0.051110	0.072625	0.074113	0.060629	0.063157	0.053540	0.072972	0.052300	0.060976	0.063900	0.013286	0.049524	0.074360	0.065189	0.065189	0.074360	0.049524	0.013286	0.063900	0.060976	0.052300	0.072972	0.053540	0.063157	0.060629	0.074113	0.072625	0.051110	0.086456	0.085862
0.089183	0.086456	0.050962	0.076393	0.074063	0.062116	0.063355	0.051309	0.075649	0.048979	0.059588	0.060331	0.011303	0.053490	0.075699	0.061124	0.061124	0.075699	0.053490	0.011303	0.060331	0.059588	0.048979	0.075649	0.051309	0.063355	0.062116	0.074063	0.076393	0.050962	0.086456	0.089183
0.086258	0.082292	0.051755	0.075302	0.074410	0.063950	0.064842	0.052945	0.073270	0.050367	0.064892	0.061521	0.012393	0.047492	0.075600	0.062711	0.062711	0.075600	0.047492	0.012393	0.061521	0.064892	0.050367	0.073270	0.052945	0.064842	0.063950	0.074410	0.075302	0.051755	0.082292	0.086258
0.086209	0.082193	0.053540	0.080557	0.073766	0.059935	0.061670	0.050416	0.076195	0.052102	0.061670	0.062760	0.011848	0.048681	0.078376	0.060083	0.060083	0.078376	0.048681	0.011848	0.062760	0.061670	0.052102	0.076195	0.050416	0.061670	0.059935	0.073766	0.080557	0.053540	0.082193	0.086209
0.084672	0.081846	0.049722	0.073766	0.075005	0.062463	0.063504	0.056266	0.072179	0.052796	0.061273	0.065189	0.014178	0.049524	0.076195	0.061422	0.061422	0.076195	0.049524	0.014178	0.065189	0.061273	0.052796	0.072179	0.056266	0.063504	0.062463	0.075005	0.073766	0.049722	0.081846	0.084672
0.083234	0.084176	0.052251	0.075996	0.076393	0.061719	0.062661	0.052449	0.074460	0.053242	0.062165	0.064099	0.012344	0.049921	0.074013	0.060876	0.060876	0.074013	0.049921	0.012344	0.064099	0.062165	0.053242	0.074460	0.052449	0.062661	0.061719	0.076393	0.075996	0.052251	0.084176	0.083234
0.082540	0.079814	0.048681	0.075649	0.076740	0.063256	0.063058	0.055374	0.076988	0.052598	0.062017	0.062215	0.011898	0.048632	0.075154	0.065388	0.065388	0.075154	0.048632	0.011898	0.062215	0.062017	0.052598	0.076988	0.055374	0.063058	0.063256	0.076740	0.075649	0.048681	0.079814	0.082540
0.087597	0.085019	0.049177	0.070593	0.077484	0.058695	0.066032	0.056316	0.071039	0.051160	0.063206	0.060876	0.013286	0.053242	0.075055	0.061223	0.061223	0.075055	0.053242	0.013286	0.060876	0.063206	0.051160	0.071039	0.056316	0.066032	0.058695	0.077484	0.070593	0.049177	0.085019	0.087597
0.087845	0.085862	0.048830	0.076740	0.075302	0.061075	0.064198	0.053589	0.074509	0.049921	0.063900	0.061620	0.011600	0.047839	0.074311	0.062859	0.062859	0.074311	0.047839	0.011600	0.061620	0.063900	0.049921	0.074509	0.053589	0.064198	0.061075	0.075302	0.076740	0.048830	0.085862	0.087845
0.089629	0.083432	0.053887	0.073865	0.070989	0.062017	0.064297	0.054977	0.074906	0.050813	0.058100	0.063405	0.011253	0.046351	0.077384	0.064694	0.064694	0.077384	0.046351	0.011253	0.063405	0.058100	0.050813	0.074906	0.054977	0.064297	0.062017	0.070989	0.073865	0.053887	0.083432	0.089629
0.085068	0.084275	0.054928	0.075302	0.081648	0.063206	0.062562	0.053143	0.070940	0.050069	0.062165	0.062463	0.010361	0.046698	0.076889	0.060282	0.060282	0.076889	0.046698	0.010361	0.062463	0.062165	0.050069	0.070940	0.053143	0.062562	0.063206	0.081648	0.075302	0.054928	0.084275	0.085068
0.084721	0.087101	0.049871	0.072923	0.069998	0.061025	0.064842	0.052746	0.076839	0.051309	0.062165	0.063553	0.013087	0.049028	0.074906	0.065883	0.065883	0.074906	0.049028	0.013087	0.063553	0.062165	0.051309	0.076839	0.052746	0.064842	0.061025	0.069998	0.072923	0.049871	0.087101	0.084721
