pos	AA.f	AC.f	AG.f	AT.f	CA.f	CC.f	CG.f	CT.f	GA.f	GC.f	GG.f	GT.f	TA.f	TC.f	TG.f	TT.f	AA.r	AC.r	AG.r	AT.r	CA.r	CC.r	CG.r	CT.r	GA.r	GC.r	GG.r	GT.r	TA.r	TC.r	TG.r	TT.r
25	0.091247	0.049911	0.074841	0.068448	0.069935	0.058436	0.014027	0.073354	0.064136	0.048226	0.062302	0.051745	0.054322	0.060418	0.073652	0.085002	0.085002	0.073652	0.060418	0.054322	0.051745	0.062302	0.048226	0.064136	0.073354	0.014027	0.058436	0.069935	0.068448	0.074841	0.049911	0.091247
26	0.090801	0.049118	0.074544	0.065176	0.068349	0.059328	0.013977	0.075337	0.059278	0.049266	0.064185	0.052092	0.057395	0.059328	0.073156	0.088670	0.088670	0.073156	0.059328	0.057395	0.052092	0.064185	0.049266	0.059278	0.075337	0.013977	0.059328	0.068349	0.065176	0.074544	0.049118	0.090801
27	0.091197	0.047185	0.073206	0.064235	0.068398	0.060864	0.013680	0.074098	0.061707	0.047581	0.063442	0.053132	0.055710	0.062599	0.073503	0.089463	0.089463	0.073503	0.062599	0.055710	0.053132	0.063442	0.047581	0.061707	0.074098	0.013680	0.060864	0.068398	0.064235	0.073206	0.047185	0.091197
28	0.090305	0.047532	0.072958	0.066217	0.072611	0.060666	0.014324	0.070628	0.063690	0.047829	0.060121	0.052191	0.054917	0.058436	0.075684	0.091891	0.091891	0.075684	0.058436	0.054917	0.052191	0.060121	0.047829	0.063690	0.070628	0.014324	0.060666	0.072611	0.066217	0.072958	0.047532	0.090305
29	0.088125	0.053033	0.073999	0.066366	0.068497	0.059130	0.014076	0.072760	0.059526	0.050059	0.058981	0.054520	0.058337	0.057197	0.075040	0.090355	0.090355	0.075040	0.057197	0.058337	0.054520	0.058981	0.050059	0.059526	0.072760	0.014076	0.059130	0.068497	0.066366	0.073999	0.053033	0.088125
30	0.084853	0.049366	0.072413	0.067853	0.071025	0.064185	0.014324	0.069885	0.057345	0.047928	0.064631	0.052191	0.057544	0.059526	0.076675	0.090256	0.090256	0.076675	0.059526	0.057544	0.052191	0.064631	0.047928	0.057345	0.069885	0.014324	0.064185	0.071025	0.067853	0.072413	0.049366	0.084853
31	0.086737	0.048275	0.071075	0.064681	0.070529	0.059427	0.013828	0.077220	0.058931	0.050952	0.067506	0.050654	0.054372	0.059923	0.075684	0.090206	0.090206	0.075684	0.059923	0.054372	0.050654	0.067506	0.050952	0.058931	0.077220	0.013828	0.059427	0.070529	0.064681	0.071075	0.048275	0.086737
32	0.085894	0.047780	0.074148	0.062748	0.071719	0.057048	0.015761	0.074048	0.061261	0.047532	0.065920	0.053380	0.053925	0.060369	0.075387	0.093081	0.093081	0.075387	0.060369	0.053925	0.053380	0.065920	0.047532	0.061261	0.074048	0.015761	0.057048	0.071719	0.062748	0.074148	0.047780	0.085894
33	0.086885	0.048573	0.074197	0.063144	0.068299	0.059328	0.013481	0.071620	0.059972	0.049415	0.068002	0.053826	0.055214	0.060567	0.074395	0.093081	0.093081	0.074395	0.060567	0.055214	0.053826	0.068002	0.049415	0.059972	0.071620	0.013481	0.059328	0.068299	0.063144	0.074197	0.048573	0.086885
34	0.088719	0.048027	0.072512	0.061112	0.071620	0.060319	0.014374	0.071570	0.060815	0.051596	0.064036	0.053628	0.056503	0.061162	0.073949	0.090057	0.090057	0.073949	0.061162	0.056503	0.053628	0.064036	0.051596	0.060815	0.071570	0.014374	0.060319	0.071620	0.061112	0.072512	0.048027	0.088719
