pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	TA	TC	TG	TT	WW	SS	RR	YY
-73	0.081044	0.058957	0.0659535	0.052089	0.0597485	0.0716725	0.0419265	0.063885	0.0650855	0.0405985	0.071571	0.063528	0.05454	0.0650085	0.0627365	0.081657	0.26933	0.225769	0.283654	0.282223
-72	0.0807375	0.0592125	0.0664895	0.0540035	0.0567615	0.0719535	0.042718	0.064932	0.064345	0.042641	0.073792	0.059391	0.0539015	0.0679195	0.061051	0.08015	0.268792	0.231105	0.285364	0.284955
-71	0.08015	0.0586765	0.06243	0.0548205	0.0605405	0.0699875	0.0415685	0.067281	0.0658255	0.0430755	0.07249	0.0615105	0.053825	0.066822	0.060796	0.080201	0.268996	0.227121	0.280895	0.284292
-70	0.079716	0.0575015	0.0661065	0.0545655	0.059468	0.0743795	0.042973	0.0671535	0.0657745	0.0396535	0.070575	0.0609235	0.052242	0.064166	0.0627365	0.0820655	0.268589	0.227581	0.282172	0.287765
-69	0.080252	0.0598	0.064064	0.050914	0.0581655	0.0697065	0.04185	0.0678425	0.063962	0.043535	0.071137	0.0636045	0.0531865	0.068711	0.06243	0.0808395	0.265192	0.226228	0.279415	0.2871
-68	0.079078	0.0581915	0.0657745	0.054693	0.0585745	0.0735625	0.0403945	0.0625575	0.064013	0.04116	0.072184	0.062583	0.053161	0.0689665	0.0636295	0.081478	0.26841	0.227301	0.281049	0.286564
-67	0.078337	0.057885	0.064345	0.054438	0.0593655	0.068992	0.043356	0.06986	0.065596	0.041671	0.072848	0.0619445	0.0551785	0.066822	0.057451	0.081912	0.269865	0.226867	0.281126	0.287586
-66	0.07655	0.059774	0.065596	0.054795	0.058421	0.0701665	0.042718	0.0663875	0.0645495	0.040241	0.0713155	0.061204	0.054693	0.067562	0.061434	0.084593	0.270631	0.224441	0.278011	0.288709
-65	0.080227	0.0573995	0.0647275	0.051859	0.059902	0.068839	0.0430495	0.066413	0.065417	0.0428455	0.0715965	0.063451	0.051476	0.068226	0.059723	0.0848485	0.26841	0.22633	0.281968	0.288326
-64	0.0785415	0.058625	0.0661065	0.0546165	0.057885	0.0722855	0.043024	0.067256	0.0645745	0.0429985	0.0719535	0.0598765	0.052931	0.065979	0.061306	0.08204	0.268129	0.230262	0.281176	0.28756
-63	0.0771885	0.0575275	0.066592	0.052216	0.060132	0.073767	0.041952	0.0674855	0.064498	0.0413645	0.0715455	0.061664	0.0536975	0.0678425	0.059876	0.0826525	0.265755	0.228629	0.279824	0.291747
-62	0.0765755	0.059187	0.0657745	0.0515015	0.05814	0.0733325	0.0418495	0.0663875	0.0647025	0.0434075	0.0702175	0.0630425	0.0542845	0.0692985	0.0611275	0.0811715	0.263533	0.228807	0.27727	0.29019
-61	0.077418	0.0592635	0.0634005	0.0523185	0.0587785	0.0739455	0.0423345	0.0656215	0.0655705	0.04162	0.0735625	0.0625065	0.051808	0.0679195	0.06174	0.082193	0.263738	0.231462	0.279952	0.289679
-60	0.078414	0.058242	0.0677665	0.051731	0.0603105	0.070601	0.040828	0.0704215	0.064319	0.042258	0.07346	0.059289	0.052114	0.0669495	0.062149	0.081146	0.263405	0.227147	0.28396	0.289118
-59	0.079665	0.0566085	0.0658515	0.05311	0.0560975	0.0733585	0.04116	0.0687365	0.0658765	0.0428965	0.072388	0.062685	0.051808	0.0671795	0.061715	0.0808655	0.265448	0.229803	0.283781	0.29014
-58	0.077827	0.0568635	0.0652895	0.0516035	0.059519	0.073205	0.043331	0.065979	0.0636045	0.0433305	0.073971	0.061664	0.052625	0.066847	0.06266	0.081682	0.263738	0.233837	0.280692	0.287713
-57	0.0789755	0.060489	0.0656725	0.052395	0.0613315	0.072107	0.041237	0.065264	0.0629915	0.042386	0.072873	0.061383	0.0519355	0.0679705	0.0618935	0.081095	0.264401	0.228603	0.280512	0.286436
-56	0.077827	0.059825	0.0662085	0.054693	0.059672	0.073077	0.038505	0.067613	0.0668725	0.0410325	0.0728475	0.062685	0.0527015	0.06649	0.0609235	0.079027	0.264248	0.225462	0.283755	0.286207
-55	0.078669	0.0613575	0.064217	0.0522675	0.057936	0.073205	0.042386	0.065545	0.0676135	0.039475	0.0718005	0.0631955	0.0523185	0.066643	0.061766	0.0816055	0.26486	0.226867	0.2823	0.286998
-54	0.0802015	0.058855	0.063604	0.051629	0.0605145	0.07272	0.042156	0.066668	0.062889	0.043254	0.0718265	0.0622255	0.052395	0.0663875	0.0626595	0.082014	0.266239	0.229957	0.278521	0.28779
-53	0.0788735	0.05934	0.066566	0.0522675	0.0610765	0.0737155	0.0418755	0.0660555	0.064396	0.0412365	0.0720045	0.0617915	0.052344	0.0664385	0.0617405	0.0802775	0.263763	0.228832	0.28184	0.286487
-52	0.078797	0.0613575	0.0649575	0.0543355	0.05814	0.0738435	0.0414155	0.0652895	0.0663875	0.0410075	0.071469	0.062149	0.05191	0.065928	0.0616895	0.081325	0.266367	0.227736	0.281611	0.286386
-51	0.076984	0.0586765	0.0644725	0.053442	0.0608975	0.072975	0.040854	0.066132	0.065392	0.0421815	0.0758605	0.0601315	0.05574	0.0645745	0.0622765	0.0794095	0.265575	0.231871	0.282709	0.283091
-50	0.074916	0.05671	0.069094	0.053799	0.0580125	0.0723625	0.0431265	0.0638855	0.067664	0.0434585	0.07392	0.0614085	0.0530845	0.0673065	0.0615365	0.079716	0.261516	0.232868	0.285594	0.28327
-49	0.0756815	0.0563785	0.065136	0.0536465	0.0598765	0.0742775	0.042641	0.067843	0.0659535	0.041696	0.076218	0.0612295	0.051552	0.0654935	0.0624555	0.0799205	0.2608	0.234832	0.282989	0.287534
-48	0.074405	0.0616895	0.064779	0.0504035	0.0604635	0.072618	0.043228	0.064779	0.065417	0.041467	0.0737925	0.062532	0.052727	0.067664	0.061383	0.0826525	0.260188	0.231106	0.278394	0.287714
-47	0.0748135	0.0587275	0.064498	0.0542845	0.0587785	0.0726175	0.040956	0.0670005	0.064932	0.043024	0.074635	0.0634255	0.0528545	0.065647	0.0620725	0.081733	0.263686	0.231233	0.278879	0.286998
-46	0.076473	0.0597995	0.065928	0.05431	0.058217	0.0706775	0.0443775	0.066898	0.0629915	0.0440455	0.0715965	0.062328	0.0522925	0.066081	0.062787	0.081197	0.264272	0.230697	0.276989	0.284854
-45	0.0730265	0.0586255	0.0658255	0.054131	0.0577825	0.0736645	0.041569	0.068354	0.0672045	0.0422075	0.0720305	0.061485	0.0552035	0.0679705	0.061332	0.0795885	0.26195	0.229471	0.278087	0.289577
-44	0.0755285	0.057834	0.066898	0.0507865	0.0577575	0.072694	0.0426415	0.070294	0.063911	0.043765	0.0734605	0.060923	0.05431	0.0681745	0.0600295	0.080993	0.261618	0.232561	0.279798	0.292156
-43	0.077852	0.057119	0.0643705	0.051629	0.059519	0.0743795	0.04259	0.066668	0.064268	0.0413135	0.071979	0.0636555	0.0542845	0.067051	0.0627875	0.0805335	0.264299	0.230262	0.27847	0.288632
-42	0.076601	0.0593915	0.067792	0.054055	0.057987	0.0720305	0.041492	0.066515	0.0640895	0.04236	0.0728985	0.060464	0.05288	0.067026	0.062685	0.081733	0.265269	0.228781	0.281381	0.287304
-41	0.07512	0.0587785	0.0655705	0.0521655	0.059085	0.0709065	0.0431005	0.069094	0.0674345	0.0429475	0.0715705	0.0620215	0.051272	0.0664895	0.0613575	0.0830865	0.261644	0.228525	0.279695	0.289577
-40	0.0756305	0.060234	0.0628895	0.051757	0.0590085	0.074482	0.0405475	0.066515	0.064013	0.0430495	0.0754775	0.0593915	0.0537485	0.0664385	0.0612045	0.0856145	0.266751	0.233557	0.278011	0.29305
-39	0.075937	0.05957	0.065085	0.0537995	0.060183	0.072541	0.041952	0.0685835	0.0646255	0.0420795	0.0724135	0.060285	0.052293	0.0656725	0.0615105	0.0834695	0.265499	0.228986	0.278061	0.290266
-38	0.079001	0.0591105	0.0642935	0.053927	0.058753	0.072975	0.0417985	0.0652895	0.063502	0.041339	0.0721325	0.064115	0.053365	0.068175	0.0606935	0.081529	0.267822	0.228245	0.278929	0.287969
-37	0.075452	0.059672	0.0662345	0.0536205	0.0608465	0.0747625	0.042769	0.064753	0.064447	0.0419265	0.0731285	0.0597485	0.055153	0.064447	0.0617915	0.081248	0.265474	0.232586	0.279262	0.285211
-36	0.0762435	0.060336	0.0640125	0.054208	0.0598765	0.0755795	0.041339	0.0641405	0.065877	0.0437645	0.07535	0.060566	0.051195	0.066745	0.060004	0.080763	0.262409	0.236033	0.281483	0.287228
-35	0.0754265	0.0578845	0.065596	0.053493	0.060336	0.0733585	0.043816	0.0672305	0.0653915	0.040573	0.0739965	0.060285	0.0535185	0.0674345	0.0607955	0.080865	0.263303	0.231744	0.280411	0.288888
-34	0.075963	0.0585745	0.065417	0.0531865	0.059621	0.071928	0.0419775	0.0660555	0.0660045	0.045169	0.0728475	0.0607445	0.053161	0.0680725	0.0604895	0.080788	0.263099	0.231922	0.280232	0.286844
-33	0.076116	0.0601825	0.0649065	0.05288	0.061051	0.0720815	0.0416455	0.068507	0.06317	0.0429475	0.0766775	0.060004	0.0532635	0.067843	0.059519	0.0792055	0.261465	0.233352	0.28087	0.287637
-32	0.0770605	0.060183	0.0645235	0.0523185	0.060617	0.0730265	0.042871	0.066311	0.0664895	0.0410835	0.0723365	0.059825	0.053008	0.067179	0.0610765	0.082091	0.264478	0.229317	0.28041	0.288608
-31	0.0750945	0.058523	0.066439	0.0556635	0.061281	0.0744305	0.042488	0.067358	0.0650085	0.042488	0.0721585	0.060872	0.052829	0.0653915	0.060821	0.0791545	0.262742	0.231565	0.2787	0.286334
-30	0.077265	0.0618425	0.0653155	0.053314	0.0593405	0.074354	0.0436115	0.0644215	0.064932	0.042156	0.0715705	0.062583	0.051629	0.068047	0.060464	0.0791545	0.261362	0.231692	0.279083	0.285977
-29	0.0783625	0.0603615	0.065264	0.053136	0.0603105	0.0736135	0.041339	0.068226	0.0666685	0.041926	0.0737415	0.059366	0.052727	0.0641405	0.061511	0.0793075	0.263533	0.23062	0.284037	0.285288
-28	0.0792055	0.0603105	0.0644215	0.052293	0.059136	0.073077	0.041288	0.0672045	0.0663875	0.043586	0.0757585	0.0573995	0.0521145	0.067894	0.0608725	0.079052	0.262665	0.23371	0.285773	0.287228
-27	0.0784905	0.0603105	0.063579	0.051859	0.0598255	0.0742265	0.043765	0.0652385	0.067511	0.041211	0.0760645	0.060285	0.0520375	0.0676135	0.0580125	0.0799715	0.262359	0.235267	0.285645	0.28705
-26	0.0770095	0.0584975	0.067332	0.0533655	0.0612555	0.0735115	0.043382	0.065213	0.065698	0.0419005	0.075656	0.0605915	0.0517565	0.067179	0.0604895	0.0771625	0.259294	0.23445	0.285695	0.283066
-25	0.0768055	0.061383	0.068507	0.0551785	0.058881	0.075554	0.042003	0.063987	0.0649065	0.042718	0.07632	0.0586765	0.053212	0.064141	0.059621	0.0781075	0.263304	0.236595	0.286539	0.28179
-24	0.07775	0.0594675	0.0653155	0.0548205	0.0619955	0.0739455	0.0428455	0.0642425	0.0677915	0.0433305	0.074073	0.060413	0.054412	0.063451	0.0588295	0.077316	0.264298	0.234194	0.28493	0.278955
-23	0.077137	0.0600805	0.0659025	0.0550505	0.0588805	0.074431	0.0424625	0.063604	0.0653405	0.042386	0.074737	0.0589315	0.0552805	0.066566	0.062583	0.0766265	0.264095	0.234016	0.283117	0.281227
-22	0.076371	0.057553	0.0638595	0.0545655	0.0599275	0.073307	0.0423855	0.0676895	0.066745	0.042718	0.076397	0.062123	0.05311	0.065468	0.059391	0.0783885	0.262435	0.234808	0.283372	0.284853
-21	0.076652	0.0583445	0.067664	0.054387	0.0583445	0.0754265	0.04282	0.0664385	0.0649065	0.042309	0.07489	0.061	0.052012	0.0655705	0.0619955	0.0772395	0.26029	0.235445	0.284112	0.284675
-20	0.0780055	0.062047	0.0664385	0.049765	0.0602335	0.073511	0.041926	0.0653405	0.067766	0.0430495	0.075222	0.0617915	0.049535	0.068354	0.0613575	0.0756565	0.252962	0.233708	0.287432	0.282862
-19	0.0775715	0.060668	0.067077	0.052012	0.062149	0.073026	0.0437395	0.066643	0.066158	0.0405725	0.0763965	0.0605145	0.053212	0.065468	0.0595185	0.075273	0.258069	0.233734	0.287203	0.28041
-18	0.0764475	0.0596975	0.0690685	0.0520885	0.0603105	0.074456	0.040675	0.064115	0.066898	0.043509	0.0737665	0.0599785	0.0539015	0.065392	0.060336	0.0793585	0.261796	0.232407	0.286181	0.283322
-17	0.077316	0.0607445	0.065826	0.0538245	0.0581405	0.073128	0.043382	0.064396	0.066439	0.042565	0.076269	0.0624805	0.0539525	0.064345	0.059238	0.0779545	0.263047	0.235344	0.28585	0.279823
-16	0.0791545	0.060719	0.067077	0.05214	0.0584975	0.072311	0.0435605	0.0649065	0.0675875	0.043152	0.076652	0.0596215	0.053927	0.064728	0.059519	0.0764475	0.261669	0.235676	0.290471	0.278393
-15	0.0796395	0.0588805	0.067077	0.051093	0.060617	0.075094	0.0434585	0.06506	0.0679705	0.043152	0.0740475	0.0593655	0.052676	0.063834	0.061128	0.076907	0.260316	0.235752	0.288735	0.280895
-14	0.077265	0.058804	0.069145	0.0534675	0.0605405	0.0743795	0.0418245	0.065647	0.066209	0.0423605	0.0740475	0.0589315	0.0501225	0.0674345	0.061587	0.0782355	0.259091	0.232612	0.286666	0.285697
-13	0.0760645	0.0592125	0.065928	0.0519865	0.058472	0.0731795	0.0424625	0.065877	0.0684555	0.0425135	0.0756305	0.062583	0.0520885	0.066158	0.0606425	0.078746	0.258885	0.233786	0.286079	0.283961
-12	0.077137	0.0586765	0.064702	0.052778	0.058498	0.0740985	0.042258	0.0636045	0.0687365	0.04379	0.076397	0.059136	0.0540545	0.0658515	0.06174	0.0785415	0.262511	0.236544	0.286973	0.282096
-11	0.079793	0.059238	0.0672045	0.0548975	0.059008	0.0743285	0.044173	0.068507	0.065315	0.0413135	0.073716	0.060004	0.0524715	0.0621745	0.060132	0.0777245	0.264887	0.233531	0.286029	0.282734
-10	0.0781075	0.058804	0.0668725	0.0516035	0.0592635	0.0735625	0.041722	0.066132	0.068226	0.043254	0.073843	0.060387	0.0535185	0.067179	0.059238	0.0782865	0.261516	0.232382	0.287049	0.28516
-9	0.076805	0.058191	0.067894	0.0539525	0.061587	0.074456	0.043356	0.0636555	0.063732	0.0442755	0.0748135	0.061766	0.052242	0.066081	0.0603365	0.0768565	0.259856	0.236901	0.283245	0.281049
