pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.079222	0.058626	0.064728	0.053348	0.058702	0.070754	0.041867	0.066753	0.064524	0.042122	0.072056	0.062711	0.280530	0.226799	0.053842	0.068166	0.061170	0.081410	0.267822	0.287083
-67	0.077988	0.058617	0.065238	0.054642	0.058787	0.070907	0.042156	0.066268	0.064719	0.041024	0.072116	0.061910	0.280062	0.226203	0.054344	0.067783	0.060838	0.082661	0.269635	0.287620
-66	0.078371	0.058353	0.064889	0.053697	0.059230	0.069332	0.043041	0.067553	0.065187	0.041586	0.071920	0.062200	0.280368	0.225879	0.053783	0.067537	0.059536	0.083784	0.269635	0.288207
-65	0.078439	0.058600	0.065477	0.053757	0.058736	0.070430	0.042930	0.066685	0.064847	0.042028	0.071622	0.061510	0.280385	0.227011	0.053033	0.067256	0.060821	0.083827	0.269057	0.288198
-64	0.078652	0.057851	0.065809	0.052897	0.059306	0.071630	0.042675	0.067051	0.064830	0.042403	0.071699	0.061664	0.280989	0.228407	0.052702	0.067349	0.060302	0.083180	0.267431	0.289211
-63	0.077435	0.058447	0.066158	0.052778	0.058719	0.073128	0.042275	0.067043	0.064592	0.042590	0.071239	0.061528	0.279423	0.229233	0.053638	0.067707	0.060770	0.081955	0.265806	0.289832
-62	0.077061	0.058659	0.065256	0.052012	0.059017	0.073682	0.042045	0.066498	0.064924	0.042131	0.071775	0.062404	0.279015	0.229633	0.053263	0.068353	0.060914	0.082006	0.264342	0.290539
-61	0.077469	0.058898	0.065647	0.051850	0.059076	0.072626	0.041671	0.067477	0.064864	0.042428	0.072413	0.061613	0.280394	0.229139	0.052736	0.068056	0.061672	0.081503	0.263559	0.289662
-60	0.078499	0.058038	0.065673	0.052387	0.058396	0.072635	0.041441	0.068260	0.065255	0.042258	0.073137	0.061493	0.282564	0.229471	0.051910	0.067349	0.061868	0.081401	0.264197	0.289646
-59	0.078635	0.057238	0.066302	0.052148	0.058642	0.072388	0.041773	0.068379	0.064600	0.042828	0.073273	0.061213	0.282811	0.230262	0.052182	0.066992	0.062175	0.081231	0.264197	0.288990
-58	0.078823	0.057987	0.065604	0.052370	0.058983	0.072890	0.041909	0.066660	0.064157	0.042871	0.073077	0.061911	0.281662	0.230748	0.052123	0.067332	0.062089	0.081214	0.264529	0.288096
-57	0.078210	0.059059	0.065723	0.052897	0.060174	0.072796	0.041024	0.066285	0.064489	0.042250	0.073231	0.061911	0.281653	0.229301	0.052421	0.067102	0.061826	0.080601	0.264129	0.286785
-56	0.078491	0.060557	0.065366	0.053119	0.059647	0.072796	0.040709	0.066141	0.065826	0.040964	0.072507	0.062421	0.282189	0.226977	0.052319	0.067034	0.061528	0.080576	0.264503	0.286547
-55	0.078899	0.060013	0.064676	0.052863	0.059374	0.073001	0.041016	0.066609	0.065792	0.041254	0.072158	0.062702	0.281525	0.227429	0.052472	0.066507	0.061783	0.080882	0.265116	0.286998
-54	0.079248	0.059851	0.064796	0.052055	0.059842	0.073214	0.042139	0.066089	0.064966	0.041322	0.071877	0.062404	0.280887	0.228552	0.052353	0.066490	0.062055	0.081299	0.264954	0.287092
-53	0.079291	0.059851	0.065042	0.052744	0.059910	0.073426	0.041816	0.066004	0.064557	0.041833	0.071767	0.062055	0.280657	0.228842	0.052216	0.066251	0.062030	0.081205	0.265456	0.286888
-52	0.078218	0.059791	0.065332	0.053348	0.060038	0.073511	0.041382	0.065826	0.065392	0.041475	0.073111	0.061357	0.282053	0.229480	0.053331	0.065647	0.061902	0.080337	0.265235	0.285321
-51	0.076899	0.058915	0.066175	0.053859	0.059017	0.073060	0.041799	0.065102	0.066481	0.042216	0.073750	0.061230	0.283305	0.230825	0.053578	0.065936	0.061834	0.080150	0.264486	0.284249
-50	0.075861	0.057255	0.066234	0.053629	0.059596	0.073205	0.042207	0.065953	0.066336	0.042445	0.075333	0.060923	0.283764	0.233190	0.053459	0.065791	0.062089	0.079682	0.262630	0.284632
-49	0.075001	0.058259	0.066336	0.052616	0.059451	0.073086	0.042998	0.065502	0.066345	0.042207	0.074644	0.061723	0.282326	0.232935	0.052455	0.066821	0.061792	0.080763	0.260835	0.286173
-48	0.074967	0.058932	0.064804	0.052778	0.059706	0.073171	0.042275	0.066541	0.065434	0.042062	0.074882	0.062396	0.280087	0.232390	0.052378	0.066268	0.061970	0.081435	0.261558	0.287415
-47	0.075231	0.060072	0.065068	0.052999	0.059153	0.071971	0.042854	0.066226	0.064447	0.042845	0.073341	0.062762	0.278087	0.231012	0.052625	0.066464	0.062081	0.081861	0.262715	0.286522
-46	0.074771	0.059051	0.065417	0.054242	0.058259	0.072320	0.042301	0.067417	0.065043	0.043092	0.072754	0.062413	0.277985	0.230467	0.053450	0.066566	0.062064	0.080839	0.263303	0.287143
-45	0.075009	0.058753	0.066217	0.053076	0.057919	0.072345	0.042863	0.068515	0.064702	0.043339	0.072363	0.061579	0.278291	0.230910	0.053935	0.067409	0.061383	0.080593	0.262613	0.288862
-44	0.075469	0.057860	0.065698	0.052182	0.058353	0.073579	0.042267	0.068439	0.065128	0.042429	0.072490	0.062021	0.278785	0.230765	0.054599	0.067732	0.061383	0.080372	0.262622	0.290122
-43	0.076661	0.058115	0.066353	0.052157	0.058421	0.073035	0.042241	0.067826	0.064089	0.042479	0.072779	0.061681	0.279883	0.230535	0.053825	0.067417	0.061834	0.081086	0.263729	0.289364
