pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.080400	0.058331	0.064282	0.054730	0.060605	0.068557	0.039497	0.068097	0.064419	0.040443	0.066403	0.062656	0.275504	0.214900	0.054823	0.068735	0.063065	0.084955	0.274908	0.290345
-67	0.079310	0.058902	0.064018	0.055215	0.060111	0.068983	0.040093	0.068233	0.063635	0.041013	0.066003	0.061848	0.272967	0.216092	0.054653	0.069008	0.062376	0.086598	0.275777	0.292822
-66	0.079293	0.059473	0.063490	0.054926	0.059608	0.068702	0.040230	0.068761	0.063159	0.042001	0.065883	0.062171	0.271826	0.216816	0.053887	0.069408	0.061831	0.087178	0.275283	0.294049
-65	0.079591	0.059770	0.064180	0.054687	0.058953	0.068897	0.040656	0.069238	0.062954	0.042112	0.066556	0.061260	0.273282	0.218221	0.054542	0.069349	0.061090	0.086164	0.274986	0.293649
-64	0.081405	0.058791	0.064197	0.053904	0.058893	0.069749	0.040281	0.069528	0.062273	0.041916	0.067552	0.061149	0.275427	0.219498	0.055326	0.069510	0.060289	0.085236	0.275871	0.294023
-63	0.081873	0.059634	0.063686	0.053342	0.059362	0.069706	0.041132	0.068565	0.063533	0.040851	0.067211	0.062162	0.276304	0.218902	0.055207	0.069459	0.060145	0.084130	0.274551	0.291861
-62	0.082324	0.059583	0.064163	0.052737	0.059940	0.070822	0.041303	0.067748	0.063925	0.040162	0.067671	0.063389	0.278084	0.219957	0.054713	0.067961	0.059847	0.083712	0.273487	0.290243
-61	0.081618	0.060689	0.064725	0.052584	0.060409	0.070234	0.041992	0.066718	0.064095	0.040596	0.066769	0.063908	0.277207	0.219591	0.054185	0.066786	0.060766	0.083925	0.272312	0.287663
-60	0.081865	0.059659	0.066420	0.052363	0.059259	0.071077	0.041362	0.067161	0.062716	0.040860	0.067509	0.063108	0.278510	0.220809	0.055419	0.066054	0.060349	0.084819	0.274466	0.289111
-59	0.082018	0.059983	0.064725	0.052482	0.058553	0.070413	0.040945	0.067697	0.062512	0.041643	0.067390	0.061430	0.276645	0.220392	0.055726	0.067118	0.061098	0.086266	0.276492	0.291495
-58	0.082512	0.059208	0.064214	0.052772	0.058119	0.071077	0.040570	0.069442	0.063125	0.041967	0.066539	0.061166	0.276390	0.220154	0.055096	0.066709	0.061566	0.085917	0.276296	0.293147
-57	0.082622	0.060579	0.063124	0.053351	0.059396	0.069732	0.039429	0.069604	0.064010	0.041779	0.067493	0.061183	0.277250	0.218434	0.053972	0.067425	0.062009	0.084291	0.274235	0.291052
-56	0.083005	0.060298	0.064768	0.054364	0.060622	0.069400	0.039319	0.068991	0.064955	0.040085	0.068174	0.061507	0.280902	0.216977	0.053240	0.066505	0.061754	0.083014	0.273623	0.287910
-55	0.082861	0.060971	0.064674	0.054134	0.060587	0.068923	0.039302	0.067791	0.064410	0.039830	0.069510	0.061039	0.281456	0.217565	0.055394	0.066956	0.061728	0.081890	0.274279	0.285560
-54	0.082376	0.060766	0.064640	0.054253	0.059830	0.068710	0.040340	0.068191	0.063959	0.039872	0.068472	0.061217	0.279447	0.217394	0.056577	0.067237	0.061226	0.082333	0.275539	0.286471
-53	0.081243	0.061081	0.063542	0.054202	0.059259	0.068659	0.040596	0.068463	0.062742	0.041047	0.068037	0.061473	0.275564	0.218340	0.058698	0.067348	0.061115	0.082495	0.276638	0.286964
-52	0.080477	0.059778	0.064359	0.055360	0.060025	0.069340	0.040426	0.068301	0.063457	0.040724	0.067356	0.061924	0.275649	0.217846	0.057471	0.067237	0.060885	0.082878	0.276186	0.287756
-51	0.081201	0.060085	0.064061	0.055956	0.060136	0.069323	0.039770	0.067654	0.064691	0.041166	0.067603	0.060102	0.277556	0.217862	0.056118	0.066352	0.061984	0.083797	0.277072	0.287126
-50	0.081371	0.059923	0.064802	0.056705	0.060298	0.069212	0.039336	0.067748	0.064998	0.041328	0.067663	0.060093	0.278833	0.217539	0.053972	0.066820	0.062205	0.083525	0.275573	0.287305
-49	0.080758	0.060034	0.063763	0.056398	0.060358	0.068182	0.039830	0.068472	0.064964	0.041337	0.068702	0.059370	0.278186	0.218050	0.053845	0.066965	0.062938	0.084087	0.275087	0.287705
-48	0.080068	0.060315	0.064223	0.056151	0.059574	0.068080	0.040621	0.067543	0.063738	0.041141	0.069826	0.060579	0.277855	0.219668	0.053487	0.067637	0.062887	0.084129	0.273836	0.287390
-47	0.080647	0.059940	0.062954	0.055019	0.059872	0.068046	0.041345	0.067850	0.065041	0.041686	0.069919	0.060460	0.278562	0.220996	0.053870	0.066982	0.062989	0.083380	0.272916	0.286258
-46	0.081507	0.059855	0.064172	0.054534	0.058476	0.069825	0.041218	0.067944	0.064760	0.041515	0.070183	0.060690	0.280622	0.222742	0.054355	0.066266	0.061669	0.083031	0.273427	0.287067
-45	0.081379	0.059123	0.064095	0.053291	0.059651	0.070089	0.040681	0.069987	0.065483	0.041141	0.070336	0.060511	0.281294	0.222248	0.054849	0.066249	0.061584	0.081550	0.271069	0.287876
-44	0.081243	0.060332	0.065117	0.053555	0.059319	0.071043	0.040937	0.068267	0.063321	0.040187	0.071196	0.060988	0.280877	0.223364	0.054841	0.066948	0.061703	0.081005	0.270643	0.287263
-43	0.081694	0.060443	0.064470	0.053785	0.060145	0.069613	0.040315	0.067612	0.063746	0.041294	0.070600	0.062120	0.280511	0.221822	0.055232	0.067177	0.060868	0.080886	0.271597	0.285288
-42	0.081566	0.059804	0.064444	0.054943	0.059566	0.070371	0.040570	0.066020	0.063772	0.041013	0.069885	0.062929	0.279668	0.221840	0.054866	0.066862	0.061558	0.081831	0.273206	0.285083
-41	0.081303	0.058663	0.063925	0.053725	0.058561	0.069383	0.039983	0.067288	0.063942	0.041286	0.070915	0.062691	0.280085	0.221567	0.055667	0.066283	0.062733	0.083653	0.274347	0.286607
-40	0.080247	0.059072	0.064342	0.054032	0.057429	0.068480	0.040392	0.067577	0.064453	0.040221	0.071911	0.062461	0.280954	0.221005	0.053342	0.067629	0.063704	0.084709	0.272329	0.288395
-39	0.080843	0.058016	0.063499	0.053546	0.059089	0.068642	0.040647	0.067884	0.064019	0.040928	0.072797	0.062120	0.281159	0.223014	0.053819	0.067331	0.062597	0.084223	0.272432	0.288080
-38	0.081311	0.058697	0.064776	0.054858	0.059455	0.069698	0.041277	0.068608	0.064436	0.040477	0.071222	0.061337	0.281746	0.222674	0.052848	0.067748	0.060587	0.082665	0.271682	0.288719
-37	0.082333	0.059642	0.064708	0.054176	0.060094	0.071307	0.041354	0.067978	0.064683	0.040536	0.071230	0.059055	0.282955	0.224428	0.053793	0.067910	0.059830	0.081371	0.271673	0.288566
-36	0.083448	0.061226	0.064138	0.054679	0.059072	0.070430	0.041507	0.068174	0.065415	0.040026	0.070464	0.058101	0.283465	0.222427	0.054789	0.068037	0.059038	0.081456	0.274372	0.288097
-35	0.084334	0.061371	0.063874	0.054347	0.059617	0.069893	0.039855	0.066837	0.065977	0.040204	0.069578	0.058672	0.283763	0.219532	0.056032	0.067518	0.059651	0.082239	0.276952	0.286488
-34	0.083789	0.060783	0.064317	0.056177	0.060877	0.068914	0.039753	0.067050	0.066488	0.040111	0.068821	0.059447	0.283414	0.217599	0.055956	0.065985	0.059728	0.081805	0.277727	0.283755
-33	0.081286	0.060817	0.065475	0.057190	0.060485	0.069689	0.039795	0.065968	0.066147	0.040605	0.068353	0.060170	0.281260	0.218442	0.055811	0.066062	0.060630	0.081515	0.275803	0.283236
-32	0.080051	0.058953	0.064572	0.056407	0.060622	0.070277	0.041447	0.066513	0.066377	0.040562	0.069528	0.060783	0.280528	0.221813	0.055240	0.067578	0.059719	0.081371	0.273069	0.285739
-31	0.079966	0.059472	0.064870	0.055368	0.059447	0.071631	0.042511	0.065245	0.064844	0.040613	0.069034	0.061047	0.278714	0.223789	0.055607	0.068897	0.060051	0.081396	0.272337	0.287169
-30	0.080715	0.060613	0.065364	0.055377	0.060468	0.071622	0.041907	0.065389	0.064419	0.039974	0.069911	0.061550	0.280409	0.223414	0.054185	0.067544	0.059430	0.081532	0.271809	0.286087
-29	0.081532	0.062128	0.065534	0.055454	0.060911	0.071426	0.040630	0.064002	0.064725	0.041047	0.069936	0.060255	0.281728	0.223039	0.054270	0.066258	0.059796	0.082094	0.273351	0.283780
-28	0.081933	0.061967	0.064930	0.055275	0.060937	0.070830	0.040085	0.067160	0.065560	0.040426	0.070524	0.059838	0.282946	0.221865	0.053470	0.065534	0.059030	0.082503	0.273181	0.286028
-27	0.082571	0.060426	0.064896	0.053155	0.060332	0.070711	0.040230	0.067773	0.066266	0.039991	0.070881	0.059430	0.284615	0.221814	0.054279	0.066973	0.060392	0.081694	0.271699	0.287152
