pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.080628	0.062635	0.068220	0.056060	0.061867	0.064841	0.032416	0.069550	0.068658	0.033441	0.066526	0.064345	0.284031	0.197224	0.056861	0.068798	0.064296	0.080859	0.274407	0.284048
-67	0.080091	0.062668	0.068525	0.056134	0.062462	0.064428	0.032970	0.069409	0.068666	0.033168	0.066551	0.065287	0.283833	0.197117	0.056464	0.068410	0.064477	0.080289	0.272978	0.282536
-66	0.080876	0.063156	0.067369	0.056068	0.062338	0.064940	0.033969	0.070037	0.068302	0.032656	0.066245	0.064337	0.282793	0.197811	0.055779	0.067897	0.064849	0.081181	0.273903	0.284056
-65	0.081611	0.062858	0.066617	0.056142	0.062065	0.065378	0.034101	0.069252	0.067550	0.032829	0.065700	0.063750	0.281479	0.198009	0.056307	0.069351	0.064601	0.081884	0.275944	0.285865
-64	0.080983	0.062437	0.067013	0.056076	0.062255	0.065716	0.034035	0.069252	0.067864	0.033507	0.065353	0.063147	0.281214	0.198612	0.056968	0.068980	0.064213	0.082198	0.276225	0.286146
-63	0.080619	0.063238	0.068087	0.056605	0.061908	0.065816	0.033441	0.068707	0.067592	0.034151	0.065865	0.063461	0.282164	0.199273	0.056786	0.068971	0.063734	0.081016	0.275027	0.284511
-62	0.080041	0.064254	0.068046	0.056134	0.062693	0.066311	0.032780	0.068327	0.068104	0.034399	0.067319	0.063222	0.283511	0.200810	0.056076	0.067666	0.063436	0.081190	0.273441	0.283495
-61	0.080322	0.063544	0.068055	0.055779	0.062693	0.067840	0.032829	0.068806	0.068187	0.033945	0.067716	0.062685	0.284280	0.202330	0.055498	0.067435	0.063188	0.081479	0.273078	0.285560
-60	0.079835	0.062247	0.069294	0.055068	0.063329	0.068467	0.032350	0.069426	0.068129	0.034085	0.067154	0.062106	0.284412	0.202057	0.056002	0.067947	0.062024	0.082536	0.273441	0.288377
-59	0.079661	0.061991	0.069137	0.055680	0.063321	0.067666	0.032887	0.070574	0.067865	0.033250	0.066328	0.062280	0.282991	0.200132	0.056126	0.068385	0.062230	0.082619	0.274085	0.289244
-58	0.079306	0.062107	0.069005	0.056192	0.062792	0.066518	0.032474	0.069434	0.068104	0.032780	0.065956	0.062569	0.282371	0.197728	0.056952	0.070128	0.063172	0.082511	0.274961	0.288591
-57	0.079909	0.062677	0.067633	0.057001	0.063197	0.066435	0.032747	0.068798	0.067501	0.032656	0.066179	0.063304	0.281222	0.198017	0.056712	0.069715	0.063206	0.082329	0.275952	0.287278
-56	0.080231	0.063139	0.067980	0.057340	0.064048	0.067550	0.032631	0.068509	0.067724	0.032854	0.065229	0.063164	0.281164	0.198265	0.056630	0.068856	0.062792	0.081322	0.275522	0.286237
-55	0.081107	0.064345	0.067963	0.056530	0.064725	0.067534	0.032821	0.068129	0.067311	0.033614	0.065427	0.062974	0.281809	0.199397	0.055952	0.067699	0.062338	0.081528	0.275118	0.284890
-54	0.081338	0.063916	0.068377	0.055242	0.063973	0.066757	0.032524	0.068682	0.068410	0.033011	0.065865	0.062924	0.283990	0.198158	0.055754	0.068228	0.063428	0.081569	0.273903	0.285237
-53	0.081726	0.062181	0.068468	0.055151	0.062668	0.066435	0.033176	0.067889	0.067881	0.033325	0.066873	0.063602	0.284948	0.199810	0.056027	0.069434	0.062751	0.082412	0.275316	0.286171
-52	0.080975	0.061983	0.068046	0.055704	0.062379	0.067468	0.033069	0.068434	0.067426	0.033201	0.067080	0.063593	0.283527	0.200818	0.055952	0.069641	0.063519	0.081528	0.274159	0.287072
-51	0.079413	0.062239	0.068030	0.056547	0.062891	0.067402	0.033523	0.069202	0.066799	0.033614	0.066386	0.064106	0.280628	0.200925	0.056423	0.069327	0.062561	0.081537	0.273920	0.287468
