pos	AA.f	AC.f	AG.f	AT.f	CA.f	CC.f	CG.f	CT.f	GA.f	GC.f	GG.f	GT.f	TA.f	TC.f	TG.f	TT.f	AA.r	AC.r	AG.r	AT.r	CA.r	CC.r	CG.r	CT.r	GA.r	GC.r	GG.r	GT.r	TA.r	TC.r	TG.r	TT.r
25	0.084857	0.052292	0.071970	0.059678	0.070582	0.065774	0.018389	0.073705	0.059628	0.053829	0.068253	0.051053	0.054176	0.060173	0.073160	0.082478	0.082478	0.073160	0.060173	0.054176	0.051053	0.068253	0.053829	0.059628	0.073705	0.018389	0.065774	0.070582	0.059678	0.071970	0.052292	0.084857
26	0.080297	0.053532	0.077373	0.058042	0.072268	0.067460	0.017844	0.074498	0.059331	0.051896	0.067955	0.052590	0.050112	0.059777	0.070682	0.086344	0.086344	0.070682	0.059777	0.050112	0.052590	0.067955	0.051896	0.059331	0.074498	0.017844	0.067460	0.072268	0.058042	0.077373	0.053532	0.080297
27	0.078810	0.049418	0.073556	0.060223	0.072069	0.064535	0.018240	0.077819	0.059232	0.054820	0.066766	0.053036	0.050756	0.060967	0.075242	0.084511	0.084511	0.075242	0.060967	0.050756	0.053036	0.066766	0.054820	0.059232	0.077819	0.018240	0.064535	0.072069	0.060223	0.073556	0.049418	0.078810
28	0.078265	0.048922	0.074052	0.059628	0.068649	0.067014	0.017249	0.076828	0.061314	0.054969	0.067509	0.050012	0.050558	0.062800	0.075886	0.086344	0.086344	0.075886	0.062800	0.050558	0.050012	0.067509	0.054969	0.061314	0.076828	0.017249	0.067014	0.068649	0.059628	0.074052	0.048922	0.078265
29	0.081190	0.049616	0.070929	0.057051	0.073011	0.068005	0.016952	0.075737	0.061016	0.052739	0.070037	0.050905	0.051945	0.065081	0.074002	0.081784	0.081784	0.074002	0.065081	0.051945	0.050905	0.070037	0.052739	0.061016	0.075737	0.016952	0.068005	0.073011	0.057051	0.070929	0.049616	0.081190
30	0.080892	0.050458	0.072119	0.063693	0.074399	0.067063	0.016704	0.077274	0.060471	0.051450	0.066716	0.053284	0.049864	0.057150	0.077869	0.080595	0.080595	0.077869	0.057150	0.049864	0.053284	0.066716	0.051450	0.060471	0.077274	0.016704	0.067063	0.074399	0.063693	0.072119	0.050458	0.080892
31	0.079455	0.049368	0.074597	0.062206	0.067311	0.064337	0.018587	0.075886	0.062007	0.053482	0.066964	0.050954	0.055118	0.062007	0.074845	0.082875	0.082875	0.074845	0.062007	0.055118	0.050954	0.066964	0.053482	0.062007	0.075886	0.018587	0.064337	0.067311	0.062206	0.074597	0.049368	0.079455
32	0.081933	0.050855	0.072912	0.058191	0.069591	0.067856	0.017299	0.074449	0.061413	0.053284	0.067856	0.052441	0.051053	0.064387	0.072268	0.084213	0.084213	0.072268	0.064387	0.051053	0.052441	0.067856	0.053284	0.061413	0.074449	0.017299	0.067856	0.069591	0.058191	0.072912	0.050855	0.081933
33	0.080694	0.047633	0.076183	0.059480	0.071623	0.067261	0.019926	0.077571	0.058042	0.054176	0.064932	0.053185	0.050409	0.064139	0.072515	0.082230	0.082230	0.072515	0.064139	0.050409	0.053185	0.064932	0.054176	0.058042	0.077571	0.019926	0.067261	0.071623	0.059480	0.076183	0.047633	0.080694
34	0.082627	0.048278	0.072367	0.057497	0.073507	0.066369	0.019083	0.074250	0.061462	0.053135	0.067063	0.051896	0.051599	0.063445	0.075043	0.082379	0.082379	0.075043	0.063445	0.051599	0.051896	0.067063	0.053135	0.061462	0.074250	0.019083	0.066369	0.073507	0.057497	0.072367	0.048278	0.082627
35	0.084560	0.051152	0.071970	0.061512	0.071772	0.065081	0.018587	0.075787	0.064387	0.052639	0.066270	0.050260	0.050607	0.060273	0.073953	0.081190	0.081190	0.073953	0.060273	0.050607	0.050260	0.066270	0.052639	0.064387	0.075787	0.018587	0.065081	0.071772	0.061512	0.071970	0.051152	0.084560
36	0.081834	0.054126	0.074052	0.061314	0.072069	0.065576	0.016159	0.075341	0.060124	0.051846	0.067856	0.050954	0.050112	0.063098	0.074151	0.081388	0.081388	0.074151	0.063098	0.050112	0.050954	0.067856	0.051846	0.060124	0.075341	0.016159	0.065576	0.072069	0.061314	0.074052	0.054126	0.081834
37	0.079752	0.051698	0.074498	0.058191	0.072020	0.064932	0.020025	0.077670	0.061413	0.053978	0.066568	0.050260	0.050359	0.062156	0.070682	0.085799	0.085799	0.070682	0.062156	0.050359	0.050260	0.066568	0.053978	0.061413	0.077670	0.020025	0.064932	0.072020	0.058191	0.074498	0.051698	0.079752
38	0.078662	0.050211	0.074597	0.060074	0.070781	0.068154	0.016753	0.077076	0.059975	0.052491	0.067460	0.051846	0.049814	0.063098	0.076778	0.082230	0.082230	0.076778	0.063098	0.049814	0.051846	0.067460	0.052491	0.059975	0.077076	0.016753	0.068154	0.070781	0.060074	0.074597	0.050211	0.078662
39	0.081190	0.047931	0.071772	0.058340	0.072317	0.066072	0.019529	0.076035	0.061561	0.054424	0.067906	0.051698	0.050458	0.059926	0.077323	0.083519	0.083519	0.077323	0.059926	0.050458	0.051698	0.067906	0.054424	0.061561	0.076035	0.019529	0.066072	0.072317	0.058340	0.071772	0.047931	0.081190
40	0.084213	0.047633	0.072714	0.060967	0.071524	0.063841	0.017200	0.075787	0.061611	0.054077	0.068996	0.051846	0.049963	0.064684	0.073011	0.081933	0.081933	0.073011	0.064684	0.049963	0.051846	0.068996	0.054077	0.061611	0.075787	0.017200	0.063841	0.071524	0.060967	0.072714	0.047633	0.084213
41	0.081190	0.051896	0.075192	0.059033	0.070037	0.066369	0.016753	0.077076	0.059926	0.056506	0.065874	0.049616	0.048228	0.061512	0.075787	0.085006	0.085006	0.075787	0.061512	0.048228	0.049616	0.065874	0.056506	0.059926	0.077076	0.016753	0.066369	0.070037	0.059033	0.075192	0.051896	0.081190
