pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	TA	TC	TG	TT	WW	SS	RR	YY
-73	0.0835505	0.05811	0.068046	0.0557345	0.06	0.0673305	0.0414305	0.0661045	0.0636015	0.040179	0.0680715	0.0631925	0.0534355	0.065645	0.062605	0.0829625	0.275683	0.217011	0.28327	0.282042
-72	0.0819665	0.0587485	0.0660025	0.05599	0.0585695	0.069119	0.0390295	0.0662835	0.064623	0.041379	0.0704215	0.0632185	0.0542525	0.0661305	0.061175	0.083091	0.2753	0.219949	0.283014	0.284624
-71	0.0846745	0.057369	0.064368	0.053129	0.0589525	0.0663345	0.041916	0.069272	0.0632695	0.0412265	0.0677905	0.062733	0.0559385	0.067331	0.063014	0.082682	0.276424	0.217268	0.280103	0.28562
-70	0.0818645	0.06	0.0645725	0.054074	0.0568325	0.0678925	0.0396935	0.0711875	0.0619925	0.039464	0.069732	0.0630395	0.057548	0.0661045	0.0638315	0.0821715	0.275658	0.216782	0.278162	0.287356
-69	0.0813025	0.060409	0.0639845	0.053819	0.0604855	0.0668455	0.038544	0.067765	0.065926	0.038774	0.068327	0.0643165	0.054202	0.069272	0.064036	0.0819925	0.271316	0.21249	0.27954	0.285875
-68	0.0809965	0.056347	0.0662325	0.0551465	0.0603575	0.070626	0.0402295	0.068557	0.0633715	0.0404345	0.0666155	0.059566	0.056092	0.066743	0.062861	0.0858235	0.278058	0.217905	0.277216	0.291749
-67	0.0789015	0.058238	0.0626305	0.0552235	0.060971	0.0681995	0.039719	0.067969	0.063959	0.04212	0.064266	0.064087	0.054176	0.0701915	0.062299	0.08705	0.275351	0.214305	0.269757	0.29341
-66	0.0780335	0.0621205	0.0631925	0.0552745	0.0590035	0.0681225	0.040332	0.068174	0.063576	0.0404855	0.0671265	0.0618905	0.053691	0.0700895	0.061967	0.086922	0.273921	0.216067	0.271929	0.293308
-65	0.080945	0.058059	0.0646485	0.0542785	0.0588505	0.069783	0.040639	0.0701405	0.0619415	0.043397	0.066258	0.0605365	0.053793	0.067944	0.061226	0.087561	0.276578	0.220077	0.273793	0.295428
-64	0.0797955	0.0591315	0.0646995	0.0545085	0.059004	0.0687865	0.040996	0.0694	0.063346	0.0424525	0.0662835	0.0613535	0.056143	0.0700125	0.0600765	0.0840105	0.274458	0.218519	0.274124	0.29221
-63	0.083474	0.0591825	0.063244	0.0529245	0.058825	0.070677	0.0392085	0.0690425	0.0615325	0.039898	0.070115	0.061558	0.056041	0.0705745	0.059566	0.084138	0.276578	0.219898	0.278365	0.294432
-62	0.0823495	0.0605875	0.063116	0.0525925	0.0602555	0.0696555	0.043193	0.067254	0.0657215	0.040204	0.065236	0.063576	0.0534355	0.0677905	0.060792	0.0842405	0.272618	0.218288	0.276423	0.28894
-61	0.0811495	0.058978	0.0661305	0.052695	0.060741	0.072133	0.041507	0.066948	0.064521	0.040383	0.0676625	0.065032	0.0546615	0.065517	0.0591825	0.0827585	0.271265	0.221686	0.279463	0.287357
-60	0.081354	0.062503	0.0649295	0.052465	0.0602295	0.0689145	0.041277	0.0659515	0.0620435	0.0412005	0.0674075	0.063116	0.054457	0.06705	0.0623245	0.0847765	0.273053	0.218799	0.275734	0.286693
-59	0.083091	0.0574965	0.0681995	0.0519285	0.056807	0.072184	0.041303	0.0685825	0.0615835	0.040996	0.0674585	0.061175	0.0571395	0.065594	0.05954	0.086922	0.279081	0.221942	0.280332	0.293283
-58	0.081609	0.059949	0.061047	0.0530525	0.058621	0.0701405	0.0402555	0.068557	0.0639085	0.042733	0.0673055	0.06	0.055581	0.0687105	0.06143	0.087101	0.277343	0.220434	0.27387	0.294509
-57	0.082835	0.0601785	0.063397	0.0533335	0.0589275	0.070907	0.040153	0.071188	0.0638825	0.042171	0.0648535	0.0623245	0.052567	0.065824	0.063729	0.083729	0.272464	0.218085	0.274968	0.291648
-56	0.0834225	0.0616095	0.0649295	0.0536655	0.0606385	0.068148	0.03788	0.069068	0.06424	0.0404345	0.070319	0.061226	0.0537675	0.0677395	0.060868	0.0820435	0.272899	0.216782	0.282911	0.286999
-55	0.082759	0.059106	0.065977	0.056092	0.062299	0.069144	0.039923	0.066718	0.066743	0.03765	0.0693485	0.0609705	0.0533845	0.0659515	0.060664	0.0832695	0.275505	0.216065	0.284827	0.285083
-54	0.082401	0.062197	0.0631165	0.0526435	0.058825	0.0694765	0.040102	0.0675865	0.062248	0.041405	0.0688635	0.0609195	0.0590295	0.0671775	0.0636525	0.0803575	0.274432	0.219847	0.276629	0.284598
-53	0.081967	0.060996	0.0648275	0.054023	0.058365	0.0675095	0.0409965	0.070268	0.0628865	0.040562	0.067203	0.0617625	0.057318	0.0685825	0.0593615	0.0833715	0.27668	0.216271	0.276884	0.289731
-52	0.0793615	0.060051	0.062682	0.055939	0.0605875	0.068991	0.0406895	0.067535	0.0630905	0.041175	0.068046	0.061737	0.059745	0.0662835	0.060332	0.083755	0.278801	0.218901	0.27318	0.286564
-51	0.0801025	0.0582885	0.0655685	0.0561175	0.061124	0.07152	0.0395915	0.067101	0.0643935	0.040434	0.06682	0.062273	0.055351	0.0668455	0.062963	0.081507	0.273078	0.218365	0.276884	0.286973
-50	0.084138	0.0619155	0.0639335	0.055811	0.058697	0.0674585	0.0390295	0.068327	0.06659	0.04189	0.0679435	0.056296	0.053257	0.065926	0.0626565	0.08613	0.279336	0.216321	0.282605	0.287841
-49	0.079872	0.0595655	0.0649045	0.0581865	0.061073	0.068659	0.039387	0.067816	0.06401	0.0416605	0.068225	0.061711	0.053308	0.0676885	0.0609965	0.0829375	0.274304	0.217932	0.277011	0.287101
-48	0.078263	0.0586205	0.062452	0.0551975	0.061303	0.068429	0.0410725	0.069272	0.0642915	0.0404595	0.0699365	0.060102	0.0549685	0.06728	0.06516	0.083193	0.271622	0.219898	0.274943	0.288174
-47	0.082069	0.0627585	0.065313	0.05507	0.056347	0.067152	0.041405	0.0655425	0.062912	0.0413025	0.0713155	0.0599235	0.0521835	0.0679435	0.0625035	0.086258	0.275581	0.221175	0.28161	0.286896
-46	0.0816095	0.058442	0.0610985	0.054789	0.061967	0.068557	0.041558	0.068736	0.0679185	0.043295	0.0685055	0.0613535	0.054457	0.0657215	0.0613025	0.0806895	0.271545	0.221915	0.279132	0.283704
-45	0.080843	0.058365	0.066105	0.053742	0.0571135	0.0737675	0.04069	0.069553	0.0634485	0.039949	0.070728	0.060792	0.056424	0.065134	0.0612005	0.0821455	0.273155	0.225135	0.281124	0.2906
-44	0.081686	0.060562	0.065083	0.051341	0.0598725	0.0679435	0.0397955	0.071673	0.065083	0.040179	0.0717755	0.059387	0.0536655	0.067893	0.062248	0.081814	0.268506	0.219693	0.283627	0.289324
-43	0.0812005	0.062069	0.0641635	0.055581	0.060971	0.071418	0.0423245	0.063576	0.0614305	0.0404345	0.0710855	0.062784	0.054432	0.067816	0.06166	0.079055	0.270269	0.225263	0.27788	0.281865
-42	0.0821965	0.0586975	0.0641635	0.054432	0.0595915	0.0694765	0.038825	0.0675865	0.064725	0.0432695	0.06894	0.0641895	0.057599	0.0658235	0.0586975	0.081788	0.276015	0.220511	0.280025	0.284674
-41	0.0813025	0.0586465	0.065006	0.0548145	0.058135	0.0702175	0.040562	0.0668965	0.0651595	0.039336	0.0696295	0.0618135	0.0525675	0.0669475	0.0643165	0.084649	0.273334	0.219745	0.281098	0.28871
-40	0.080409	0.058646	0.0626055	0.0519285	0.057957	0.0684545	0.040562	0.0673815	0.0619415	0.0412515	0.0741765	0.062069	0.056833	0.0660795	0.065185	0.0845215	0.273692	0.224445	0.279133	0.286437
-39	0.0790295	0.0599235	0.065415	0.0553515	0.056194	0.0667685	0.040051	0.0684545	0.066258	0.0400765	0.0719285	0.0634995	0.050626	0.0698595	0.0616095	0.0849555	0.269962	0.218825	0.282631	0.290038
-38	0.083091	0.055479	0.0624775	0.053359	0.0631165	0.0707025	0.0413285	0.067816	0.063857	0.041456	0.0722865	0.0607915	0.0539975	0.066054	0.060996	0.083193	0.273641	0.225773	0.281712	0.287766
-37	0.0818135	0.0606895	0.0664365	0.055862	0.059055	0.071622	0.042452	0.069553	0.063193	0.039898	0.069451	0.059719	0.0539205	0.0673305	0.059157	0.079847	0.271443	0.223423	0.280894	0.288353
-36	0.0820945	0.0627585	0.0652105	0.053308	0.05811	0.071596	0.040281	0.0665645	0.0669985	0.0402555	0.071954	0.056654	0.053461	0.070345	0.059336	0.0810725	0.269936	0.224087	0.286258	0.289578
-35	0.0864365	0.06023	0.0607665	0.054866	0.060051	0.0680715	0.041788	0.068404	0.0660535	0.0399235	0.069987	0.057931	0.056986	0.0664365	0.0586205	0.0834485	0.281737	0.21977	0.283243	0.28636
-34	0.08447	0.061124	0.065645	0.054866	0.0606895	0.070013	0.037497	0.0655425	0.0648785	0.0404345	0.0667945	0.0614305	0.05765	0.0657725	0.0609965	0.0821965	0.279183	0.214739	0.281788	0.283525
-33	0.08046	0.0609965	0.066539	0.0587995	0.0618905	0.068659	0.039974	0.067203	0.0685315	0.0399745	0.069681	0.0589785	0.053231	0.065747	0.059566	0.07977	0.272261	0.218288	0.285212	0.281379
-32	0.078927	0.060332	0.06424	0.0579055	0.058876	0.070396	0.0419155	0.06516	0.0650315	0.041405	0.0685825	0.060102	0.0565515	0.0666665	0.0613285	0.08258	0.275964	0.222299	0.276781	0.284803
-31	0.0807665	0.05553	0.0629375	0.052516	0.0610985	0.0717755	0.042452	0.0671775	0.0655685	0.0403065	0.0703195	0.0632695	0.0559385	0.0703195	0.058263	0.0817625	0.270983	0.224853	0.279592	0.291035
-30	0.080204	0.062554	0.067433	0.0556835	0.0583655	0.07272	0.043167	0.063397	0.0639335	0.0401275	0.0681995	0.05977	0.0543295	0.069706	0.060562	0.0798465	0.270064	0.224214	0.27977	0.285669
-29	0.081175	0.063755	0.0657215	0.057931	0.061941	0.0703705	0.040102	0.065594	0.0637545	0.039489	0.0712135	0.0616095	0.0522865	0.0626055	0.059464	0.0829885	0.274381	0.221175	0.281864	0.281558
-28	0.0832185	0.0600765	0.063448	0.052746	0.062427	0.0711875	0.0386205	0.063014	0.0664875	0.043525	0.070396	0.059387	0.0561945	0.0664625	0.0593615	0.0834485	0.275608	0.223729	0.28355	0.284112
-27	0.0814045	0.062069	0.0656195	0.0551465	0.058442	0.0709325	0.0415325	0.0728735	0.066437	0.038263	0.069962	0.0585185	0.0519285	0.067535	0.058263	0.081073	0.269553	0.22069	0.283423	0.292414
-26	0.0830905	0.0591315	0.0656195	0.051571	0.060128	0.070013	0.040536	0.067433	0.065875	0.0381865	0.072286	0.060383	0.0547125	0.066922	0.0635505	0.080562	0.269936	0.221022	0.286871	0.28493
-25	0.084751	0.0602295	0.067203	0.054585	0.0611495	0.069655	0.0392595	0.063142	0.06636	0.042452	0.0724645	0.060613	0.0543295	0.061788	0.0625545	0.079464	0.27313	0.223831	0.290778	0.274049
-24	0.0843935	0.058442	0.0674585	0.05341	0.058519	0.073512	0.0401025	0.064598	0.0678675	0.0400255	0.0735885	0.060996	0.055096	0.0642915	0.0581865	0.0795145	0.272414	0.227228	0.293308	0.281916
-23	0.0823245	0.0615325	0.065875	0.0569345	0.057803	0.071673	0.041047	0.0653385	0.064419	0.040715	0.0725925	0.0594895	0.0549935	0.066156	0.061558	0.077548	0.271801	0.226027	0.285211	0.280716
-22	0.082018	0.0592335	0.0630905	0.0520565	0.0594125	0.0716985	0.0410215	0.067816	0.0661815	0.0414815	0.07106	0.062886	0.0560155	0.0647765	0.0608685	0.080383	0.270473	0.225262	0.28235	0.284674
-21	0.0790295	0.060485	0.0659005	0.057778	0.059387	0.0687105	0.041686	0.066794	0.062963	0.040945	0.072082	0.060894	0.05341	0.066309	0.0618645	0.0817625	0.27198	0.223423	0.279975	0.283576
-20	0.080281	0.061405	0.0626565	0.0531545	0.0592845	0.068148	0.0414305	0.0649045	0.0668455	0.0426055	0.0711365	0.060843	0.057216	0.0651085	0.0639845	0.080996	0.271648	0.22332	0.280919	0.279157
-19	0.082861	0.0595145	0.063448	0.0550445	0.06166	0.067075	0.043474	0.0670245	0.067152	0.0418395	0.0686845	0.0594125	0.052235	0.0649555	0.063193	0.0824265	0.272567	0.221073	0.282145	0.281481
-18	0.085594	0.0600255	0.069042	0.054304	0.0604595	0.069349	0.038263	0.0633205	0.0630905	0.0427585	0.069144	0.064598	0.054738	0.065287	0.060766	0.0792595	0.273896	0.219515	0.28687	0.277216
-17	0.083985	0.058212	0.066897	0.0557345	0.06212	0.0673815	0.041328	0.065773	0.06682	0.0407665	0.0719795	0.0613285	0.054457	0.0662325	0.0602045	0.0767815	0.270958	0.221455	0.289682	0.276169
-16	0.084087	0.0618645	0.0684545	0.0512645	0.0598215	0.069221	0.039438	0.0653385	0.065492	0.039489	0.07106	0.06235	0.0523375	0.066309	0.0618645	0.081609	0.269298	0.219208	0.289094	0.282477
-15	0.08613	0.06023	0.0633715	0.0540995	0.0600765	0.0695275	0.041379	0.065466	0.0650065	0.0421965	0.0671775	0.0644445	0.0555045	0.0675095	0.059949	0.077931	0.273665	0.22028	0.281686	0.280434
-14	0.083576	0.060664	0.0636785	0.0589785	0.0627075	0.0743555	0.041405	0.0667945	0.0649045	0.0406895	0.067944	0.058493	0.05576	0.067535	0.0557855	0.0767305	0.275045	0.224394	0.280103	0.285415
-13	0.0804085	0.062018	0.0653895	0.0524905	0.062069	0.072005	0.0436525	0.063959	0.06378	0.037318	0.0707795	0.0591825	0.057318	0.0694505	0.059336	0.080843	0.27106	0.223755	0.280357	0.286257
-12	0.077829	0.060102	0.064189	0.0563985	0.059974	0.0674585	0.042299	0.069425	0.065313	0.040434	0.071162	0.0647	0.053308	0.06705	0.0602045	0.080153	0.267688	0.221354	0.278493	0.284087
