pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.086428	0.057381	0.066984	0.055238	0.061746	0.070952	0.037460	0.063571	0.067619	0.036349	0.071429	0.063254	0.292460	0.216190	0.054683	0.067619	0.060159	0.079127	0.275476	0.281270
-67	0.083174	0.055953	0.066984	0.057699	0.059921	0.071270	0.037301	0.063175	0.068016	0.036587	0.075794	0.061429	0.293968	0.220952	0.055714	0.068809	0.058651	0.079524	0.276111	0.282778
-66	0.080555	0.058651	0.068492	0.054841	0.059603	0.069841	0.036667	0.064206	0.069841	0.039682	0.076190	0.063571	0.295079	0.222381	0.053254	0.068333	0.058968	0.077302	0.265952	0.279682
-65	0.080000	0.059445	0.069206	0.055079	0.062937	0.069444	0.039683	0.065079	0.067063	0.039920	0.076270	0.060079	0.292539	0.225317	0.053095	0.064603	0.059921	0.078175	0.266349	0.277302
-64	0.078889	0.061190	0.070714	0.053571	0.061667	0.067460	0.039683	0.067778	0.067857	0.040714	0.072301	0.059841	0.289761	0.220159	0.054127	0.065714	0.060714	0.077778	0.264365	0.278730
-63	0.080079	0.058254	0.069444	0.054524	0.061111	0.068492	0.041746	0.066667	0.068412	0.038333	0.070238	0.060556	0.288174	0.218809	0.053413	0.066984	0.062064	0.079683	0.267698	0.281826
-62	0.082143	0.057698	0.066508	0.053016	0.056667	0.069444	0.039762	0.066746	0.069682	0.038730	0.070159	0.063651	0.288492	0.218095	0.053016	0.069841	0.062698	0.080238	0.268412	0.286270
-61	0.081984	0.056349	0.067381	0.053651	0.059921	0.070714	0.038413	0.067381	0.067063	0.039127	0.071508	0.061905	0.287937	0.219762	0.051349	0.070952	0.061428	0.080873	0.267857	0.289921
-60	0.080476	0.057381	0.067063	0.055238	0.059524	0.073095	0.038968	0.067698	0.064365	0.039921	0.071587	0.059524	0.283493	0.223572	0.053810	0.072698	0.058571	0.080079	0.269603	0.293572
-59	0.077619	0.058413	0.068254	0.056111	0.061587	0.073095	0.037857	0.069444	0.064127	0.040238	0.070794	0.057619	0.280794	0.221984	0.054048	0.072143	0.059841	0.078810	0.266587	0.293492
-58	0.077778	0.061190	0.066587	0.056429	0.059920	0.071667	0.038413	0.067540	0.066825	0.039683	0.069127	0.059841	0.280318	0.218889	0.055159	0.067857	0.060635	0.081349	0.270714	0.288413
-57	0.075714	0.060714	0.066508	0.058175	0.060079	0.069682	0.040000	0.066905	0.069286	0.039444	0.068175	0.062381	0.279683	0.217302	0.053413	0.065159	0.061984	0.082381	0.269682	0.284127
-56	0.074683	0.061825	0.066587	0.055397	0.059762	0.068095	0.041190	0.065397	0.070317	0.039603	0.069444	0.062778	0.281032	0.218334	0.053175	0.064841	0.061825	0.085079	0.268333	0.283413
-55	0.074762	0.058333	0.065476	0.054127	0.058651	0.069841	0.042063	0.067064	0.068174	0.039683	0.070714	0.063968	0.279127	0.222301	0.052381	0.065635	0.063413	0.085714	0.266984	0.288254
-54	0.074841	0.056587	0.065397	0.049206	0.058016	0.072063	0.041190	0.067619	0.065476	0.039921	0.073651	0.063254	0.279365	0.226825	0.053730	0.068254	0.064762	0.086032	0.263810	0.293968
-53	0.074921	0.055476	0.065714	0.051984	0.055873	0.073571	0.040952	0.067778	0.066349	0.040397	0.072778	0.064127	0.279762	0.227698	0.053095	0.069206	0.063651	0.084127	0.264127	0.294682
-52	0.075397	0.056746	0.066111	0.052540	0.056111	0.074206	0.039762	0.065714	0.066905	0.039603	0.072540	0.064286	0.280952	0.226111	0.053651	0.070873	0.062381	0.083175	0.264762	0.293968
-51	0.077540	0.060476	0.066825	0.055000	0.055793	0.071825	0.040079	0.067460	0.066428	0.039524	0.070952	0.064206	0.281746	0.222381	0.052381	0.066666	0.060556	0.084286	0.269207	0.290238
-50	0.076667	0.060238	0.066984	0.053095	0.058730	0.072619	0.040079	0.066825	0.066032	0.039286	0.071984	0.061190	0.281667	0.223968	0.055159	0.066270	0.059524	0.085317	0.270238	0.291031
-49	0.075238	0.059683	0.068016	0.054762	0.058651	0.073254	0.041270	0.068730	0.066111	0.039762	0.071190	0.059444	0.280556	0.225476	0.054127	0.067301	0.059365	0.083095	0.267222	0.292380
-48	0.076349	0.056349	0.066587	0.052937	0.057540	0.076191	0.038492	0.069524	0.070000	0.038651	0.069682	0.061111	0.282619	0.223016	0.054127	0.069683	0.060238	0.082539	0.265952	0.297936
-47	0.077619	0.057857	0.066667	0.053968	0.055714	0.073095	0.040238	0.070476	0.065635	0.037698	0.067857	0.063174	0.277778	0.218889	0.051032	0.070873	0.065238	0.082857	0.265476	0.297301
-46	0.076191	0.057301	0.065476	0.051984	0.058095	0.072460	0.039603	0.069682	0.065318	0.040635	0.066905	0.064444	0.273890	0.219603	0.052937	0.069365	0.065397	0.084206	0.265317	0.295714
-45	0.072778	0.059444	0.066587	0.052063	0.060238	0.073492	0.042063	0.070238	0.062857	0.040952	0.068175	0.060714	0.270397	0.224683	0.053175	0.069127	0.063730	0.084365	0.262381	0.297222
-44	0.072143	0.057381	0.064524	0.051587	0.063254	0.077619	0.041349	0.069524	0.063651	0.041826	0.068492	0.062063	0.268810	0.229287	0.051587	0.071270	0.059841	0.083889	0.259206	0.302302
-43	0.073571	0.058730	0.065556	0.051984	0.065159	0.078175	0.041429	0.067222	0.062698	0.039286	0.068810	0.061111	0.270635	0.227699	0.049921	0.073889	0.058016	0.084444	0.259920	0.303730
