pos	AA.f	AC.f	AG.f	AT.f	CA.f	CC.f	CG.f	CT.f	GA.f	GC.f	GG.f	GT.f	TA.f	TC.f	TG.f	TT.f	AA.r	AC.r	AG.r	AT.r	CA.r	CC.r	CG.r	CT.r	GA.r	GC.r	GG.r	GT.r	TA.r	TC.r	TG.r	TT.r
25	0.079988	0.047451	0.071253	0.059965	0.070130	0.073297	0.025181	0.072377	0.057616	0.058842	0.069977	0.049443	0.050158	0.056696	0.073705	0.083921	0.083921	0.073705	0.056696	0.050158	0.049443	0.069977	0.058842	0.057616	0.072377	0.025181	0.073297	0.070130	0.059965	0.071253	0.047451	0.079988
26	0.079835	0.046992	0.074165	0.056901	0.066963	0.069670	0.024058	0.075595	0.062775	0.059352	0.068751	0.049239	0.050669	0.060578	0.071100	0.083359	0.083359	0.071100	0.060578	0.050669	0.049239	0.068751	0.059352	0.062775	0.075595	0.024058	0.069670	0.066963	0.056901	0.074165	0.046992	0.079835
27	0.081980	0.049188	0.072786	0.056288	0.070079	0.069466	0.023496	0.073552	0.058637	0.056594	0.073041	0.049801	0.048320	0.064051	0.071611	0.081111	0.081111	0.071611	0.064051	0.048320	0.049801	0.073041	0.056594	0.058637	0.073552	0.023496	0.069466	0.070079	0.056288	0.072786	0.049188	0.081980
28	0.083972	0.047400	0.070692	0.056952	0.074267	0.070334	0.024160	0.070538	0.058280	0.061753	0.070232	0.050669	0.048115	0.059965	0.072684	0.079988	0.079988	0.072684	0.059965	0.048115	0.050669	0.070232	0.061753	0.058280	0.070538	0.024160	0.070334	0.074267	0.056952	0.070692	0.047400	0.083972
29	0.081929	0.051180	0.073041	0.058484	0.068648	0.070385	0.026458	0.073961	0.059403	0.056594	0.069261	0.052508	0.050158	0.058484	0.071305	0.078200	0.078200	0.071305	0.058484	0.050158	0.052508	0.069261	0.056594	0.059403	0.073961	0.026458	0.070385	0.068648	0.058484	0.073041	0.051180	0.081929
30	0.078200	0.049188	0.072428	0.060323	0.069874	0.072020	0.020584	0.074165	0.058178	0.061242	0.071917	0.048728	0.048779	0.061140	0.072428	0.080805	0.080805	0.072428	0.061140	0.048779	0.048728	0.071917	0.061242	0.058178	0.074165	0.020584	0.072020	0.069874	0.060323	0.072428	0.049188	0.078200
31	0.075902	0.047094	0.071151	0.060885	0.069466	0.071815	0.026509	0.075799	0.057820	0.058229	0.073297	0.048013	0.047860	0.062264	0.071151	0.082746	0.082746	0.071151	0.062264	0.047860	0.048013	0.073297	0.058229	0.057820	0.075799	0.026509	0.071815	0.069466	0.060885	0.071151	0.047094	0.075902
32	0.079068	0.047809	0.070028	0.054142	0.069057	0.070845	0.026458	0.073041	0.062468	0.057820	0.071202	0.050618	0.051282	0.060783	0.073297	0.082082	0.082082	0.073297	0.060783	0.051282	0.050618	0.071202	0.057820	0.062468	0.073041	0.026458	0.070845	0.069057	0.054142	0.070028	0.047809	0.079068
33	0.082746	0.046532	0.074420	0.058178	0.068955	0.068189	0.025335	0.074778	0.058688	0.059352	0.070181	0.052763	0.045663	0.059199	0.072122	0.082899	0.082899	0.072122	0.059199	0.045663	0.052763	0.070181	0.059352	0.058688	0.074778	0.025335	0.068189	0.068955	0.058178	0.074420	0.046532	0.082746
34	0.080141	0.047911	0.070692	0.057309	0.065890	0.069108	0.025947	0.072326	0.060425	0.059199	0.070947	0.051486	0.052099	0.060374	0.073756	0.082388	0.082388	0.073756	0.060374	0.052099	0.051486	0.070947	0.059199	0.060425	0.072326	0.025947	0.069108	0.065890	0.057309	0.070692	0.047911	0.080141
35	0.076719	0.050414	0.071713	0.059710	0.067525	0.070692	0.025386	0.072990	0.058944	0.057105	0.072786	0.052508	0.048984	0.060067	0.070181	0.084278	0.084278	0.070181	0.060067	0.048984	0.052508	0.072786	0.057105	0.058944	0.072990	0.025386	0.070692	0.067525	0.059710	0.071713	0.050414	0.076719
36	0.079017	0.047604	0.068240	0.057309	0.069261	0.070283	0.025028	0.073705	0.057667	0.057411	0.073194	0.051793	0.049137	0.060578	0.076668	0.083103	0.083103	0.076668	0.060578	0.049137	0.051793	0.073194	0.057411	0.057667	0.073705	0.025028	0.070283	0.069261	0.057309	0.068240	0.047604	0.079017
37	0.080141	0.048575	0.068291	0.058075	0.067882	0.069721	0.025283	0.072990	0.058739	0.059097	0.074318	0.050976	0.050414	0.060578	0.071458	0.083461	0.083461	0.071458	0.060578	0.050414	0.050976	0.074318	0.059097	0.058739	0.072990	0.025283	0.069721	0.067882	0.058075	0.068291	0.048575	0.080141
38	0.079324	0.048932	0.070998	0.057922	0.067372	0.071356	0.025079	0.074165	0.060731	0.056339	0.072530	0.049750	0.048320	0.060221	0.075697	0.081265	0.081265	0.075697	0.060221	0.048320	0.049750	0.072530	0.056339	0.060731	0.074165	0.025079	0.071356	0.067372	0.057922	0.070998	0.048932	0.079324
39	0.078506	0.050465	0.068853	0.057922	0.066095	0.068597	0.025437	0.076719	0.062723	0.059301	0.070436	0.051844	0.049341	0.062826	0.069006	0.081929	0.081929	0.069006	0.062826	0.049341	0.051844	0.070436	0.059301	0.062723	0.076719	0.025437	0.068597	0.066095	0.057922	0.068853	0.050465	0.078506
40	0.077689	0.051180	0.071611	0.056186	0.066963	0.073245	0.025845	0.075135	0.056901	0.057769	0.069925	0.049137	0.048984	0.063541	0.075340	0.080550	0.080550	0.075340	0.063541	0.048984	0.049137	0.069925	0.057769	0.056901	0.075135	0.025845	0.073245	0.066963	0.056186	0.071611	0.051180	0.077689
41	0.077740	0.047145	0.070436	0.055215	0.071151	0.072479	0.025386	0.076719	0.057565	0.059148	0.073348	0.052661	0.046736	0.060170	0.072581	0.081520	0.081520	0.072581	0.060170	0.046736	0.052661	0.073348	0.059148	0.057565	0.076719	0.025386	0.072479	0.071151	0.055215	0.070436	0.047145	0.077740
42	0.077894	0.047247	0.071815	0.056237	0.068802	0.070947	0.026458	0.072735	0.060783	0.059403	0.069415	0.052150	0.048473	0.060323	0.073348	0.083972	0.083972	0.073348	0.060323	0.048473	0.052150	0.069415	0.059403	0.060783	0.072735	0.026458	0.070947	0.068802	0.056237	0.071815	0.047247	0.077894
43	0.077791	0.049852	0.070641	0.057667	0.066605	0.072837	0.024466	0.074012	0.062213	0.059148	0.069772	0.049903	0.049188	0.060578	0.074216	0.081111	0.081111	0.074216	0.060578	0.049188	0.049903	0.069772	0.059148	0.062213	0.074012	0.024466	0.072837	0.066605	0.057667	0.070641	0.049852	0.077791
44	0.076055	0.049699	0.071253	0.058790	0.070692	0.072786	0.025794	0.073143	0.057973	0.057003	0.073552	0.050567	0.049954	0.060272	0.073909	0.078558	0.078558	0.073909	0.060272	0.049954	0.050567	0.073552	0.057003	0.057973	0.073143	0.025794	0.072786	0.070692	0.058790	0.071253	0.049699	0.076055
45	0.078149	0.046992	0.072837	0.056696	0.070692	0.070436	0.025641	0.072990	0.060629	0.060221	0.072071	0.051589	0.050107	0.057565	0.070794	0.082593	0.082593	0.070794	0.057565	0.050107	0.051589	0.072071	0.060221	0.060629	0.072990	0.025641	0.070436	0.070692	0.056696	0.072837	0.046992	0.078149
46	0.079426	0.049035	0.073756	0.057360	0.065328	0.073858	0.023343	0.072684	0.058229	0.059301	0.073450	0.050363	0.048320	0.061600	0.073399	0.080550	0.080550	0.073399	0.061600	0.048320	0.050363	0.073450	0.059301	0.058229	0.072684	0.023343	0.073858	0.065328	0.057360	0.073756	0.049035	0.079426
47	0.076208	0.047758	0.070743	0.056594	0.067372	0.072020	0.025335	0.079068	0.058126	0.058893	0.073245	0.053683	0.047400	0.058024	0.072735	0.082797	0.082797	0.072735	0.058024	0.047400	0.053683	0.073245	0.058893	0.058126	0.079068	0.025335	0.072020	0.067372	0.056594	0.070743	0.047758	0.076208
48	0.073807	0.048320	0.071866	0.055113	0.065073	0.074778	0.024926	0.071917	0.061957	0.056952	0.073961	0.049188	0.050720	0.063030	0.073858	0.084534	0.084534	0.073858	0.063030	0.050720	0.049188	0.073961	0.056952	0.061957	0.071917	0.024926	0.074778	0.065073	0.055113	0.071866	0.048320	0.073807
49	0.076617	0.047758	0.069568	0.057616	0.066912	0.075391	0.026663	0.074114	0.059403	0.059454	0.073807	0.051946	0.049443	0.058484	0.069977	0.082848	0.082848	0.069977	0.058484	0.049443	0.051946	0.073807	0.059454	0.059403	0.074114	0.026663	0.075391	0.066912	0.057616	0.069568	0.047758	0.076617
50	0.077383	0.048064	0.072020	0.054909	0.071458	0.069568	0.027633	0.072428	0.058331	0.058229	0.071560	0.051895	0.049852	0.059761	0.072224	0.084687	0.084687	0.072224	0.059761	0.049852	0.051895	0.071560	0.058229	0.058331	0.072428	0.027633	0.069568	0.071458	0.054909	0.072020	0.048064	0.077383
51	0.077791	0.047809	0.073807	0.057616	0.068393	0.066605	0.025335	0.075289	0.057462	0.063132	0.073858	0.048984	0.048677	0.060374	0.071151	0.083716	0.083716	0.071151	0.060374	0.048677	0.048984	0.073858	0.063132	0.057462	0.075289	0.025335	0.066605	0.068393	0.057616	0.073807	0.047809	0.077791
52	0.074931	0.049290	0.069312	0.058790	0.066401	0.074063	0.024415	0.073041	0.057667	0.060170	0.075238	0.051078	0.048217	0.058790	0.073705	0.084891	0.084891	0.073705	0.058790	0.048217	0.051078	0.075238	0.060170	0.057667	0.073041	0.024415	0.074063	0.066401	0.058790	0.069312	0.049290	0.074931
53	0.074829	0.046736	0.070079	0.055573	0.067831	0.070436	0.025590	0.078455	0.057462	0.059608	0.072837	0.052763	0.051027	0.061447	0.073501	0.081827	0.081827	0.073501	0.061447	0.051027	0.052763	0.072837	0.059608	0.057462	0.078455	0.025590	0.070436	0.067831	0.055573	0.070079	0.046736	0.074829
54	0.075033	0.046838	0.070947	0.058331	0.066912	0.069925	0.027888	0.073501	0.060527	0.058790	0.072786	0.049903	0.050618	0.065073	0.069874	0.083052	0.083052	0.069874	0.065073	0.050618	0.049903	0.072786	0.058790	0.060527	0.073501	0.027888	0.069925	0.066912	0.058331	0.070947	0.046838	0.075033
55	0.078098	0.047604	0.072326	0.055062	0.067116	0.073858	0.026816	0.072837	0.059148	0.060578	0.071458	0.050312	0.048064	0.058024	0.073194	0.085504	0.085504	0.073194	0.058024	0.048064	0.050312	0.071458	0.060578	0.059148	0.072837	0.026816	0.073858	0.067116	0.055062	0.072326	0.047604	0.078098
56	0.075493	0.048626	0.071100	0.057207	0.069057	0.071611	0.024875	0.074522	0.059608	0.061906	0.073245	0.049035	0.050567	0.060680	0.072479	0.079988	0.079988	0.072479	0.060680	0.050567	0.049035	0.073245	0.061906	0.059608	0.074522	0.024875	0.071611	0.069057	0.057207	0.071100	0.048626	0.075493
57	0.074574	0.048881	0.074625	0.056645	0.070334	0.070896	0.025590	0.076004	0.060119	0.058893	0.070998	0.051691	0.047400	0.059352	0.070334	0.083665	0.083665	0.070334	0.059352	0.047400	0.051691	0.070998	0.058893	0.060119	0.076004	0.025590	0.070896	0.070334	0.056645	0.074625	0.048881	0.074574
58	0.076259	0.046685	0.072684	0.056798	0.065839	0.075033	0.025590	0.071560	0.058075	0.057054	0.074880	0.051537	0.051691	0.058586	0.071100	0.086628	0.086628	0.071100	0.058586	0.051691	0.051537	0.074880	0.057054	0.058075	0.071560	0.025590	0.075033	0.065839	0.056798	0.072684	0.046685	0.076259
59	0.076208	0.047656	0.074012	0.053989	0.067218	0.071560	0.024517	0.074063	0.057820	0.059710	0.073552	0.053172	0.053274	0.058280	0.073501	0.081469	0.081469	0.073501	0.058280	0.053274	0.053172	0.073552	0.059710	0.057820	0.074063	0.024517	0.071560	0.067218	0.053989	0.074012	0.047656	0.076208
