pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.083531	0.063074	0.068527	0.059678	0.063512	0.062504	0.031099	0.067437	0.067346	0.031223	0.062793	0.061851	0.282198	0.187620	0.060678	0.068610	0.062570	0.085564	0.289452	0.284115
-67	0.083416	0.063173	0.068742	0.059951	0.063809	0.062347	0.031372	0.068230	0.068040	0.030992	0.062446	0.062083	0.282644	0.187157	0.060009	0.067693	0.062364	0.085333	0.288709	0.283603
-66	0.083523	0.063082	0.068552	0.060381	0.063710	0.062545	0.030670	0.068073	0.068238	0.031306	0.062826	0.062711	0.283140	0.187347	0.058729	0.068180	0.062686	0.084787	0.287420	0.283586
-65	0.084283	0.061884	0.067899	0.059364	0.062810	0.063694	0.030744	0.068511	0.068445	0.031678	0.063595	0.062620	0.284222	0.189710	0.059001	0.067850	0.062925	0.084696	0.287345	0.284751
-64	0.084804	0.062314	0.067577	0.059596	0.061810	0.064256	0.030455	0.067784	0.067833	0.031711	0.064421	0.062818	0.284636	0.190842	0.059579	0.067875	0.062793	0.084374	0.288354	0.284288
-63	0.085283	0.061347	0.067189	0.060472	0.062281	0.064363	0.031116	0.067461	0.067999	0.031273	0.063768	0.062347	0.284239	0.190520	0.059992	0.067147	0.064189	0.083771	0.289518	0.282743
-62	0.084845	0.061488	0.067850	0.061380	0.062355	0.064148	0.031306	0.067065	0.067908	0.031372	0.062802	0.062595	0.283405	0.189628	0.058703	0.067957	0.065065	0.083160	0.288089	0.282331
-61	0.083821	0.060777	0.067701	0.060422	0.063405	0.064363	0.030711	0.067486	0.067726	0.031677	0.063314	0.063289	0.282562	0.190065	0.058679	0.068288	0.064528	0.083812	0.286734	0.283950
-60	0.082623	0.062231	0.068023	0.059249	0.062025	0.063719	0.030182	0.068362	0.068304	0.031975	0.064388	0.062901	0.283338	0.190264	0.058067	0.069238	0.063239	0.085473	0.285412	0.286792
-59	0.082994	0.061736	0.067486	0.058712	0.062859	0.063099	0.030670	0.068503	0.067602	0.031140	0.065379	0.063561	0.283462	0.190289	0.058100	0.069097	0.063115	0.085944	0.285751	0.286644
-58	0.083399	0.061835	0.067908	0.059133	0.062421	0.061637	0.031223	0.069651	0.067651	0.031231	0.064338	0.063487	0.283297	0.188430	0.057439	0.069287	0.063727	0.085630	0.285603	0.286206
-57	0.084003	0.061289	0.068155	0.059026	0.062983	0.062190	0.031124	0.069296	0.067164	0.031008	0.063033	0.063520	0.282355	0.187356	0.057902	0.069163	0.065602	0.084540	0.285470	0.285189
-56	0.083829	0.061314	0.068122	0.058910	0.062917	0.062892	0.030562	0.068759	0.068494	0.031628	0.062281	0.063578	0.282727	0.187364	0.058357	0.068916	0.064363	0.085077	0.286173	0.285643
-55	0.084110	0.061455	0.068073	0.058563	0.062835	0.063901	0.030463	0.067759	0.068594	0.031231	0.062603	0.064189	0.283380	0.188199	0.058935	0.068246	0.064388	0.084655	0.286263	0.284561
-54	0.084416	0.062240	0.068288	0.058786	0.062512	0.062521	0.031529	0.068064	0.068024	0.031603	0.063405	0.063702	0.284132	0.189058	0.059067	0.067924	0.063248	0.084672	0.286941	0.283181
-53	0.084820	0.063330	0.068379	0.059307	0.061827	0.062496	0.031355	0.067908	0.067635	0.031372	0.064157	0.063173	0.284991	0.189379	0.059257	0.067354	0.063273	0.084358	0.287742	0.282116
-52	0.085077	0.063264	0.067841	0.059207	0.062389	0.062297	0.031413	0.067809	0.068263	0.032107	0.064173	0.062099	0.285355	0.189991	0.058737	0.067709	0.063273	0.084341	0.287362	0.282157
-51	0.084771	0.063074	0.067643	0.059596	0.062455	0.063710	0.030644	0.067916	0.068180	0.031347	0.064454	0.062265	0.285049	0.190156	0.059265	0.067544	0.063041	0.084094	0.287726	0.283264
-50	0.084994	0.062702	0.067850	0.059339	0.063149	0.061917	0.030967	0.069238	0.068511	0.030959	0.063190	0.062719	0.284545	0.187033	0.059067	0.068610	0.062843	0.083945	0.287346	0.283710
-49	0.085696	0.062322	0.067528	0.059207	0.063157	0.062207	0.030289	0.068354	0.067205	0.030372	0.063529	0.063347	0.283958	0.186397	0.060530	0.068833	0.062686	0.084738	0.290172	0.284132
-48	0.086308	0.062769	0.067164	0.059463	0.063578	0.060843	0.030347	0.067891	0.067288	0.030686	0.062653	0.064586	0.283413	0.184530	0.059695	0.069064	0.062182	0.085481	0.290948	0.283280
-47	0.086266	0.062802	0.066701	0.059273	0.063942	0.060628	0.030703	0.068783	0.066519	0.030224	0.063041	0.063644	0.282528	0.184596	0.060249	0.068387	0.062859	0.085977	0.291766	0.283776
-46	0.085919	0.063421	0.067527	0.059918	0.062810	0.060736	0.030827	0.069114	0.066296	0.030364	0.062669	0.062289	0.282413	0.184596	0.060091	0.068362	0.063231	0.086423	0.292352	0.284635
-45	0.085845	0.062991	0.067577	0.059695	0.062463	0.062264	0.030521	0.069023	0.067825	0.030372	0.062777	0.061587	0.284024	0.185934	0.060571	0.067784	0.063347	0.085357	0.291468	0.284429
-44	0.085663	0.064066	0.069106	0.059654	0.061661	0.063322	0.030438	0.067205	0.068411	0.031248	0.062306	0.061967	0.285486	0.187314	0.059579	0.067817	0.062719	0.084837	0.289733	0.283181
-43	0.085093	0.063752	0.068552	0.059654	0.063578	0.062520	0.030818	0.067313	0.069543	0.031339	0.062124	0.062405	0.285313	0.186802	0.059208	0.067585	0.062165	0.084350	0.288305	0.281768
-42	0.084722	0.063694	0.068759	0.060108	0.063281	0.062041	0.031273	0.068279	0.068081	0.030157	0.062810	0.063479	0.284371	0.186281	0.058266	0.067618	0.063082	0.084350	0.287445	0.282289
-41	0.083904	0.061322	0.067891	0.058571	0.062636	0.062223	0.031702	0.068403	0.068445	0.030339	0.063661	0.063628	0.283900	0.187926	0.059803	0.068734	0.063223	0.085515	0.287792	0.284875
-40	0.083168	0.061810	0.067808	0.058737	0.061405	0.061752	0.031388	0.069477	0.068180	0.030744	0.063496	0.064776	0.282653	0.187381	0.058728	0.068734	0.064008	0.085787	0.286420	0.285751
-39	0.084093	0.061670	0.067189	0.058918	0.061405	0.061124	0.031587	0.068478	0.068403	0.031231	0.063207	0.063966	0.282892	0.187149	0.059315	0.068651	0.064123	0.086638	0.288965	0.284892
-38	0.084234	0.062752	0.067825	0.060794	0.061414	0.061380	0.030645	0.068519	0.068164	0.031207	0.062438	0.063562	0.282661	0.185670	0.058993	0.067842	0.064462	0.085771	0.289791	0.283512
-37	0.084490	0.063173	0.067899	0.059860	0.061257	0.062339	0.031421	0.068693	0.067693	0.030826	0.062339	0.063157	0.282422	0.186926	0.060769	0.067627	0.062719	0.085738	0.290857	0.284396
