AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.085625	0.085972	0.048461	0.076854	0.071899	0.060156	0.062187	0.053863	0.072643	0.052872	0.064021	0.061939	0.015658	0.054408	0.073535	0.059908	0.059908	0.073535	0.054408	0.015658	0.061939	0.064021	0.052872	0.072643	0.053863	0.062187	0.060156	0.071899	0.076854	0.048461	0.085972	0.085625
0.086616	0.090679	0.051236	0.074129	0.071552	0.057133	0.062633	0.052624	0.069224	0.050889	0.065904	0.064318	0.018433	0.051286	0.073485	0.059858	0.059858	0.073485	0.051286	0.018433	0.064318	0.065904	0.050889	0.069224	0.052624	0.062633	0.057133	0.071552	0.074129	0.051236	0.090679	0.086616
0.085130	0.085080	0.050146	0.074773	0.071057	0.063178	0.061989	0.054655	0.069372	0.053912	0.063277	0.065210	0.017046	0.052079	0.075863	0.057232	0.057232	0.075863	0.052079	0.017046	0.065210	0.063277	0.053912	0.069372	0.054655	0.061989	0.063178	0.071057	0.074773	0.050146	0.085080	0.085130
0.083891	0.089490	0.049799	0.074327	0.070512	0.059957	0.062187	0.053070	0.071453	0.052624	0.067886	0.063327	0.016154	0.050840	0.073188	0.061295	0.061295	0.073188	0.050840	0.016154	0.063327	0.067886	0.052624	0.071453	0.053070	0.062187	0.059957	0.070512	0.074327	0.049799	0.089490	0.083891
0.085328	0.086963	0.050592	0.077499	0.073138	0.059759	0.060651	0.053268	0.073089	0.054309	0.062187	0.061692	0.016451	0.049750	0.076755	0.058570	0.058570	0.076755	0.049750	0.016451	0.061692	0.062187	0.054309	0.073089	0.053268	0.060651	0.059759	0.073138	0.077499	0.050592	0.086963	0.085328
0.089738	0.086715	0.047470	0.078589	0.069174	0.058322	0.063872	0.055052	0.069719	0.055300	0.064566	0.062435	0.015311	0.051187	0.072692	0.059858	0.059858	0.072692	0.051187	0.015311	0.062435	0.064566	0.055300	0.069719	0.055052	0.063872	0.058322	0.069174	0.078589	0.047470	0.086715	0.089738
0.085972	0.088648	0.050592	0.073287	0.073733	0.059710	0.064070	0.056935	0.069224	0.052277	0.062385	0.063872	0.017194	0.052376	0.072742	0.056984	0.056984	0.072742	0.052376	0.017194	0.063872	0.062385	0.052277	0.069224	0.056935	0.064070	0.059710	0.073733	0.073287	0.050592	0.088648	0.085972
0.082107	0.086567	0.049403	0.073683	0.072543	0.064318	0.065061	0.053169	0.069521	0.049502	0.066696	0.068282	0.016501	0.051038	0.072345	0.059264	0.059264	0.072345	0.051038	0.016501	0.068282	0.066696	0.049502	0.069521	0.053169	0.065061	0.064318	0.072543	0.073683	0.049403	0.086567	0.082107
0.080075	0.084386	0.049998	0.072543	0.069818	0.061741	0.064169	0.054804	0.070363	0.052178	0.068431	0.063822	0.018830	0.052079	0.073832	0.062930	0.062930	0.073832	0.052079	0.018830	0.063822	0.068431	0.052178	0.070363	0.054804	0.064169	0.061741	0.069818	0.072543	0.049998	0.084386	0.080075
0.088846	0.086517	0.046826	0.071751	0.067737	0.063228	0.064764	0.053070	0.072742	0.051484	0.065953	0.064665	0.017492	0.049403	0.076062	0.059462	0.059462	0.076062	0.049403	0.017492	0.064665	0.065953	0.051484	0.072742	0.053070	0.064764	0.063228	0.067737	0.071751	0.046826	0.086517	0.088846
