pos	AA.f	AC.f	AG.f	AT.f	CA.f	CC.f	CG.f	CT.f	GA.f	GC.f	GG.f	GT.f	TA.f	TC.f	TG.f	TT.f	AA.r	AC.r	AG.r	AT.r	CA.r	CC.r	CG.r	CT.r	GA.r	GC.r	GG.r	GT.r	TA.r	TC.r	TG.r	TT.r
25	0.084021	0.048485	0.071616	0.056146	0.068156	0.066031	0.023279	0.070034	0.058073	0.060347	0.075075	0.052637	0.052192	0.058716	0.070775	0.084417	0.084417	0.070775	0.058716	0.052192	0.052637	0.075075	0.060347	0.058073	0.070034	0.023279	0.066031	0.068156	0.056146	0.071616	0.048485	0.084021
26	0.083477	0.045124	0.076311	0.057530	0.070627	0.069639	0.022636	0.070677	0.060199	0.056146	0.074037	0.050363	0.052785	0.055652	0.070429	0.084367	0.084367	0.070429	0.055652	0.052785	0.050363	0.074037	0.056146	0.060199	0.070677	0.022636	0.069639	0.070627	0.057530	0.076311	0.045124	0.083477
27	0.084169	0.046558	0.076855	0.059507	0.065833	0.065289	0.024317	0.071121	0.061335	0.055849	0.074285	0.051945	0.051549	0.054614	0.073988	0.082786	0.082786	0.073988	0.054614	0.051549	0.051945	0.074285	0.055849	0.061335	0.071121	0.024317	0.065289	0.065833	0.059507	0.076855	0.046558	0.084169
28	0.080413	0.047497	0.075471	0.059507	0.065833	0.064647	0.021598	0.070232	0.063016	0.060298	0.074186	0.051945	0.052439	0.058864	0.070528	0.083527	0.083527	0.070528	0.058864	0.052439	0.051945	0.074186	0.060298	0.063016	0.070232	0.021598	0.064647	0.065833	0.059507	0.075471	0.047497	0.080413
29	0.079227	0.048386	0.074927	0.059161	0.067810	0.068947	0.022686	0.071863	0.060792	0.056492	0.075224	0.049276	0.051154	0.057777	0.070627	0.085652	0.085652	0.070627	0.057777	0.051154	0.049276	0.075224	0.056492	0.060792	0.071863	0.022686	0.068947	0.067810	0.059161	0.074927	0.048386	0.079227
30	0.079375	0.046904	0.075866	0.056838	0.069985	0.068848	0.022142	0.070627	0.059309	0.054218	0.076262	0.053675	0.048337	0.059260	0.073840	0.084515	0.084515	0.073840	0.059260	0.048337	0.053675	0.076262	0.054218	0.059309	0.070627	0.022142	0.068848	0.069985	0.056838	0.075866	0.046904	0.079375
31	0.074581	0.047052	0.077547	0.057826	0.068996	0.066278	0.022488	0.071467	0.060495	0.057036	0.079227	0.051352	0.051352	0.058321	0.075224	0.080759	0.080759	0.075224	0.058321	0.051352	0.051352	0.079227	0.057036	0.060495	0.071467	0.022488	0.066278	0.068996	0.057826	0.077547	0.047052	0.074581
32	0.078090	0.049276	0.072060	0.055998	0.065882	0.064350	0.023724	0.074729	0.064202	0.058370	0.075619	0.056294	0.047398	0.055948	0.074927	0.083132	0.083132	0.074927	0.055948	0.047398	0.056294	0.075619	0.058370	0.064202	0.074729	0.023724	0.064350	0.065882	0.055998	0.072060	0.049276	0.078090
33	0.077299	0.045965	0.076262	0.056047	0.070528	0.065586	0.021944	0.069886	0.060001	0.058716	0.074087	0.053526	0.049869	0.061681	0.073148	0.085454	0.085454	0.073148	0.061681	0.049869	0.053526	0.074087	0.058716	0.060001	0.069886	0.021944	0.065586	0.070528	0.056047	0.076262	0.045965	0.077299
34	0.080018	0.045569	0.075916	0.056195	0.068403	0.065487	0.024811	0.073247	0.059013	0.056986	0.077102	0.052340	0.049029	0.056887	0.073988	0.085010	0.085010	0.073988	0.056887	0.049029	0.052340	0.077102	0.056986	0.059013	0.073247	0.024811	0.065487	0.068403	0.056195	0.075916	0.045569	0.080018
